sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1466086954721369	0.000000	50	2800
1	1466086954741524	0.020155	50	2800
2	1466086954761541	0.040172	50	2800
3	1466086954781493	0.060124	50	2800
4	1466086954801517	0.080148	50	2800
5	1466086954821504	0.100135	50	2800
6	1466086954841486	0.120117	50	2800
7	1466086954861489	0.140120	50	2800
8	1466086954881519	0.160150	50	2800
9	1466086954901501	0.180132	50	2800
10	1466086954921514	0.200145	50	2800
11	1466086954941505	0.220136	50	2800
12	1466086954961534	0.240165	50	2800
13	1466086954981497	0.260128	50	2800
14	1466086955001526	0.280157	50	2800
15	1466086955021527	0.300158	50	2800
16	1466086955041570	0.320201	50	2800
17	1466086955061522	0.340153	50	2800
18	1466086955081537	0.360168	50	2800
19	1466086955101514	0.380145	50	2800
20	1466086955121536	0.400167	50	2800
21	1466086955141494	0.420125	50	2800
22	1466086955161535	0.440166	50	2800
23	1466086955181510	0.460141	50	2800
24	1466086955201524	0.480155	50	2800
25	1466086955221555	0.500186	50	2800
26	1466086955241522	0.520153	50	2800
27	1466086955261532	0.540163	50	2800
28	1466086955281527	0.560158	50	2800
29	1466086955301519	0.580150	50	2800
30	1466086955321517	0.600148	50	2800
31	1466086955341509	0.620140	50	2800
32	1466086955361527	0.640158	50	2800
33	1466086955381512	0.660143	50	2800
34	1466086955401518	0.680149	50	2800
35	1466086955421523	0.700154	50	2800
36	1466086955441538	0.720169	50	2800
37	1466086955461520	0.740151	50	2800
38	1466086955481574	0.760205	50	2800
39	1466086955501513	0.780144	50	2800
40	1466086955521527	0.800158	50	2800
41	1466086955541520	0.820151	50	2800
42	1466086955561535	0.840166	50	2800
43	1466086955581491	0.860122	50	2800
44	1466086955601522	0.880153	50	2800
45	1466086955621526	0.900157	50	2800
46	1466086955641535	0.920166	50	2800
47	1466086955661512	0.940143	50	2800
48	1466086955681528	0.960159	50	2800
49	1466086955701537	0.980168	50	2800
50	1466086955721529	1.000160	50	2800
51	1466086955741508	1.020139	50	2800
52	1466086955761537	1.040168	50	2800
53	1466086955781522	1.060153	50	2800
54	1466086955801536	1.080167	50	2800
55	1466086955821513	1.100144	50	2800
56	1466086955841572	1.120203	50	2800
57	1466086955861512	1.140143	50	2800
58	1466086955881530	1.160161	50	2800
59	1466086955901516	1.180147	50	2800
60	1466086955921539	1.200170	50	2800
61	1466086955941495	1.220126	50	2800
62	1466086955961658	1.240289	50	2800
63	1466086955981576	1.260207	50	2800
64	1466086956001529	1.280160	50	2800
65	1466086956021505	1.300136	50	2800
66	1466086956041536	1.320167	50	2800
67	1466086956061521	1.340152	50	2800
68	1466086956081529	1.360160	50	2800
69	1466086956101519	1.380150	50	2800
70	1466086956121573	1.400204	50	2800
71	1466086956141515	1.420146	50	2800
72	1466086956161525	1.440156	50	2800
73	1466086956181527	1.460158	50	2800
74	1466086956201690	1.480321	50	2800
75	1466086956221536	1.500167	50	2800
76	1466086956241536	1.520167	50	2800
77	1466086956261510	1.540141	50	2800
78	1466086956281573	1.560204	50	2800
79	1466086956301497	1.580128	50	2800
80	1466086956321573	1.600204	50	2800
81	1466086956341519	1.620150	50	2800
82	1466086956361523	1.640154	50	2800
83	1466086956381505	1.660136	50	2800
84	1466086956401527	1.680158	50	2800
85	1466086956421514	1.700145	50	2800
86	1466086956441490	1.720121	50	2800
87	1466086956461533	1.740164	50	2800
88	1466086956481538	1.760169	50	2800
89	1466086956501509	1.780140	50	2800
90	1466086956521666	1.800297	50	2800
91	1466086956541605	1.820236	50	2800
92	1466086956561548	1.840179	50	2800
93	1466086956581521	1.860152	50	2800
94	1466086956601506	1.880137	50	2800
95	1466086956621522	1.900153	50	2800
96	1466086956641527	1.920158	50	2800
97	1466086956661510	1.940141	50	2800
98	1466086956681531	1.960162	50	2800
99	1466086956701551	1.980182	50	2800
100	1466086956721517	2.000148	50	2800
101	1466086956741492	2.020123	50	2800
102	1466086956761562	2.040193	50	2800
103	1466086956781493	2.060124	50	2800
104	1466086956801516	2.080147	50	2800
