sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1465218850283307	0.000000	50	1400
1	1465218850303442	0.020135	50	1400
2	1465218850323409	0.040102	50	1400
3	1465218850343407	0.060100	50	1400
4	1465218850363468	0.080161	50	1400
5	1465218850383494	0.100187	50	1400
6	1465218850403440	0.120133	50	1400
7	1465218850423494	0.140187	50	1400
8	1465218850443495	0.160188	50	1400
9	1465218850463496	0.180189	50	1400
10	1465218850483415	0.200108	50	1400
11	1465218850503443	0.220136	50	1400
12	1465218850523414	0.240107	50	1400
13	1465218850543437	0.260130	50	1400
14	1465218850563437	0.280130	50	1400
15	1465218850583430	0.300123	50	1400
16	1465218850603434	0.320127	50	1400
17	1465218850623447	0.340140	50	1400
18	1465218850643449	0.360142	50	1400
19	1465218850663494	0.380187	50	1400
20	1465218850683465	0.400158	50	1400
21	1465218850703493	0.420186	50	1400
22	1465218850723494	0.440187	50	1400
23	1465218850743495	0.460188	50	1400
24	1465218850763494	0.480187	50	1400
25	1465218850783492	0.500185	50	1400
26	1465218850803493	0.520186	50	1400
27	1465218850823462	0.540155	50	1400
28	1465218850843490	0.560183	50	1400
29	1465218850863492	0.580185	50	1400
30	1465218850883493	0.600186	50	1400
31	1465218850903491	0.620184	50	1400
32	1465218850923494	0.640187	50	1400
33	1465218850943494	0.660187	50	1400
34	1465218850963495	0.680188	50	1400
35	1465218850983492	0.700185	50	1400
36	1465218851003491	0.720184	50	1400
37	1465218851023440	0.740133	50	1400
38	1465218851043492	0.760185	50	1400
39	1465218851063496	0.780189	50	1400
40	1465218851083457	0.800150	50	1400
41	1465218851103492	0.820185	50	1400
42	1465218851123492	0.840185	50	1400
43	1465218851143494	0.860187	50	1400
44	1465218851163494	0.880187	50	1400
45	1465218851183442	0.900135	50	1400
46	1465218851203484	0.920177	50	1400
47	1465218851223491	0.940184	50	1400
48	1465218851243496	0.960189	50	1400
49	1465218851263415	0.980108	50	1400
50	1465218851283482	1.000175	50	1400
51	1465218851303495	1.020188	50	1400
52	1465218851323493	1.040186	50	1400
53	1465218851343492	1.060185	50	1400
54	1465218851363493	1.080186	50	1400
55	1465218851383493	1.100186	50	1400
56	1465218851403493	1.120186	50	1400
57	1465218851423492	1.140185	50	1400
58	1465218851443496	1.160189	50	1400
59	1465218851463496	1.180189	50	1400
60	1465218851483491	1.200184	50	1400
61	1465218851503493	1.220186	50	1400
62	1465218851523418	1.240111	50	1400
63	1465218851543442	1.260135	50	1400
64	1465218851563439	1.280132	50	1400
65	1465218851583415	1.300108	50	1400
66	1465218851603553	1.320246	50	1400
67	1465218851623492	1.340185	50	1400
68	1465218851643494	1.360187	50	1400
69	1465218851663442	1.380135	50	1400
70	1465218851683485	1.400178	50	1400
71	1465218851703492	1.420185	50	1400
72	1465218851723493	1.440186	50	1400
73	1465218851743493	1.460186	50	1400
74	1465218851763498	1.480191	50	1400
75	1465218851783495	1.500188	50	1400
76	1465218851803496	1.520189	50	1400
77	1465218851823502	1.540195	50	1400
78	1465218851843523	1.560216	50	1400
79	1465218851863582	1.580275	50	1400
80	1465218851883586	1.600279	50	1400
81	1465218851903586	1.620279	50	1400
82	1465218851923586	1.640279	50	1400
83	1465218851943585	1.660278	50	1400
84	1465218851963586	1.680279	50	1400
85	1465218851983584	1.700277	50	1400
86	1465218852003587	1.720280	50	1400
87	1465218852023501	1.740194	50	1400
88	1465218852043603	1.760296	50	1400
89	1465218852063500	1.780193	50	1400
90	1465218852083500	1.800193	50	1400
91	1465218852103501	1.820194	50	1400
92	1465218852123500	1.840193	50	1400
93	1465218852143500	1.860193	50	1400
94	1465218852163503	1.880196	50	1400
95	1465218852183498	1.900191	50	1400
96	1465218852203503	1.920196	50	1400
97	1465218852223491	1.940184	50	1400
98	1465218852243454	1.960147	50	1400
99	1465218852263502	1.980195	50	1400
100	1465218852283501	2.000194	50	1400
101	1465218852303501	2.020194	50	1400
102	1465218852323433	2.040126	50	1400
103	1465218852343474	2.060167	50	1400
104	1465218852363501	2.080194	50	1400
105	1465218852383498	2.100191	50	1400
106	1465218852403501	2.120194	50	1400
107	1465218852423500	2.140193	50	1400
108	1465218852443501	2.160194	50	1400
109	1465218852463502	2.180195	50	1400
110	1465218852483530	2.200223	50	1400
111	1465218852503500	2.220193	50	1400
112	1465218852523449	2.240142	50	1400
113	1465218852543534	2.260227	50	1400
114	1465218852563522	2.280215	50	1400
115	1465218852583500	2.300193	50	1400
116	1465218852603496	2.320189	50	1400
117	1465218852623494	2.340187	50	1400
118	1465218852643494	2.360187	50	1400
119	1465218852663451	2.380144	50	1400
120	1465218852683483	2.400176	50	1400
121	1465218852703493	2.420186	50	1400
122	1465218852723494	2.440187	50	1400
123	1465218852743492	2.460185	50	1400
124	1465218852763420	2.480113	50	1400
125	1465218852783484	2.500177	50	1400
126	1465218852803494	2.520187	50	1400
127	1465218852823511	2.540204	50	1400
128	1465218852843535	2.560228	50	1400
129	1465218852863494	2.580187	50	1400
130	1465218852883493	2.600186	50	1400
131	1465218852903493	2.620186	50	1400
132	1465218852923492	2.640185	50	1400
133	1465218852943501	2.660194	50	1400
134	1465218852963494	2.680187	50	1400
135	1465218852983492	2.700185	50	1400
136	1465218853003492	2.720185	50	1400
137	1465218853023455	2.740148	50	1400
138	1465218853043510	2.760203	50	1400
139	1465218853063485	2.780178	50	1400
140	1465218853083493	2.800186	50	1400
141	1465218853103491	2.820184	50	1400
142	1465218853123493	2.840186	50	1400
143	1465218853143493	2.860186	50	1400
144	1465218853163491	2.880184	50	1400
145	1465218853183454	2.900147	50	1400
146	1465218853203420	2.920113	50	1400
147	1465218853223492	2.940185	50	1400
148	1465218853243491	2.960184	50	1400
149	1465218853263492	2.980185	50	1400
150	1465218853283492	3.000185	50	1400
151	1465218853303492	3.020185	50	1400
152	1465218853323492	3.040185	50	1400
153	1465218853343493	3.060186	50	1400
154	1465218853363492	3.080185	50	1400
155	1465218853383494	3.100187	50	1400
156	1465218853403444	3.120137	50	1400
157	1465218853423483	3.140176	50	1400
158	1465218853443493	3.160186	50	1400
159	1465218853463492	3.180185	50	1400
160	1465218853483495	3.200188	50	1400
161	1465218853503492	3.220185	50	1400
162	1465218853523448	3.240141	50	1400
163	1465218853543433	3.260126	50	1400
164	1465218853563492	3.280185	50	1400
165	1465218853583494	3.300187	50	1400
166	1465218853603491	3.320184	50	1400
167	1465218853623493	3.340186	50	1400
168	1465218853643492	3.360185	50	1400
169	1465218853663492	3.380185	50	1400
170	1465218853683492	3.400185	50	1400
171	1465218853703493	3.420186	50	1400
172	1465218853723499	3.440192	50	1400
173	1465218853743495	3.460188	50	1400
174	1465218853763493	3.480186	50	1400
175	1465218853783494	3.500187	50	1400
176	1465218853803495	3.520188	50	1400
177	1465218853823525	3.540218	50	1400
178	1465218853843587	3.560280	50	1400
179	1465218853863583	3.580276	50	1400
180	1465218853883589	3.600282	50	1400
181	1465218853903588	3.620281	50	1400
182	1465218853923588	3.640281	50	1400
183	1465218853943588	3.660281	50	1400
184	1465218853963559	3.680252	50	1400
185	1465218853983584	3.700277	50	1400
186	1465218854003586	3.720279	50	1400
187	1465218854023506	3.740199	50	1400
188	1465218854043591	3.760284	50	1400
189	1465218854063493	3.780186	50	1400
190	1465218854083494	3.800187	50	1400
191	1465218854103493	3.820186	50	1400
192	1465218854123493	3.840186	50	1400
193	1465218854143492	3.860185	50	1400
194	1465218854163494	3.880187	50	1400
195	1465218854183495	3.900188	50	1400
196	1465218854203494	3.920187	50	1400
197	1465218854223494	3.940187	50	1400
198	1465218854243493	3.960186	50	1400
199	1465218854263505	3.980198	50	1400
200	1465218854283496	4.000189	50	1400
201	1465218854303493	4.020186	50	1400
202	1465218854323496	4.040189	50	1400
203	1465218854343493	4.060186	50	1400
204	1465218854363495	4.080188	50	1400
205	1465218854383497	4.100190	50	1400
206	1465218854403492	4.120185	50	1400
207	1465218854423492	4.140185	50	1400
208	1465218854443493	4.160186	50	1400
209	1465218854463496	4.180189	50	1400
210	1465218854483495	4.200188	50	1400
211	1465218854503493	4.220186	50	1400
212	1465218854523433	4.240126	50	1400
213	1465218854543485	4.260178	50	1400
214	1465218854563490	4.280183	50	1400
215	1465218854583495	4.300188	50	1400
216	1465218854603508	4.320201	50	1400
217	1465218854623567	4.340260	50	1400
218	1465218854643492	4.360185	50	1400
219	1465218854663491	4.380184	50	1400
220	1465218854683459	4.400152	50	1400
221	1465218854703495	4.420188	50	1400
222	1465218854723494	4.440187	50	1400
223	1465218854743492	4.460185	50	1400
224	1465218854763498	4.480191	50	1400
225	1465218854783498	4.500191	50	1400
226	1465218854803491	4.520184	50	1400
227	1465218854823457	4.540150	50	1400
228	1465218854843494	4.560187	50	1400
229	1465218854863492	4.580185	50	1400
230	1465218854883495	4.600188	50	1400
231	1465218854903441	4.620134	50	1400
232	1465218854923484	4.640177	50	1400
233	1465218854943492	4.660185	50	1400
234	1465218854963494	4.680187	50	1400
235	1465218854983495	4.700188	50	1400
236	1465218855003492	4.720185	50	1400
237	1465218855023431	4.740124	50	1400
238	1465218855043537	4.760230	50	1400
239	1465218855063490	4.780183	50	1400
240	1465218855083494	4.800187	50	1400
241	1465218855103494	4.820187	50	1400
242	1465218855123494	4.840187	50	1400
243	1465218855143495	4.860188	50	1400
244	1465218855163495	4.880188	50	1400
245	1465218855183497	4.900190	50	1400
246	1465218855203492	4.920185	50	1400
247	1465218855223493	4.940186	50	1400
248	1465218855243494	4.960187	50	1400
249	1465218855263494	4.980187	50	1400
250	1465218855283497	5.000190	50	1400
251	1465218855303493	5.020186	50	1400
252	1465218855323494	5.040187	50	1400
253	1465218855343493	5.060186	50	1400
254	1465218855363492	5.080185	50	1400
255	1465218855383496	5.100189	50	1400
256	1465218855403439	5.120132	50	1400
257	1465218855423444	5.140137	50	1400
258	1465218855443494	5.160187	50	1400
259	1465218855463495	5.180188	50	1400
260	1465218855483495	5.200188	50	1400
261	1465218855503491	5.220184	50	1400
262	1465218855523456	5.240149	50	1400
263	1465218855543528	5.260221	50	1400
264	1465218855563508	5.280201	50	1400
265	1465218855583495	5.300188	50	1400
266	1465218855603491	5.320184	50	1400
267	1465218855623495	5.340188	50	1400
268	1465218855643494	5.360187	50	1400
269	1465218855663495	5.380188	50	1400
270	1465218855683494	5.400187	50	1400
271	1465218855703493	5.420186	50	1400
272	1465218855723494	5.440187	50	1400
273	1465218855743494	5.460187	50	1400
274	1465218855763493	5.480186	50	1400
275	1465218855783495	5.500188	50	1400
276	1465218855803494	5.520187	50	1400
277	1465218855823505	5.540198	50	1400
278	1465218855843532	5.560225	50	1400
279	1465218855863550	5.580243	50	1400
280	1465218855883586	5.600279	50	1400
281	1465218855903587	5.620280	50	1400
282	1465218855923549	5.640242	50	1400
283	1465218855943588	5.660281	50	1400
284	1465218855963586	5.680279	50	1400
285	1465218855983591	5.700284	50	1400
286	1465218856003511	5.720204	50	1400
287	1465218856023530	5.740223	50	1400
288	1465218856043559	5.760252	50	1400
289	1465218856063459	5.780152	50	1400
