sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1466082686687473	0.000000	50	13
1	1466082686707603	0.020130	50	13
2	1466082686727578	0.040105	50	13
3	1466082686747575	0.060102	50	13
4	1466082686767571	0.080098	50	13
5	1466082686787596	0.100123	50	13
6	1466082686807589	0.120116	50	13
7	1466082686827574	0.140101	50	13
8	1466082686847570	0.160097	50	13
9	1466082686867609	0.180136	50	13
10	1466082686887572	0.200099	50	13
11	1466082686907564	0.220091	50	13
12	1466082686927623	0.240150	50	13
13	1466082686947627	0.260154	50	13
14	1466082686967614	0.280141	50	13
15	1466082686987577	0.300104	50	13
16	1466082687007646	0.320173	50	13
17	1466082687027610	0.340137	50	13
18	1466082687047591	0.360118	50	13
19	1466082687067580	0.380107	50	13
20	1466082687087553	0.400080	50	13
21	1466082687107614	0.420141	50	13
22	1466082687127592	0.440119	50	13
23	1466082687147583	0.460110	50	13
24	1466082687167551	0.480078	50	13
25	1466082687187572	0.500099	50	13
26	1466082687207619	0.520146	50	13
27	1466082687227608	0.540135	50	13
28	1466082687247582	0.560109	50	13
29	1466082687267572	0.580099	50	13
30	1466082687287588	0.600115	50	13
31	1466082687307591	0.620118	50	13
32	1466082687327567	0.640094	50	13
33	1466082687347587	0.660114	50	13
34	1466082687367579	0.680106	50	13
35	1466082687387569	0.700096	50	13
36	1466082687407586	0.720113	50	13
37	1466082687427606	0.740133	50	13
38	1466082687447581	0.760108	50	13
39	1466082687467608	0.780135	50	13
40	1466082687487629	0.800156	50	13
41	1466082687507617	0.820144	50	13
42	1466082687527686	0.840213	50	13
43	1466082687547654	0.860181	50	13
44	1466082687567603	0.880130	50	13
45	1466082687587612	0.900139	50	13
46	1466082687607584	0.920111	50	13
47	1466082687627561	0.940088	50	13
48	1466082687647577	0.960104	50	13
49	1466082687667560	0.980087	50	13
50	1466082687687577	1.000104	50	13
51	1466082687707600	1.020127	50	13
52	1466082687727613	1.040140	50	13
53	1466082687747608	1.060135	50	13
54	1466082687767582	1.080109	50	13
55	1466082687787579	1.100106	50	13
56	1466082687807609	1.120136	50	13
57	1466082687827645	1.140172	50	13
58	1466082687847575	1.160102	50	13
