sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1466088911553247	0.000001	50	4200
1	1466088911573419	0.020173	50	4200
2	1466088911593433	0.040187	50	4200
3	1466088911613420	0.060174	50	4200
4	1466088911633405	0.080159	50	4200
5	1466088911653386	0.100140	50	4200
6	1466088911673436	0.120190	50	4200
7	1466088911693385	0.140139	50	4200
8	1466088911713432	0.160186	50	4200
9	1466088911733441	0.180195	50	4200
10	1466088911753420	0.200174	50	4200
11	1466088911773414	0.220168	50	4200
12	1466088911793388	0.240142	50	4200
13	1466088911813468	0.260222	50	4200
14	1466088911833411	0.280165	50	4200
15	1466088911853396	0.300150	50	4200
16	1466088911873496	0.320250	50	4200
17	1466088911893435	0.340189	50	4200
18	1466088911913412	0.360166	50	4200
19	1466088911933405	0.380159	50	4200
20	1466088911953500	0.400254	50	4200
21	1466088911973422	0.420176	50	4200
22	1466088911993435	0.440189	50	4200
23	1466088912013434	0.460188	50	4200
24	1466088912033396	0.480150	50	4200
25	1466088912053471	0.500225	50	4200
26	1466088912073416	0.520170	50	4200
27	1466088912093404	0.540158	50	4200
28	1466088912113420	0.560174	50	4200
29	1466088912133389	0.580143	50	4200
30	1466088912153417	0.600171	50	4200
31	1466088912173472	0.620226	50	4200
32	1466088912193424	0.640178	50	4200
33	1466088912213456	0.660210	50	4200
34	1466088912233480	0.680234	50	4200
35	1466088912253495	0.700249	50	4200
36	1466088912273431	0.720185	50	4200
37	1466088912293391	0.740145	50	4200
38	1466088912313425	0.760179	50	4200
39	1466088912333390	0.780144	50	4200
40	1466088912353426	0.800180	50	4200
41	1466088912373431	0.820185	50	4200
42	1466088912393433	0.840187	50	4200
43	1466088912413459	0.860213	50	4200
44	1466088912433390	0.880144	50	4200
45	1466088912453453	0.900207	50	4200
46	1466088912473418	0.920172	50	4200
47	1466088912493425	0.940179	50	4200
48	1466088912513433	0.960187	50	4200
49	1466088912533414	0.980168	50	4200
50	1466088912553427	1.000181	50	4200
51	1466088912573421	1.020175	50	4200
52	1466088912593401	1.040155	50	4200
53	1466088912613432	1.060186	50	4200
54	1466088912633469	1.080223	50	4200
55	1466088912653392	1.100146	50	4200
56	1466088912673414	1.120168	50	4200
57	1466088912693422	1.140176	50	4200
58	1466088912713426	1.160180	50	4200
59	1466088912733423	1.180177	50	4200
60	1466088912753429	1.200183	50	4200
61	1466088912773434	1.220188	50	4200
62	1466088912793420	1.240174	50	4200
63	1466088912813467	1.260221	50	4200
64	1466088912833434	1.280188	50	4200
65	1466088912853421	1.300175	50	4200
66	1466088912873432	1.320186	50	4200
67	1466088912893432	1.340186	50	4200
68	1466088912913472	1.360226	50	4200
69	1466088912933409	1.380163	50	4200
70	1466088912953432	1.400186	50	4200
71	1466088912973438	1.420192	50	4200
72	1466088912993454	1.440208	50	4200
73	1466088913013433	1.460187	50	4200
74	1466088913033432	1.480186	50	4200
75	1466088913053453	1.500207	50	4200
76	1466088913073447	1.520201	50	4200
77	1466088913093469	1.540223	50	4200
78	1466088913113470	1.560224	50	4200
79	1466088913133412	1.580166	50	4200
80	1466088913153423	1.600177	50	4200
81	1466088913173464	1.620218	50	4200
82	1466088913193439	1.640193	50	4200
83	1466088913213432	1.660186	50	4200
84	1466088913233396	1.680150	50	4200
85	1466088913253461	1.700215	50	4200
86	1466088913273428	1.720182	50	4200
87	1466088913293433	1.740187	50	4200
88	1466088913313421	1.760175	50	4200
89	1466088913333456	1.780210	50	4200
90	1466088913353460	1.800214	50	4200
91	1466088913373421	1.820175	50	4200
92	1466088913393471	1.840225	50	4200
93	1466088913413470	1.860224	50	4200
94	1466088913433424	1.880178	50	4200
95	1466088913453431	1.900185	50	4200
96	1466088913473472	1.920226	50	4200
97	1466088913493424	1.940178	50	4200
98	1466088913513412	1.960166	50	4200
99	1466088913533392	1.980146	50	4200
100	1466088913553509	2.000263	50	4200
101	1466088913573469	2.020223	50	4200
102	1466088913593407	2.040161	50	4200
103	1466088913613524	2.060278	50	4200
104	1466088913633484	2.080238	50	4200
105	1466088913653421	2.100175	50	4200
106	1466088913673432	2.120186	50	4200
107	1466088913693473	2.140227	50	4200
108	1466088913713401	2.160155	50	4200
109	1466088913733418	2.180172	50	4200
110	1466088913753477	2.200231	50	4200
111	1466088913773442	2.220196	50	4200
112	1466088913793424	2.240178	50	4200
113	1466088913813420	2.260174	50	4200
114	1466088913833411	2.280165	50	4200
115	1466088913853405	2.300159	50	4200
116	1466088913873395	2.320149	50	4200
117	1466088913893417	2.340171	50	4200
118	1466088913913432	2.360186	50	4200
119	1466088913933410	2.380164	50	4200
120	1466088913953389	2.400143	50	4200
121	1466088913973451	2.420205	50	4200
122	1466088913993401	2.440155	50	4200
123	1466088914013385	2.460139	50	4200
124	1466088914033386	2.480140	50	4200
125	1466088914053407	2.500161	50	4200
126	1466088914073436	2.520190	50	4200
127	1466088914093400	2.540154	50	4200
128	1466088914113442	2.560196	50	4200
129	1466088914133388	2.580142	50	4200
130	1466088914153419	2.600173	50	4200
131	1466088914173416	2.620170	50	4200
132	1466088914193415	2.640169	50	4200
133	1466088914213467	2.660221	50	4200
134	1466088914233402	2.680156	50	4200
135	1466088914253466	2.700220	50	4200
136	1466088914273471	2.720225	50	4200
137	1466088914293434	2.740188	50	4200
138	1466088914313390	2.760144	50	4200
139	1466088914333416	2.780170	50	4200
140	1466088914353468	2.800222	50	4200
141	1466088914373435	2.820189	50	4200
142	1466088914393437	2.840191	50	4200
143	1466088914413418	2.860172	50	4200
144	1466088914433411	2.880165	50	4200
145	1466088914453405	2.900159	50	4200
146	1466088914473392	2.920146	50	4200
147	1466088914493434	2.940188	50	4200
148	1466088914513471	2.960225	50	4200
149	1466088914533412	2.980166	50	4200
150	1466088914553472	3.000226	50	4200
151	1466088914573427	3.020181	50	4200
152	1466088914593422	3.040176	50	4200
153	1466088914613434	3.060188	50	4200
154	1466088914633412	3.080166	50	4200
155	1466088914653418	3.100172	50	4200
156	1466088914673385	3.120139	50	4200
157	1466088914693408	3.140162	50	4200
158	1466088914713465	3.160219	50	4200
159	1466088914733395	3.180149	50	4200
160	1466088914753450	3.200204	50	4200
161	1466088914773419	3.220173	50	4200
162	1466088914793469	3.240223	50	4200
163	1466088914813415	3.260169	50	4200
164	1466088914833392	3.280146	50	4200
165	1466088914853460	3.300214	50	4200
166	1466088914873429	3.320183	50	4200
167	1466088914893433	3.340187	50	4200
168	1466088914913419	3.360173	50	4200
169	1466088914933385	3.380139	50	4200
170	1466088914953472	3.400226	50	4200
171	1466088914973431	3.420185	50	4200
172	1466088914993433	3.440187	50	4200
173	1466088915013421	3.460175	50	4200
174	1466088915033381	3.480135	50	4200
175	1466088915053454	3.500208	50	4200
176	1466088915073412	3.520166	50	4200
177	1466088915093435	3.540189	50	4200
178	1466088915113425	3.560179	50	4200
179	1466088915133394	3.580148	50	4200
180	1466088915153499	3.600253	50	4200
181	1466088915173402	3.620156	50	4200
182	1466088915193428	3.640182	50	4200
183	1466088915213423	3.660177	50	4200
184	1466088915233394	3.680148	50	4200
185	1466088915253463	3.700217	50	4200
186	1466088915273418	3.720172	50	4200
187	1466088915293467	3.740221	50	4200
188	1466088915313391	3.760145	50	4200
189	1466088915333391	3.780145	50	4200
190	1466088915353471	3.800225	50	4200
191	1466088915373469	3.820223	50	4200
192	1466088915393418	3.840172	50	4200
193	1466088915413414	3.860168	50	4200
194	1466088915433393	3.880147	50	4200
195	1466088915453470	3.900224	50	4200
196	1466088915473416	3.920170	50	4200
197	1466088915493419	3.940173	50	4200
198	1466088915513469	3.960223	50	4200
199	1466088915533418	3.980172	50	4200
200	1466088915553433	4.000187	50	4200
201	1466088915573433	4.020187	50	4200
202	1466088915593423	4.040177	50	4200
203	1466088915613417	4.060171	50	4200
204	1466088915633420	4.080174	50	4200
205	1466088915653424	4.100178	50	4200
206	1466088915673431	4.120185	50	4200
207	1466088915693412	4.140166	50	4200
208	1466088915713503	4.160257	50	4200
209	1466088915733396	4.180150	50	4200
210	1466088915753459	4.200213	50	4200
211	1466088915773467	4.220221	50	4200
212	1466088915793416	4.240170	50	4200
213	1466088915813459	4.260213	50	4200
214	1466088915833395	4.280149	50	4200
215	1466088915853472	4.300226	50	4200
216	1466088915873431	4.320185	50	4200
217	1466088915893470	4.340224	50	4200
218	1466088915913420	4.360174	50	4200
219	1466088915933408	4.380162	50	4200
220	1466088915953419	4.400173	50	4200
221	1466088915973420	4.420174	50	4200
222	1466088915993482	4.440236	50	4200
223	1466088916013417	4.460171	50	4200
224	1466088916033431	4.480185	50	4200
225	1466088916053440	4.500194	50	4200
226	1466088916073438	4.520192	50	4200
227	1466088916093475	4.540229	50	4200
228	1466088916113415	4.560169	50	4200
229	1466088916133402	4.580156	50	4200
230	1466088916153392	4.600146	50	4200
231	1466088916173415	4.620169	50	4200
232	1466088916193406	4.640160	50	4200
233	1466088916213404	4.660158	50	4200
234	1466088916233410	4.680164	50	4200
235	1466088916253416	4.700170	50	4200
236	1466088916273466	4.720220	50	4200
237	1466088916293433	4.740187	50	4200
238	1466088916313434	4.760188	50	4200
239	1466088916333390	4.780144	50	4200
240	1466088916353496	4.800250	50	4200
241	1466088916373434	4.820188	50	4200
242	1466088916393431	4.840185	50	4200
243	1466088916413468	4.860222	50	4200
244	1466088916433390	4.880144	50	4200
245	1466088916453501	4.900255	50	4200
246	1466088916473416	4.920170	50	4200
247	1466088916493467	4.940221	50	4200
248	1466088916513424	4.960178	50	4200
249	1466088916533393	4.980147	50	4200
250	1466088916553448	5.000202	50	4200
251	1466088916573411	5.020165	50	4200
252	1466088916593434	5.040188	50	4200
253	1466088916613415	5.060169	50	4200
254	1466088916633393	5.080147	50	4200
255	1466088916653501	5.100255	50	4200
256	1466088916673416	5.120170	50	4200
257	1466088916693401	5.140155	50	4200
258	1466088916713477	5.160231	50	4200
259	1466088916733408	5.180162	50	4200
260	1466088916753435	5.200189	50	4200
261	1466088916773417	5.220171	50	4200
262	1466088916793469	5.240223	50	4200
263	1466088916813434	5.260188	50	4200
264	1466088916833410	5.280164	50	4200
265	1466088916853420	5.300174	50	4200
266	1466088916873432	5.320186	50	4200
267	1466088916893416	5.340170	50	4200
268	1466088916913432	5.360186	50	4200
269	1466088916933415	5.380169	50	4200
270	1466088916953430	5.400184	50	4200
271	1466088916973434	5.420188	50	4200
272	1466088916993432	5.440186	50	4200
273	1466088917013421	5.460175	50	4200
274	1466088917033409	5.480163	50	4200
275	1466088917053389	5.500143	50	4200
276	1466088917073420	5.520174	50	4200
277	1466088917093436	5.540190	50	4200
278	1466088917113433	5.560187	50	4200
279	1466088917133395	5.580149	50	4200
280	1466088917153525	5.600279	50	4200
281	1466088917173570	5.620324	50	4200
282	1466088917193398	5.640152	50	4200
283	1466088917213439	5.660193	50	4200
284	1466088917233403	5.680157	50	4200
285	1466088917253431	5.700185	50	4200
286	1466088917273436	5.720190	50	4200
287	1466088917293436	5.740190	50	4200
288	1466088917313469	5.760223	50	4200
289	1466088917333409	5.780163	50	4200
290	1466088917353430	5.800184	50	4200
291	1466088917373431	5.820185	50	4200
292	1466088917393421	5.840175	50	4200
293	1466088917413377	5.860131	50	4200
294	1466088917433406	5.880160	50	4200
295	1466088917453461	5.900215	50	4200
296	1466088917473434	5.920188	50	4200
297	1466088917493391	5.940145	50	4200
298	1466088917513475	5.960229	50	4200
299	1466088917533434	5.980188	50	4200
300	1466088917553426	6.000180	50	4200
301	1466088917573418	6.020172	50	4200
302	1466088917593430	6.040184	50	4200
303	1466088917613433	6.060187	50	4200
304	1466088917633398	6.080152	50	4200
305	1466088917653470	6.100224	50	4200
306	1466088917673469	6.120223	50	4200
307	1466088917693410	6.140164	50	4200
308	1466088917713431	6.160185	50	4200
309	1466088917733431	6.180185	50	4200
310	1466088917753434	6.200188	50	4200
311	1466088917773435	6.220189	50	4200
312	1466088917793430	6.240184	50	4200
313	1466088917813423	6.260177	50	4200
314	1466088917833394	6.280148	50	4200
315	1466088917853636	6.300390	50	4200
316	1466088917873415	6.320169	50	4200
317	1466088917893416	6.340170	50	4200
318	1466088917913417	6.360171	50	4200
319	1466088917933403	6.380157	50	4200
320	1466088917953419	6.400173	50	4200
321	1466088917973417	6.420171	50	4200
322	1466088917993465	6.440219	50	4200
323	1466088918013425	6.460179	50	4200
324	1466088918033404	6.480158	50	4200
325	1466088918053471	6.500225	50	4200
326	1466088918073432	6.520186	50	4200
327	1466088918093470	6.540224	50	4200
328	1466088918113437	6.560191	50	4200
329	1466088918133399	6.580153	50	4200
330	1466088918153429	6.600183	50	4200
331	1466088918173422	6.620176	50	4200
332	1466088918193432	6.640186	50	4200
333	1466088918213477	6.660231	50	4200
334	1466088918233417	6.680171	50	4200
335	1466088918253436	6.700190	50	4200
336	1466088918273432	6.720186	50	4200
337	1466088918293472	6.740226	50	4200
338	1466088918313470	6.760224	50	4200
339	1466088918333412	6.780166	50	4200
340	1466088918353422	6.800176	50	4200
341	1466088918373419	6.820173	50	4200
342	1466088918393466	6.840220	50	4200
343	1466088918413435	6.860189	50	4200
344	1466088918433412	6.880166	50	4200
345	1466088918453436	6.900190	50	4200
346	1466088918473470	6.920224	50	4200
347	1466088918493417	6.940171	50	4200
348	1466088918513407	6.960161	50	4200
