rPacketNo	rPacketTime	rPacketTimeDouble
0	1466086954902184	0.000000
1	1466086954926730	0.020155
2	1466086954951273	0.040172
3	1466086954975717	0.060124
4	1466086955003968	0.080148
5	1466086955027270	0.100135
6	1466086955051870	0.120117
8	1466086955102685	0.160150
9	1466086955128029	0.180132
10	1466086955152579	0.200145
11	1466086955176699	0.220136
12	1466086955203341	0.240165
13	1466086955227897	0.260128
14	1466086955252289	0.280157
24	1466086955525620	0.480155
25	1466086955550034	0.500186
27	1466086955598877	0.540163
30	1466086955674690	0.600148
31	1466086955699036	0.620140
33	1466086955750554	0.660143
41	1466086955952315	0.820151
47	1466086956191730	0.940143
49	1466086956243084	0.980168
50	1466086956267450	1.000160
51	1466086956292013	1.020139
53	1466086956342697	1.060153
54	1466086956367284	1.080167
56	1466086956417990	1.120203
57	1466086956444559	1.140143
58	1466086956468969	1.160161
61	1466086956544890	1.220126
62	1466086956569339	1.240289
64	1466086956745292	1.280160
65	1466086956769745	1.300136
66	1466086956794489	1.320167
70	1466086956894135	1.400204
72	1466086956944951	1.440156
73	1466086956969370	1.460158
74	1466086956993785	1.480321
76	1466086957048088	1.520167
77	1466086957072668	1.540141
78	1466086957096963	1.560204
79	1466086957121565	1.580128
82	1466086957197120	1.640154
83	1466086957221767	1.660136
89	1466086957373168	1.780140
91	1466086957422744	1.820236
94	1466086957498072	1.880137
95	1466086957522705	1.900153
99	1466086957624699	1.980182
100	1466086957649335	2.000148
102	1466086957700985	2.040193
103	1466086957725493	2.060124
105	1466086957776073	2.100144
106	1466086957800627	2.120119
107	1466086957825071	2.140137
109	1466086957876410	2.180145
110	1466086957900674	2.200192
111	1466086957925241	2.220137
112	1466086957949654	2.240205
116	1466086958049983	2.320168
119	1466086958125691	2.380148
120	1466086958150043	2.400154
121	1466086958176465	2.420158
122	1466086958201806	2.440121
123	1466086958226300	2.460136
124	1466086958250786	2.480141
125	1466086958276988	2.500212
127	1466086958371203	2.540177
128	1466086958397045	2.560157
129	1466086958422263	2.580154
130	1466086958446711	2.600203
131	1466086958471155	2.620141
132	1466086958497416	2.640127
133	1466086958522013	2.660151
134	1466086958546107	2.680168
135	1466086958570961	2.700153
138	1466086958646754	2.760124
139	1466086958671213	2.780153
143	1466086958771025	2.860150
177	1466086959820998	3.540148
178	1466086959845329	3.560168
179	1466086959869820	3.580148
180	1466086959894179	3.600202
183	1466086959970015	3.660152
184	1466086959994348	3.680156
185	1466086960020698	3.700143
186	1466086960045254	3.720200
187	1466086960069595	3.740141
188	1466086960094083	3.760208
189	1466086960120489	3.780143
190	1466086960144873	3.800158
191	1466086960169410	3.820151
194	1466086960249061	3.880148
195	1466086960273669	3.900139
196	1466086960298028	3.920204
197	1466086960324450	3.940139
198	1466086960348839	3.960141
199	1466086960373699	3.980183
200	1466086960398117	4.000207
207	1466086960573234	4.140141
208	1466086960597640	4.160166
210	1466086960841415	4.200201
211	1466086960865740	4.220127
212	1466086960890014	4.240145
213	1466086960914608	4.260136
215	1466086960965928	4.300139
216	1466086960990358	4.320122
217	1466086961014875	4.340163
218	1466086961041168	4.360234
225	1466086961215093	4.500167
226	1466086961241438	4.520168
227	1466086961265968	4.540145
228	1466086961290487	4.560127
237	1466086961314965	4.740141
248	1466086961670789	4.960134
249	1466086961695319	4.980131
250	1466086961719912	5.000203
251	1466086961744211	5.020157
253	1466086961795622	5.060137
254	1466086961819949	5.080154
255	1466086961844455	5.100147
260	1466086961870793	5.200124
261	1466086961895192	5.220139
262	1466086961919345	5.240166
263	1466086961944022	5.260151
265	1466086961995434	5.300162
266	1466086962019696	5.320142
267	1466086962044297	5.340149
270	1466086962120159	5.400155
271	1466086962144759	5.420140
272	1466086962171076	5.440202
273	1466086962195039	5.460141
274	1466086962219544	5.480163
275	1466086962244400	5.500147
276	1466086962271384	5.520164
277	1466086962295754	5.540123
278	1466086962320205	5.560120
284	1466086962344596	5.680147
285	1466086962371058	5.700139
286	1466086962395542	5.720152
