rPacketNo	rPacketTime	rPacketTimeDouble
0	1465225159296316	0.000000
58	1465225160327303	1.160134
78	1465225160737404	1.560141
96	1465225161112819	1.920208
97	1465225161125173	1.940189
98	1465225161140544	1.960187
99	1465225161152999	1.980189
100	1465225161165337	2.000167
101	1465225161186855	2.020204
105	1465225161236509	2.100187
106	1465225161255102	2.120153
107	1465225161273542	2.140120
108	1465225161292065	2.160149
109	1465225161315433	2.180137
110	1465225161333342	2.200179
111	1465225161355113	2.220187
112	1465225161372638	2.240188
113	1465225161395013	2.260188
114	1465225161412641	2.280190
115	1465225161435711	2.300142
116	1465225161451728	2.320189
118	1465225161562494	2.360190
127	1465225161753920	2.540126
128	1465225161767233	2.560188
129	1465225161781922	2.580188
130	1465225161795111	2.600185
131	1465225161809057	2.620185
132	1465225161825108	2.640190
133	1465225161860848	2.660187
134	1465225161875328	2.680189
137	1465225161887550	2.740279
138	1465225161911925	2.760281
139	1465225161937386	2.780283
140	1465225161949756	2.800223
141	1465225161963868	2.820182
143	1465225162063155	2.860199
144	1465225162076694	2.880201
147	1465225162093208	2.940191
148	1465225162120722	2.960187
149	1465225162147891	2.980147
150	1465225162367979	3.000188
151	1465225162380519	3.020187
152	1465225162392743	3.040141
153	1465225162404968	3.060187
154	1465225162417224	3.080189
155	1465225162429480	3.100187
156	1465225162441830	3.120142
157	1465225162454055	3.140187
158	1465225162466311	3.160188
159	1465225162482187	3.180190
160	1465225162493293	3.200187
161	1465225162505513	3.220187
162	1465225162517459	3.240187
163	1465225162530002	3.260191
164	1465225162543255	3.280189
165	1465225162555539	3.300186
166	1465225162567792	3.320134
167	1465225162581938	3.340214
168	1465225162594282	3.360268
169	1465225162606506	3.380268
170	1465225162618861	3.400173
171	1465225162631085	3.420209
172	1465225162643313	3.440195
173	1465225162655630	3.460154
174	1465225162667559	3.480153
175	1465225162682008	3.500189
176	1465225162694257	3.520188
177	1465225162706482	3.540188
178	1465225162718798	3.560188
179	1465225162730992	3.580189
180	1465225162743225	3.600188
181	1465225162755407	3.620188
182	1465225162784592	3.640188
183	1465225162796921	3.660192
185	1465225162996058	3.700212
189	1465225163052198	3.780284
207	1465225163394288	4.140213
208	1465225163406539	4.160135
212	1465225163457452	4.240187
213	1465225163469674	4.260188
214	1465225163481973	4.280189
223	1465225163604209	4.460185
224	1465225163737678	4.480219
225	1465225163749911	4.500192
231	1465225163762224	4.620162
233	1465225163852511	4.660189
234	1465225163866340	4.680189
235	1465225163905708	4.700150
239	1465225163917888	4.780186
