rPacketNo	rPacketTime	rPacketTimeDouble
0	1466082686823401	0.000000
1	1466082686824645	0.020130
2	1466082686825851	0.040105
3	1466082686827024	0.060102
4	1466082686828256	0.080098
5	1466082686829457	0.100123
6	1466082686830573	0.120116
7	1466082687028261	0.140101
8	1466082687029412	0.160097
9	1466082687030620	0.180136
10	1466082687031964	0.200099
11	1466082687033211	0.220091
12	1466082687034391	0.240150
13	1466082687035604	0.260154
14	1466082687036744	0.280141
15	1466082687037969	0.300104
16	1466082687039153	0.320173
17	1466082687040108	0.340137
18	1466082687233094	0.360118
19	1466082687234320	0.380107
20	1466082687235534	0.400080
21	1466082687236846	0.420141
28	1466082687438023	0.560109
29	1466082687439305	0.580099
30	1466082687440542	0.600115
31	1466082687441675	0.620118
32	1466082687442867	0.640094
33	1466082687444030	0.660114
34	1466082687445239	0.680106
35	1466082687446504	0.700096
36	1466082687447676	0.720113
37	1466082687449054	0.740133
38	1466082687642606	0.760108
39	1466082687643738	0.780135
40	1466082687644929	0.800156
41	1466082687646213	0.820144
42	1466082687647390	0.840213
43	1466082687648661	0.860181
44	1466082687649876	0.880130
45	1466082687651051	0.900139
46	1466082687652314	0.920111
47	1466082687653497	0.940088
48	1466082687654627	0.960104
49	1466082687847629	0.980087
59	1466082688053380	1.180184
60	1466082688054629	1.200126
61	1466082688056356	1.220104
62	1466082688057600	1.240072
63	1466082688058782	1.260106
64	1466082688059935	1.280120
65	1466082688061197	1.300120
69	1466082688256987	1.380113
80	1466082688464436	1.600077
81	1466082688465598	1.620080
82	1466082688466874	1.640115
83	1466082688468058	1.660114
84	1466082688469274	1.680115
85	1466082688470521	1.700100
86	1466082688471643	1.720095
87	1466082688472889	1.740095
88	1466082688474165	1.760093
89	1466082688475143	1.780099
90	1466082688666722	1.800120
91	1466082688667870	1.820133
92	1466082688669118	1.840109
93	1466082688670336	1.860074
94	1466082688671492	1.880070
95	1466082688672694	1.900119
96	1466082688674589	1.920141
97	1466082688675820	1.940140
98	1466082688677184	1.960114
99	1466082688678062	1.980104
100	1466082688874470	2.000106
101	1466082688875516	2.020166
102	1466082688876654	2.040153
103	1466082688877819	2.060126
104	1466082688879020	2.080113
105	1466082688880268	2.100093
106	1466082688881420	2.120081
107	1466082688882570	2.140096
108	1466082688883805	2.160114
109	1466082688884779	2.180099
110	1466082689076231	2.200097
111	1466082689077485	2.220105
112	1466082689078682	2.240090
113	1466082689079985	2.260089
114	1466082689081265	2.280067
115	1466082689082450	2.300111
116	1466082689083634	2.320127
117	1466082689084753	2.340105
118	1466082689085944	2.360113
119	1466082689087016	2.380096
120	1466082689281109	2.400067
121	1466082689282241	2.420092
122	1466082689283456	2.440113
123	1466082689284656	2.460120
124	1466082689285871	2.480124
125	1466082689287114	2.500126
126	1466082689288267	2.520140
127	1466082689289453	2.540135
128	1466082689290698	2.560140
129	1466082689291661	2.580138
130	1466082689485902	2.600120
131	1466082689487173	2.620113
132	1466082689488445	2.640106
133	1466082689489741	2.660105
134	1466082689490926	2.680105
135	1466082689492031	2.700106
136	1466082689493406	2.720101
137	1466082689494621	2.740119
138	1466082689495901	2.760137
139	1466082689497053	2.780139
140	1466082689498018	2.800121
141	1466082689690639	2.820126
142	1466082689691771	2.840190
143	1466082689692997	2.860240
144	1466082689694153	2.880177
145	1466082689695432	2.900138
146	1466082689696616	2.920183
161	1466082690100636	3.220092
162	1466082690101406	3.240124
163	1466082690102707	3.260131
164	1466082690103770	3.280137
165	1466082690104921	3.300114
166	1466082690106264	3.320115
167	1466082690107321	3.340171
168	1466082690108544	3.360173
169	1466082690109787	3.380113
170	1466082690110794	3.400103
171	1466082690179462	3.420092
172	1466082690180924	3.440106
173	1466082690182059	3.460089
174	1466082690183578	3.480098
175	1466082690190584	3.500116
176	1466082690212846	3.520116
177	1466082690234255	3.540087
178	1466082690253221	3.560119
179	1466082690273015	3.580115
180	1466082690304806	3.600132
181	1466082690509821	3.620110
182	1466082690511020	3.640130
183	1466082690512181	3.660091
184	1466082690513457	3.680110
185	1466082690514668	3.700105
186	1466082690515856	3.720116
187	1466082690516970	3.740121
188	1466082690518028	3.760133
189	1466082690519388	3.780101
190	1466082690520449	3.800104
191	1466082690521524	3.820103
192	1466082690714671	3.840104
193	1466082690715900	3.860096
194	1466082690717079	3.880102
195	1466082690718294	3.900093
196	1466082690719391	3.920139
197	1466082690720606	3.940110
198	1466082690721722	3.960121
199	1466082690722923	3.980113
200	1466082690724252	4.000127
201	1466082690725135	4.020165
202	1466082690919624	4.040116
203	1466082690920741	4.060101
204	1466082690921892	4.080125
205	1466082690922976	4.100105
206	1466082690924196	4.120088
207	1466082690925417	4.140110
208	1466082690926619	4.160131
209	1466082690927737	4.180108
210	1466082690928921	4.200121
211	1466082690929957	4.220110
212	1466082691124288	4.240122
213	1466082691125469	4.260082
214	1466082691126682	4.280122
215	1466082691127848	4.300105
216	1466082691129017	4.320121
217	1466082691130231	4.340092
218	1466082691131386	4.360167
219	1466082691132484	4.380110
220	1466082691133593	4.400116
221	1466082691134824	4.420103
222	1466082691135720	4.440170
223	1466082691329246	4.460111
224	1466082691330366	4.480122
225	1466082691331392	4.500105
226	1466082691332533	4.520203
227	1466082691333655	4.540127
228	1466082691334782	4.560133
229	1466082691336020	4.580147
230	1466082691337139	4.600170
231	1466082691338356	4.620092
232	1466082691339443	4.640184
233	1466082691536383	4.660124
234	1466082691537530	4.680128
235	1466082691538714	4.700102
236	1466082691539760	4.720107
