rPacketNo	rPacketTime	rPacketTimeDouble
0	1466088911789897	0.000001
1	1466088911826651	0.020173
2	1466088911863296	0.040187
3	1466088911902391	0.060174
4	1466088911939057	0.080159
5	1466088911977465	0.100140
6	1466088912014170	0.120190
7	1466088912050838	0.140139
8	1466088912089249	0.160186
10	1466088912162527	0.200174
11	1466088912200832	0.220168
12	1466088912237586	0.240142
13	1466088912276316	0.260222
15	1466088912415302	0.300150
16	1466088912451681	0.320250
17	1466088912492071	0.340189
18	1466088912527378	0.360166
19	1466088912563904	0.380159
20	1466088912603732	0.400254
23	1466088912719435	0.460188
24	1466088912756029	0.480150
26	1466088912831275	0.520170
27	1466088912867971	0.540158
29	1466088913029948	0.580143
30	1466088913066455	0.600171
31	1466088913104640	0.620226
32	1466088913141719	0.640178
33	1466088913177886	0.660210
34	1466088913216784	0.680234
35	1466088913253353	0.700249
36	1466088913293342	0.720185
37	1466088913331698	0.740145
38	1466088913368189	0.760179
39	1466088913407151	0.780144
40	1466088913443658	0.800180
41	1466088913480319	0.820185
46	1466088913759372	0.920172
47	1466088913795640	0.940179
48	1466088913834408	0.960187
49	1466088913870854	0.980168
50	1466088913907376	1.000181
51	1466088913945824	1.020175
52	1466088913982323	1.040155
55	1466088914222240	1.100146
60	1466088914406857	1.200183
62	1466088914484550	1.240174
63	1466088914520818	1.260221
64	1466088914559369	1.280188
65	1466088914595771	1.300175
66	1466088914634082	1.320186
67	1466088914671792	1.340186
70	1466088914783577	1.400186
71	1466088914863500	1.420192
72	1466088914900123	1.440208
73	1466088914936456	1.460187
74	1466088914974901	1.480186
75	1466088915011658	1.500207
76	1466088915052268	1.520201
77	1466088915090348	1.540223
78	1466088915126940	1.560224
79	1466088915165207	1.580166
81	1466088915240729	1.620218
91	1466088915391528	1.820175
92	1466088915427851	1.840225
95	1466088915717718	1.900185
97	1466088915792774	1.940178
117	1466088915942944	2.340171
118	1466088915982313	2.360186
119	1466088916018799	2.380164
120	1466088916055470	2.400143
123	1466088916173142	2.460139
124	1466088916208526	2.480140
125	1466088916244701	2.500161
127	1466088916319967	2.540154
128	1466088916356503	2.560196
150	1466088916536905	3.000226
152	1466088916613575	3.040176
153	1466088916650217	3.060188
154	1466088916688186	3.080166
155	1466088916725009	3.100172
156	1466088916761506	3.120139
159	1466088916878392	3.180149
161	1466088916953489	3.220173
176	1466088917065203	3.520166
178	1466088917143124	3.560179
179	1466088917179372	3.580148
181	1466088917319597	3.620156
