sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1465225478009477	0.000001	50	1400
1	1465225478029696	0.020220	50	1400
2	1465225478049627	0.040151	50	1400
3	1465225478069662	0.060186	50	1400
4	1465225478089591	0.080115	50	1400
5	1465225478109596	0.100120	50	1400
6	1465225478129578	0.120102	50	1400
7	1465225478149613	0.140137	50	1400
8	1465225478169613	0.160137	50	1400
9	1465225478189616	0.180140	50	1400
10	1465225478209603	0.200127	50	1400
11	1465225478229658	0.220182	50	1400
12	1465225478249664	0.240188	50	1400
13	1465225478269664	0.260188	50	1400
14	1465225478289665	0.280189	50	1400
15	1465225478309666	0.300190	50	1400
16	1465225478329616	0.320140	50	1400
17	1465225478349610	0.340134	50	1400
18	1465225478369646	0.360170	50	1400
19	1465225478389664	0.380188	50	1400
20	1465225478409666	0.400190	50	1400
21	1465225478429665	0.420189	50	1400
22	1465225478449663	0.440187	50	1400
23	1465225478469609	0.460133	50	1400
24	1465225478489663	0.480187	50	1400
25	1465225478509665	0.500189	50	1400
26	1465225478529617	0.520141	50	1400
27	1465225478549655	0.540179	50	1400
28	1465225478569664	0.560188	50	1400
29	1465225478589663	0.580187	50	1400
30	1465225478609665	0.600189	50	1400
31	1465225478629664	0.620188	50	1400
32	1465225478649664	0.640188	50	1400
33	1465225478669664	0.660188	50	1400
34	1465225478689664	0.680188	50	1400
35	1465225478709666	0.700190	50	1400
36	1465225478729665	0.720189	50	1400
37	1465225478749663	0.740187	50	1400
38	1465225478769616	0.760140	50	1400
39	1465225478789659	0.780183	50	1400
40	1465225478809618	0.800142	50	1400
41	1465225478829665	0.820189	50	1400
42	1465225478849663	0.840187	50	1400
43	1465225478869663	0.860187	50	1400
44	1465225478889665	0.880189	50	1400
45	1465225478909664	0.900188	50	1400
46	1465225478929630	0.920154	50	1400
47	1465225478949719	0.940243	50	1400
48	1465225478969720	0.960244	50	1400
49	1465225478989721	0.980245	50	1400
50	1465225479009723	1.000247	50	1400
51	1465225479029638	1.020162	50	1400
52	1465225479049617	1.040141	50	1400
53	1465225479069617	1.060141	50	1400
54	1465225479089663	1.080187	50	1400
55	1465225479109632	1.100156	50	1400
56	1465225479129700	1.120224	50	1400
57	1465225479149663	1.140187	50	1400
58	1465225479169663	1.160187	50	1400
59	1465225479189664	1.180188	50	1400
60	1465225479209664	1.200188	50	1400
61	1465225479229665	1.220189	50	1400
62	1465225479249663	1.240187	50	1400
63	1465225479269663	1.260187	50	1400
64	1465225479289665	1.280189	50	1400
65	1465225479309663	1.300187	50	1400
66	1465225479329665	1.320189	50	1400
67	1465225479349663	1.340187	50	1400
68	1465225479369664	1.360188	50	1400
69	1465225479389665	1.380189	50	1400
70	1465225479409664	1.400188	50	1400
71	1465225479429663	1.420187	50	1400
72	1465225479449664	1.440188	50	1400
73	1465225479469662	1.460186	50	1400
74	1465225479489616	1.480140	50	1400
75	1465225479509656	1.500180	50	1400
76	1465225479529600	1.520124	50	1400
77	1465225479549648	1.540172	50	1400
78	1465225479569665	1.560189	50	1400
79	1465225479589666	1.580190	50	1400
80	1465225479609667	1.600191	50	1400
81	1465225479629629	1.620153	50	1400
82	1465225479649663	1.640187	50	1400
83	1465225479669663	1.660187	50	1400
84	1465225479689664	1.680188	50	1400
85	1465225479709664	1.700188	50	1400
86	1465225479729618	1.720142	50	1400
87	1465225479749672	1.740196	50	1400
88	1465225479769674	1.760198	50	1400
89	1465225479789672	1.780196	50	1400
90	1465225479809678	1.800202	50	1400
91	1465225479829669	1.820193	50	1400
92	1465225479849706	1.840230	50	1400
93	1465225479869749	1.860273	50	1400
94	1465225479889762	1.880286	50	1400
95	1465225479909762	1.900286	50	1400
96	1465225479929720	1.920244	50	1400
97	1465225479949759	1.940283	50	1400
98	1465225479969757	1.960281	50	1400
99	1465225479989759	1.980283	50	1400
100	1465225480009763	2.000287	50	1400
101	1465225480029655	2.020179	50	1400
102	1465225480049644	2.040168	50	1400
103	1465225480069659	2.060183	50	1400
104	1465225480089666	2.080190	50	1400
105	1465225480109611	2.100135	50	1400
106	1465225480129599	2.120123	50	1400
107	1465225480149663	2.140187	50	1400
108	1465225480169663	2.160187	50	1400
109	1465225480189664	2.180188	50	1400
110	1465225480209704	2.200228	50	1400
