sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1465227058041208	0.000000	50	13
1	1465227058061329	0.020121	50	13
2	1465227058081377	0.040169	50	13
3	1465227058101381	0.060173	50	13
4	1465227058121381	0.080173	50	13
5	1465227058141329	0.100121	50	13
6	1465227058161345	0.120137	50	13
7	1465227058181382	0.140174	50	13
8	1465227058201323	0.160115	50	13
9	1465227058221379	0.180171	50	13
10	1465227058241381	0.200173	50	13
11	1465227058261382	0.220174	50	13
12	1465227058281383	0.240175	50	13
13	1465227058301380	0.260172	50	13
14	1465227058321380	0.280172	50	13
15	1465227058341382	0.300174	50	13
16	1465227058361382	0.320174	50	13
17	1465227058381383	0.340175	50	13
18	1465227058401380	0.360172	50	13
19	1465227058421380	0.380172	50	13
20	1465227058441381	0.400173	50	13
21	1465227058461382	0.420174	50	13
22	1465227058481382	0.440174	50	13
23	1465227058501381	0.460173	50	13
24	1465227058521333	0.480125	50	13
25	1465227058541359	0.500151	50	13
26	1465227058561380	0.520172	50	13
27	1465227058581384	0.540176	50	13
28	1465227058601379	0.560171	50	13
29	1465227058621329	0.580121	50	13
30	1465227058641378	0.600170	50	13
31	1465227058661382	0.620174	50	13
32	1465227058681383	0.640175	50	13
33	1465227058701381	0.660173	50	13
34	1465227058721380	0.680172	50	13
35	1465227058741382	0.700174	50	13
36	1465227058761380	0.720172	50	13
37	1465227058781383	0.740175	50	13
38	1465227058801328	0.760120	50	13
39	1465227058821332	0.780124	50	13
40	1465227058841321	0.800113	50	13
41	1465227058861325	0.820117	50	13
42	1465227058881405	0.840197	50	13
43	1465227058901426	0.860218	50	13
44	1465227058921424	0.880216	50	13
45	1465227058941427	0.900219	50	13
46	1465227058961429	0.920221	50	13
47	1465227058981428	0.940220	50	13
48	1465227059001429	0.960221	50	13
49	1465227059021345	0.980137	50	13
50	1465227059041428	1.000220	50	13
51	1465227059061386	1.020178	50	13
52	1465227059081382	1.040174	50	13
53	1465227059101379	1.060171	50	13
54	1465227059121382	1.080174	50	13
55	1465227059141327	1.100119	50	13
56	1465227059161328	1.120120	50	13
57	1465227059181381	1.140173	50	13
58	1465227059201380	1.160172	50	13
59	1465227059221380	1.180172	50	13
60	1465227059241380	1.200172	50	13
61	1465227059261383	1.220175	50	13
62	1465227059281383	1.240175	50	13
63	1465227059301380	1.260172	50	13
64	1465227059321381	1.280173	50	13
65	1465227059341381	1.300173	50	13
66	1465227059361332	1.320124	50	13
67	1465227059381383	1.340175	50	13
68	1465227059401382	1.360174	50	13
69	1465227059421381	1.380173	50	13
70	1465227059441381	1.400173	50	13
71	1465227059461382	1.420174	50	13
72	1465227059481383	1.440175	50	13
73	1465227059501380	1.460172	50	13
74	1465227059521329	1.480121	50	13
75	1465227059541394	1.500186	50	13
76	1465227059561381	1.520173	50	13
77	1465227059581383	1.540175	50	13
78	1465227059601379	1.560171	50	13
79	1465227059621381	1.580173	50	13
80	1465227059641381	1.600173	50	13
81	1465227059661384	1.620176	50	13
82	1465227059681381	1.640173	50	13
83	1465227059701380	1.660172	50	13
84	1465227059721380	1.680172	50	13
85	1465227059741381	1.700173	50	13
86	1465227059761382	1.720174	50	13
87	1465227059781383	1.740175	50	13
88	1465227059801329	1.760121	50	13
89	1465227059821414	1.780206	50	13
90	1465227059841446	1.800238	50	13
91	1465227059861384	1.820176	50	13
92	1465227059881367	1.840159	50	13
93	1465227059901385	1.860177	50	13
94	1465227059921387	1.880179	50	13
95	1465227059941387	1.900179	50	13
96	1465227059961390	1.920182	50	13
97	1465227059981389	1.940181	50	13
98	1465227060001388	1.960180	50	13
99	1465227060021325	1.980117	50	13
100	1465227060041431	2.000223	50	13
101	1465227060061357	2.020149	50	13
102	1465227060081388	2.040180	50	13
103	1465227060101385	2.060177	50	13
104	1465227060121385	2.080177	50	13
105	1465227060141343	2.100135	50	13
106	1465227060161419	2.120211	50	13
107	1465227060181383	2.140175	50	13
108	1465227060201381	2.160173	50	13
109	1465227060221380	2.180172	50	13
110	1465227060241381	2.200173	50	13
111	1465227060261382	2.220174	50	13
112	1465227060281382	2.240174	50	13
113	1465227060301381	2.260173	50	13
114	1465227060321381	2.280173	50	13
115	1465227060341380	2.300172	50	13
116	1465227060361405	2.320197	50	13
117	1465227060381383	2.340175	50	13
118	1465227060401380	2.360172	50	13
119	1465227060421382	2.380174	50	13
120	1465227060441379	2.400171	50	13
121	1465227060461381	2.420173	50	13
122	1465227060481382	2.440174	50	13
123	1465227060501380	2.460172	50	13
124	1465227060521330	2.480122	50	13
125	1465227060541424	2.500216	50	13
126	1465227060561382	2.520174	50	13
127	1465227060581382	2.540174	50	13
128	1465227060601381	2.560173	50	13
129	1465227060621382	2.580174	50	13
130	1465227060641381	2.600173	50	13
131	1465227060661382	2.620174	50	13
132	1465227060681382	2.640174	50	13
133	1465227060701381	2.660173	50	13
134	1465227060721380	2.680172	50	13
135	1465227060741380	2.700172	50	13
136	1465227060761382	2.720174	50	13
137	1465227060781382	2.740174	50	13
138	1465227060801320	2.760112	50	13
139	1465227060821425	2.780217	50	13
140	1465227060841403	2.800195	50	13
141	1465227060861401	2.820193	50	13
142	1465227060881427	2.840219	50	13
143	1465227060901437	2.860229	50	13
144	1465227060921446	2.880238	50	13
145	1465227060941446	2.900238	50	13
146	1465227060961446	2.920238	50	13
147	1465227060981449	2.940241	50	13
148	1465227061001448	2.960240	50	13
149	1465227061021359	2.980151	50	13
150	1465227061041372	3.000164	50	13
151	1465227061061339	3.020131	50	13
152	1465227061081381	3.040173	50	13
153	1465227061101381	3.060173	50	13
