rPacketNo	rPacketTime	rPacketTimeDouble
0	1465225902721530	0.000001
1	1465225902733858	0.020231
2	1465225902746206	0.040163
3	1465225902758885	0.060137
18	1465225902954673	0.360191
19	1465225902966898	0.380280
20	1465225902979183	0.400282
21	1465225902991503	0.420283
22	1465225903003473	0.440280
23	1465225903015650	0.460280
24	1465225903029920	0.480280
26	1465225903055248	0.520215
27	1465225903067337	0.540176
28	1465225903079540	0.560207
30	1465225903131827	0.600147
31	1465225903143895	0.620100
32	1465225903158796	0.640169
33	1465225903176237	0.660191
34	1465225903233440	0.680198
36	1465225903245691	0.720201
37	1465225903270140	0.740160
38	1465225903282472	0.760195
39	1465225903295643	0.780198
41	1465225903348222	0.820157
42	1465225903360542	0.840206
43	1465225903375965	0.860196
44	1465225903539735	0.880199
45	1465225903552007	0.900199
46	1465225903564348	0.920197
47	1465225903576573	0.940198
48	1465225903588894	0.960196
49	1465225903601182	0.980199
50	1465225903613242	1.000198
51	1465225903625755	1.020128
52	1465225903638044	1.040159
54	1465225903665256	1.080187
55	1465225903677502	1.100132
56	1465225903689758	1.120140
57	1465225903702015	1.140135
58	1465225903714335	1.160187
59	1465225903726689	1.180187
60	1465225903739007	1.200187
61	1465225903753121	1.220188
62	1465225903765320	1.240187
63	1465225903777632	1.260186
64	1465225903953891	1.280188
65	1465225903966576	1.300188
66	1465225903982018	1.320218
67	1465225903994438	1.340282
68	1465225904007493	1.360217
69	1465225904019327	1.380254
70	1465225904033022	1.400199
71	1465225904045271	1.420200
72	1465225904059415	1.440199
73	1465225904071642	1.460197
74	1465225904083932	1.480199
75	1465225904096122	1.500198
76	1465225904108291	1.520147
77	1465225904120922	1.540253
78	1465225904133214	1.560134
79	1465225904145434	1.580187
80	1465225904159643	1.600185
81	1465225904171900	1.620186
82	1465225904184094	1.640185
83	1465225904196348	1.660186
84	1465225904208519	1.680185
85	1465225904220452	1.700187
86	1465225904359109	1.720188
87	1465225904371404	1.740186
88	1465225904383721	1.760186
89	1465225904395975	1.780187
90	1465225904408229	1.800188
91	1465225904420515	1.820186
92	1465225904432807	1.840186
93	1465225904445090	1.860139
94	1465225904457345	1.880136
95	1465225904473186	1.900185
96	1465225904484483	1.920151
97	1465225904496738	1.940186
98	1465225904509026	1.960185
99	1465225904520941	1.980184
100	1465225904533161	2.000187
101	1465225904545825	2.020150
102	1465225904558687	2.040240
103	1465225904575458	2.060182
104	1465225904772705	2.080186
105	1465225904785029	2.100186
106	1465225904797217	2.120146
107	1465225904809568	2.140179
108	1465225904821714	2.160186
109	1465225904833851	2.180185
110	1465225904846368	2.200223
111	1465225904858628	2.220188
112	1465225904874467	2.240186
113	1465225904885571	2.260186
114	1465225904897936	2.280185
115	1465225904910191	2.300187
116	1465225904923661	2.320209
117	1465225904937488	2.340255
118	1465225904956429	2.360262
119	1465225904969941	2.380226
120	1465225905177963	2.400204
121	1465225905190469	2.420277
122	1465225905202759	2.440280
123	1465225905215046	2.460279
124	1465225905227268	2.480280
137	1465225905394208	2.740186
138	1465225905406400	2.760186
139	1465225905418724	2.780187
140	1465225905431008	2.800187
141	1465225905443295	2.820188
142	1465225905455586	2.840186
143	1465225905467811	2.860186
144	1465225905480032	2.880187
145	1465225905495873	2.900187
146	1465225905508224	2.920188
147	1465225905520206	2.940187
148	1465225905534501	2.960185
149	1465225905546830	2.980185
150	1465225905559076	3.000190
151	1465225905572486	3.020127
152	1465225905584808	3.040130
153	1465225905598944	3.060184
154	1465225905611206	3.080152
155	1465225905623391	3.100187
156	1465225905638595	3.120136
157	1465225905655408	3.140135
158	1465225905792692	3.160185
159	1465225905804982	3.180187
160	1465225905817208	3.200188
161	1465225905829527	3.220188
162	1465225905841771	3.240186
163	1465225905854102	3.260186
164	1465225905866329	3.280187
165	1465225905878550	3.300153
166	1465225905890743	3.320189
170	1465225905941515	3.400282
171	1465225905953814	3.420282
172	1465225905997569	3.440280
173	1465225906009822	3.460356
174	1465225906021763	3.480301
175	1465225906035937	3.500283
176	1465225906047383	3.520202
177	1465225906059303	3.540303
178	1465225906202224	3.560141
179	1465225906214510	3.580135
180	1465225906226830	3.600142
181	1465225906239152	3.620184
182	1465225906251443	3.640186
183	1465225906263734	3.660187
184	1465225906275949	3.680187
185	1465225906288174	3.700186
186	1465225906300367	3.720188
187	1465225906316175	3.740188
192	1465225906375902	3.840186
193	1465225906388466	3.860138
194	1465225906407130	3.880187
195	1465225906612218	3.900190
196	1465225906624603	3.920188
197	1465225906636897	3.940186
198	1465225906649086	3.960186
199	1465225906661361	3.980186
200	1465225906673940	4.000186
201	1465225906686464	4.020150
202	1465225906698810	4.040211
203	1465225906711067	4.060185
204	1465225906725977	4.080188
205	1465225906738234	4.100188
208	1465225906775675	4.160187
209	1465225906789659	4.180190
211	1465225906817631	4.220190
212	1465225906829859	4.240188
213	1465225906842170	4.260188
214	1465225906854459	4.280189
215	1465225906866715	4.300136
216	1465225906879065	4.320190
217	1465225906891335	4.340212
218	1465225906903606	4.360187
219	1465225906915862	4.380188
221	1465225906943158	4.420272
222	1465225906955927	4.440241
224	1465225907033648	4.480244
225	1465225907045833	4.500243
226	1465225907059330	4.520172
227	1465225907071677	4.540207
228	1465225907124740	4.560188
229	1465225907137024	4.580187
231	1465225907149308	4.620188
232	1465225907173692	4.640188
233	1465225907186016	4.660187
234	1465225907199484	4.680186
236	1465225907329309	4.720188
241	1465225907341628	4.820190
242	1465225907366259	4.840187
243	1465225907390771	4.860138
244	1465225907415378	4.880185
245	1465225907441742	4.900130
246	1465225907454000	4.920134
247	1465225907466223	4.940152
248	1465225907478415	4.960152
251	1465225907662209	5.020147
252	1465225907673196	5.040205
253	1465225907685476	5.060185
254	1465225907697665	5.080185
255	1465225907709985	5.100186
256	1465225907722208	5.120120
257	1465225907734476	5.140136
258	1465225907748738	5.160134
259	1465225907761059	5.180135
260	1465225907773323	5.200191
261	1465225907785539	5.220189
262	1465225907797794	5.240187
263	1465225907810787	5.260136
264	1465225907823040	5.280128
265	1465225907835303	5.300186
266	1465225907849538	5.320190
267	1465225907861813	5.340188
268	1465225907875756	5.360186
269	1465225908045480	5.380188
270	1465225908057803	5.400189
271	1465225908070091	5.420188
272	1465225908082344	5.440185
273	1465225908094505	5.460185
274	1465225908106793	5.480185
275	1465225908119092	5.500187
276	1465225908131851	5.520123
277	1465225908144134	5.540229
278	1465225908160169	5.560230
280	1465225908182922	5.600189
281	1465225908195086	5.620190
282	1465225908206972	5.640186
283	1465225908219501	5.660133
284	1465225908231732	5.680177
285	1465225908244072	5.700188
287	1465225908455090	5.740187
288	1465225908467313	5.760186
289	1465225908479633	5.780186
290	1465225908491897	5.800187
291	1465225908504275	5.820187
292	1465225908516284	5.840186
293	1465225908528841	5.860139
294	1465225908541100	5.880185
295	1465225908553365	5.900186
296	1465225908569206	5.920143
297	1465225908580335	5.940186
298	1465225908592595	5.960187
299	1465225908604860	5.980186
300	1465225908617116	6.000187
301	1465225908629291	6.020133
302	1465225908641550	6.040119
303	1465225908653944	6.060130
304	1465225908668146	6.080153
305	1465225908680434	6.100151
306	1465225908692722	6.120188
307	1465225908705011	6.140133
308	1465225908717918	6.160186
309	1465225908730196	6.180152
310	1465225908742450	6.200151
311	1465225908754739	6.220188
312	1465225908768868	6.240187
313	1465225908781052	6.260188
314	1465225908795700	6.280108
315	1465225908864724	6.300126
316	1465225908876946	6.320217
317	1465225908889152	6.340278
318	1465225908901409	6.360217
319	1465225908915401	6.380278
320	1465225908926779	6.400221
321	1465225908939037	6.420356
322	1465225909069448	6.440280
323	1465225909081601	6.460279
324	1465225909093866	6.480280
325	1465225909106157	6.500331
326	1465225909118339	6.520186
327	1465225909130613	6.540221
328	1465225909143011	6.560145
329	1465225909155238	6.580187
330	1465225909167372	6.600111
332	1465225909194535	6.640150
333	1465225909206792	6.660187
334	1465225909219052	6.680187
335	1465225909231273	6.700186
336	1465225909243462	6.720187
337	1465225909258919	6.740188
338	1465225909275496	6.760186
339	1465225909479321	6.780186
340	1465225909491512	6.800186
341	1465225909503804	6.820188
342	1465225909515719	6.840187
343	1465225909528301	6.860137
344	1465225909540544	6.880186
345	1465225909552960	6.900186
346	1465225909565182	6.920137
347	1465225909577502	6.940183
348	1465225909591611	6.960186
349	1465225909605534	6.980186
350	1465225909616637	7.000188
351	1465225909628881	7.020128
352	1465225909641187	7.040198
353	1465225909653471	7.060142
354	1465225909665790	7.080188
355	1465225909678078	7.100186
356	1465225909692189	7.120190
357	1465225909704416	7.140133
358	1465225909716609	7.160149
359	1465225909728862	7.180188
360	1465225909740787	7.200185
361	1465225909753377	7.220189
362	1465225909765663	7.240186
363	1465225909778205	7.260185
364	1465225909889455	7.280186
365	1465225909907214	7.300186
366	1465225909920022	7.320221
367	1465225909932394	7.340285
368	1465225909946032	7.360216
369	1465225909961134	7.380279
370	1465225909973486	7.400281
371	1465225909985842	7.420280
373	1465225910012238	7.460206
374	1465225910024110	7.480219
375	1465225910036914	7.500281
376	1465225910049461	7.520220
377	1465225910061705	7.540289
378	1465225910078967	7.560199
379	1465225910095543	7.580193
380	1465225910298277	7.600193
381	1465225910310469	7.620196
382	1465225910322789	7.640195
383	1465225910335080	7.660194
384	1465225910347014	7.680195
385	1465225910359598	7.700194
386	1465225910372039	7.720195
387	1465225910384261	7.740197
388	1465225910396454	7.760193
391	1465225910436713	7.820194
392	1465225910447942	7.840197
393	1465225910460264	7.860149
394	1465225910472550	7.880193
395	1465225910484794	7.900194
396	1465225910497002	7.920194
397	1465225910511148	7.940196
398	1465225910523184	7.960192
399	1465225910535783	7.980193
400	1465225910548072	8.000196
401	1465225910560225	8.020168
402	1465225910572650	8.040180
404	1465225910709461	8.080196
405	1465225910724403	8.100197
406	1465225910736632	8.120195
407	1465225910748918	8.140186
408	1465225910761478	8.160186
409	1465225910773973	8.180136
410	1465225910786617	8.200183
411	1465225910801670	8.220189
412	1465225910913698	8.240188
413	1465225910926029	8.260187
435	1465225911225878	8.700187
436	1465225911238647	8.720187
437	1465225911322209	8.740188
438	1465225911334376	8.760186
439	1465225911346751	8.780186
440	1465225911359039	8.800186
441	1465225911371235	8.820189
442	1465225911383486	8.840188
443	1465225911397503	8.860186
444	1465225911408670	8.880186
445	1465225911421028	8.900185
447	1465225911539016	8.940179
448	1465225911551541	8.960186
449	1465225911563893	8.980186
450	1465225911575878	9.000185
451	1465225911588442	9.020139
452	1465225911600630	9.040219
453	1465225911612951	9.060135
454	1465225911625174	9.080182
455	1465225911641154	9.100185
456	1465225911652178	9.120185
457	1465225911664469	9.140130
458	1465225911679127	9.160200
459	1465225911695671	9.180184
460	1465225911733605	9.200187
461	1465225911744934	9.220189
462	1465225911758566	9.240195
463	1465225911775472	9.260190
464	1465225911937059	9.280185
465	1465225911950047	9.300185
466	1465225911962235	9.320188
467	1465225911974463	9.340220
468	1465225911986661	9.360217
469	1465225911998843	9.380282
470	1465225912011121	9.400281
471	1465225912023036	9.420282
472	1465225912036412	9.440199
473	1465225912052248	9.460278
475	1465225912075963	9.500231
476	1465225912088189	9.520248
477	1465225912100440	9.540110
478	1465225912112730	9.560223
479	1465225912124954	9.580187
480	1465225912137153	9.600185
483	1465225912346328	9.660186
484	1465225912358521	9.680186
485	1465225912370716	9.700188
486	1465225912383000	9.720188
487	1465225912395193	9.740188
488	1465225912407514	9.760186
489	1465225912419737	9.780187
490	1465225912432026	9.800187
491	1465225912444224	9.820189
492	1465225912460185	9.840187
493	1465225912471453	9.860140
494	1465225912483672	9.880187
495	1465225912495697	9.900186
496	1465225912508250	9.920186
497	1465225912520185	9.940186
