rPacketNo	rPacketTime	rPacketTimeDouble
0	1465226555201943	0.000000
1	1465226555202972	0.020119
2	1465226555204124	0.040127
3	1465226555205244	0.060165
4	1465226555206428	0.080117
5	1465226555207579	0.100098
6	1465226555208714	0.120105
7	1465226555209856	0.140115
8	1465226555210755	0.160086
9	1465226555406846	0.180117
10	1465226555407931	0.200118
11	1465226555409084	0.220164
12	1465226555410203	0.240171
13	1465226555411387	0.260172
14	1465226555412572	0.280172
15	1465226555413658	0.300174
16	1465226555414758	0.320173
17	1465226555416030	0.340172
18	1465226555417116	0.360172
19	1465226555418070	0.380121
20	1465226555611898	0.400180
21	1465226555613047	0.420172
22	1465226555614199	0.440172
23	1465226555615355	0.460171
24	1465226555616566	0.480670
25	1465226555617720	0.500114
26	1465226555618806	0.520150
27	1465226555619958	0.540176
28	1465226555621107	0.560178
29	1465226555622030	0.580128
30	1465226555816459	0.600133
31	1465226555817645	0.620143
32	1465226555818732	0.640178
33	1465226555819948	0.660180
34	1465226555821069	0.680122
35	1465226555822152	0.700173
36	1465226555823205	0.720178
37	1465226555824317	0.740179
38	1465226555825528	0.760179
39	1465226555826560	0.780151
40	1465226556021250	0.800172
41	1465226556022360	0.820151
42	1465226556023516	0.840118
43	1465226556024612	0.860160
44	1465226556025770	0.880209
45	1465226556026928	0.900240
46	1465226556028024	0.920237
47	1465226556029084	0.940237
48	1465226556030289	0.960236
49	1465226556031255	0.980819
50	1465226556226129	1.000173
51	1465226556227277	1.020178
52	1465226556228360	1.040137
53	1465226556229520	1.060171
54	1465226556230673	1.080173
55	1465226556231856	1.100173
56	1465226556233010	1.120171
57	1465226556234152	1.140170
58	1465226556235372	1.160170
59	1465226556236427	1.180173
60	1465226556430916	1.200123
61	1465226556432099	1.220161
62	1465226556433222	1.240170
63	1465226556434268	1.260172
64	1465226556435457	1.280174
65	1465226556436545	1.300172
66	1465226556437730	1.320170
67	1465226556438879	1.340171
68	1465226556439936	1.360170
69	1465226556441086	1.380172
70	1465226556442048	1.400122
71	1465226556635969	1.420125
72	1465226556637121	1.440137
73	1465226556638207	1.460135
74	1465226556639328	1.480102
75	1465226556640480	1.500168
76	1465226556641634	1.520170
77	1465226556642784	1.540172
78	1465226556643905	1.560171
79	1465226556645025	1.580171
80	1465226556646109	1.600174
81	1465226556840556	1.620127
82	1465226556841676	1.640113
83	1465226556842795	1.660157
84	1465226556843915	1.680170
85	1465226556845035	1.700173
86	1465226556846156	1.720170
87	1465226556847224	1.740171
88	1465226556848292	1.760171
89	1465226556849447	1.780203
90	1465226556850351	1.800207
91	1465226557045274	1.820172
92	1465226557046393	1.840186
93	1465226557047543	1.860201
94	1465226557048641	1.880204
95	1465226557049780	1.900204
96	1465226557050824	1.920202
97	1465226557051907	1.940203
98	1465226557053028	1.960202
99	1465226557054291	1.980117
100	1465226557055343	2.000137
101	1465226557250078	2.020140
102	1465226557251192	2.040112
103	1465226557252377	2.060169
104	1465226557253434	2.080174
105	1465226557254579	2.100174
106	1465226557255768	2.120173
107	1465226557256888	2.140170
108	1465226557257941	2.160171
109	1465226557259028	2.180175
110	1465226557260084	2.200174
111	1465226557261016	2.220092
112	1465226557454819	2.240161
113	1465226557455962	2.260174
114	1465226557457019	2.280172
115	1465226557458106	2.300175
116	1465226557459321	2.320202
117	1465226557460442	2.340172
118	1465226557461596	2.360173
119	1465226557462646	2.380172
120	1465226557463722	2.400177
121	1465226557464795	2.420210
122	1465226557659705	2.440171
123	1465226557660800	2.460174
124	1465226557661849	2.480098
125	1465226557662934	2.500179
126	1465226557664055	2.520177
127	1465226557665114	2.540175
128	1465226557666129	2.560173
129	1465226557667284	2.580175
