sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1465208004337100	0.000000	50	2800
1	1465208004357249	0.020149	50	2800
2	1465208004377305	0.040205	50	2800
3	1465208004397308	0.060208	50	2800
4	1465208004417305	0.080205	50	2800
5	1465208004437308	0.100208	50	2800
6	1465208004457307	0.120207	50	2800
7	1465208004477308	0.140208	50	2800
8	1465208004497304	0.160204	50	2800
9	1465208004517228	0.180128	50	2800
10	1465208004537304	0.200204	50	2800
11	1465208004557245	0.220145	50	2800
12	1465208004577380	0.240280	50	2800
13	1465208004597316	0.260216	50	2800
14	1465208004617307	0.280207	50	2800
15	1465208004637303	0.300203	50	2800
16	1465208004657305	0.320205	50	2800
17	1465208004677308	0.340208	50	2800
18	1465208004697307	0.360207	50	2800
19	1465208004717304	0.380204	50	2800
20	1465208004737309	0.400209	50	2800
21	1465208004757303	0.420203	50	2800
22	1465208004777321	0.440221	50	2800
23	1465208004797307	0.460207	50	2800
24	1465208004817328	0.480228	50	2800
25	1465208004837493	0.500393	50	2800
26	1465208004857453	0.520353	50	2800
27	1465208004877404	0.540304	50	2800
28	1465208004897329	0.560229	50	2800
29	1465208004917304	0.580204	50	2800
30	1465208004937305	0.600205	50	2800
31	1465208004957305	0.620205	50	2800
32	1465208004977307	0.640207	50	2800
33	1465208004997306	0.660206	50	2800
34	1465208005017291	0.680191	50	2800
35	1465208005037277	0.700177	50	2800
36	1465208005057263	0.720163	50	2800
37	1465208005077271	0.740171	50	2800
38	1465208005097306	0.760206	50	2800
39	1465208005117304	0.780204	50	2800
40	1465208005137306	0.800206	50	2800
41	1465208005157308	0.820208	50	2800
42	1465208005177306	0.840206	50	2800
43	1465208005197305	0.860205	50	2800
44	1465208005217303	0.880203	50	2800
45	1465208005237306	0.900206	50	2800
46	1465208005257308	0.920208	50	2800
47	1465208005277309	0.940209	50	2800
48	1465208005297337	0.960237	50	2800
49	1465208005317434	0.980334	50	2800
50	1465208005337306	1.000206	50	2800
51	1465208005357308	1.020208	50	2800
52	1465208005377312	1.040212	50	2800
53	1465208005397306	1.060206	50	2800
54	1465208005417306	1.080206	50	2800
55	1465208005437309	1.100209	50	2800
56	1465208005457253	1.120153	50	2800
57	1465208005477240	1.140140	50	2800
58	1465208005497240	1.160140	50	2800
59	1465208005517242	1.180142	50	2800
60	1465208005537277	1.200177	50	2800
61	1465208005557222	1.220122	50	2800
62	1465208005577228	1.240128	50	2800
63	1465208005597273	1.260173	50	2800
64	1465208005617265	1.280165	50	2800
65	1465208005637305	1.300205	50	2800
66	1465208005657225	1.320125	50	2800
67	1465208005677292	1.340192	50	2800
68	1465208005697271	1.360171	50	2800
69	1465208005717267	1.380167	50	2800
70	1465208005737274	1.400174	50	2800
71	1465208005757220	1.420120	50	2800
72	1465208005777252	1.440152	50	2800
73	1465208005797236	1.460136	50	2800
74	1465208005817297	1.480197	50	2800
75	1465208005837257	1.500157	50	2800
76	1465208005857223	1.520123	50	2800
77	1465208005877295	1.540195	50	2800
78	1465208005897221	1.560121	50	2800
79	1465208005917266	1.580166	50	2800
80	1465208005937261	1.600161	50	2800
81	1465208005957221	1.620121	50	2800
82	1465208005977254	1.640154	50	2800
83	1465208005997243	1.660143	50	2800
84	1465208006017224	1.680124	50	2800
85	1465208006037262	1.700162	50	2800
86	1465208006057226	1.720126	50	2800
87	1465208006077263	1.740163	50	2800
88	1465208006097244	1.760144	50	2800
89	1465208006117302	1.780202	50	2800
90	1465208006137269	1.800169	50	2800
91	1465208006157229	1.820129	50	2800
92	1465208006177235	1.840135	50	2800
93	1465208006197232	1.860132	50	2800
94	1465208006217266	1.880166	50	2800
95	1465208006237303	1.900203	50	2800
96	1465208006257226	1.920126	50	2800
97	1465208006277253	1.940153	50	2800
98	1465208006297248	1.960148	50	2800
99	1465208006317233	1.980133	50	2800
100	1465208006337262	2.000162	50	2800
101	1465208006357249	2.020149	50	2800
102	1465208006377303	2.040203	50	2800
103	1465208006397254	2.060154	50	2800
104	1465208006417296	2.080196	50	2800
105	1465208006437306	2.100206	50	2800
106	1465208006457308	2.120208	50	2800
107	1465208006477310	2.140210	50	2800
108	1465208006497306	2.160206	50	2800
109	1465208006517250	2.180150	50	2800
110	1465208006537337	2.200237	50	2800
111	1465208006557271	2.220171	50	2800
112	1465208006577308	2.240208	50	2800
113	1465208006597309	2.260209	50	2800
