sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1464958158526990	0.000000	50	1400
1	1464958158547190	0.020200	50	1400
2	1464958158567108	0.040118	50	1400
3	1464958158587120	0.060130	50	1400
4	1464958158607129	0.080139	50	1400
5	1464958158627141	0.100151	50	1400
6	1464958158647178	0.120188	50	1400
7	1464958158667114	0.140124	50	1400
8	1464958158687092	0.160102	50	1400
9	1464958158707176	0.180186	50	1400
10	1464958158727178	0.200188	50	1400
11	1464958158747177	0.220187	50	1400
12	1464958158767142	0.240152	50	1400
13	1464958158787124	0.260134	50	1400
14	1464958158807172	0.280182	50	1400
15	1464958158827181	0.300191	50	1400
16	1464958158847123	0.320133	50	1400
17	1464958158867140	0.340150	50	1400
18	1464958158887124	0.360134	50	1400
19	1464958158907174	0.380184	50	1400
20	1464958158927178	0.400188	50	1400
21	1464958158947114	0.420124	50	1400
22	1464958158967131	0.440141	50	1400
23	1464958158987115	0.460125	50	1400
24	1464958159007175	0.480185	50	1400
25	1464958159027178	0.500188	50	1400
26	1464958159047177	0.520187	50	1400
27	1464958159067114	0.540124	50	1400
28	1464958159087110	0.560120	50	1400
29	1464958159107179	0.580189	50	1400
30	1464958159127177	0.600187	50	1400
31	1464958159147179	0.620189	50	1400
32	1464958159167126	0.640136	50	1400
33	1464958159187091	0.660101	50	1400
34	1464958159207176	0.680186	50	1400
35	1464958159227176	0.700186	50	1400
36	1464958159247178	0.720188	50	1400
37	1464958159267098	0.740108	50	1400
38	1464958159287119	0.760129	50	1400
39	1464958159307191	0.780201	50	1400
40	1464958159327178	0.800188	50	1400
41	1464958159347131	0.820141	50	1400
42	1464958159367095	0.840105	50	1400
43	1464958159387124	0.860134	50	1400
44	1464958159407180	0.880190	50	1400
45	1464958159427177	0.900187	50	1400
46	1464958159447178	0.920188	50	1400
47	1464958159467129	0.940139	50	1400
48	1464958159487182	0.960192	50	1400
49	1464958159507142	0.980152	50	1400
50	1464958159527177	1.000187	50	1400
51	1464958159547177	1.020187	50	1400
52	1464958159567125	1.040135	50	1400
53	1464958159587119	1.060129	50	1400
54	1464958159607179	1.080189	50	1400
55	1464958159627176	1.100186	50	1400
56	1464958159647174	1.120184	50	1400
57	1464958159667123	1.140133	50	1400
58	1464958159687121	1.160131	50	1400
59	1464958159707178	1.180188	50	1400
60	1464958159727177	1.200187	50	1400
61	1464958159747177	1.220187	50	1400
62	1464958159767095	1.240105	50	1400
63	1464958159787179	1.260189	50	1400
64	1464958159807181	1.280191	50	1400
65	1464958159827177	1.300187	50	1400
66	1464958159847176	1.320186	50	1400
67	1464958159867123	1.340133	50	1400
68	1464958159887176	1.360186	50	1400
69	1464958159907179	1.380189	50	1400
70	1464958159927176	1.400186	50	1400
71	1464958159947176	1.420186	50	1400
72	1464958159967096	1.440106	50	1400
73	1464958159987173	1.460183	50	1400
74	1464958160007181	1.480191	50	1400
75	1464958160027176	1.500186	50	1400
76	1464958160047176	1.520186	50	1400
77	1464958160067098	1.540108	50	1400
78	1464958160087131	1.560141	50	1400
79	1464958160107125	1.580135	50	1400
80	1464958160127176	1.600186	50	1400
81	1464958160147176	1.620186	50	1400
82	1464958160167097	1.640107	50	1400
83	1464958160187178	1.660188	50	1400
84	1464958160207186	1.680196	50	1400
85	1464958160227176	1.700186	50	1400
86	1464958160247176	1.720186	50	1400
87	1464958160267123	1.740133	50	1400
88	1464958160287176	1.760186	50	1400
89	1464958160307177	1.780187	50	1400
90	1464958160327177	1.800187	50	1400
91	1464958160347176	1.820186	50	1400
92	1464958160367094	1.840104	50	1400
93	1464958160387178	1.860188	50	1400
94	1464958160407178	1.880188	50	1400
95	1464958160427203	1.900213	50	1400
96	1464958160447255	1.920265	50	1400
97	1464958160467186	1.940196	50	1400
98	1464958160487269	1.960279	50	1400
99	1464958160507272	1.980282	50	1400
100	1464958160527266	2.000276	50	1400
101	1464958160547269	2.020279	50	1400
102	1464958160567167	2.040177	50	1400
103	1464958160587271	2.060281	50	1400
104	1464958160607269	2.080279	50	1400
105	1464958160627270	2.100280	50	1400
106	1464958160647269	2.120279	50	1400
107	1464958160667195	2.140205	50	1400
108	1464958160687173	2.160183	50	1400
109	1464958160707165	2.180175	50	1400
110	1464958160727231	2.200241	50	1400
111	1464958160747176	2.220186	50	1400
112	1464958160767138	2.240148	50	1400
113	1464958160787179	2.260189	50	1400
114	1464958160807179	2.280189	50	1400
115	1464958160827177	2.300187	50	1400
116	1464958160847177	2.320187	50	1400
117	1464958160867176	2.340186	50	1400
118	1464958160887177	2.360187	50	1400
119	1464958160907185	2.380195	50	1400
120	1464958160927178	2.400188	50	1400
121	1464958160947176	2.420186	50	1400
122	1464958160967142	2.440152	50	1400
123	1464958160987175	2.460185	50	1400
124	1464958161007210	2.480220	50	1400
125	1464958161027268	2.500278	50	1400
126	1464958161047267	2.520277	50	1400
