sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1465216292628205	0.000000	50	4200
1	1465216292648415	0.020210	50	4200
2	1465216292668493	0.040288	50	4200
3	1465216292688445	0.060240	50	4200
4	1465216292708446	0.080241	50	4200
5	1465216292728447	0.100242	50	4200
6	1465216292748447	0.120242	50	4200
7	1465216292768449	0.140244	50	4200
8	1465216292788447	0.160242	50	4200
9	1465216292808470	0.180265	50	4200
10	1465216292828581	0.200376	50	4200
11	1465216292848552	0.220347	50	4200
12	1465216292868393	0.240188	50	4200
13	1465216292888429	0.260224	50	4200
14	1465216292908428	0.280223	50	4200
15	1465216292928428	0.300223	50	4200
16	1465216292948428	0.320223	50	4200
17	1465216292968429	0.340224	50	4200
18	1465216292988428	0.360223	50	4200
19	1465216293008428	0.380223	50	4200
20	1465216293028363	0.400158	50	4200
21	1465216293048551	0.420346	50	4200
22	1465216293068343	0.440138	50	4200
23	1465216293088340	0.460135	50	4200
24	1465216293108318	0.480113	50	4200
25	1465216293128317	0.500112	50	4200
26	1465216293148318	0.520113	50	4200
27	1465216293168314	0.540109	50	4200
28	1465216293188399	0.560194	50	4200
29	1465216293208376	0.580171	50	4200
30	1465216293228417	0.600212	50	4200
31	1465216293248392	0.620187	50	4200
32	1465216293268426	0.640221	50	4200
33	1465216293288428	0.660223	50	4200
34	1465216293308426	0.680221	50	4200
35	1465216293328399	0.700194	50	4200
36	1465216293348426	0.720221	50	4200
37	1465216293368430	0.740225	50	4200
38	1465216293388426	0.760221	50	4200
39	1465216293408426	0.780221	50	4200
40	1465216293428428	0.800223	50	4200
41	1465216293448426	0.820221	50	4200
42	1465216293468429	0.840224	50	4200
43	1465216293488426	0.860221	50	4200
44	1465216293508425	0.880220	50	4200
45	1465216293528371	0.900166	50	4200
46	1465216293548581	0.920376	50	4200
47	1465216293568422	0.940217	50	4200
48	1465216293588380	0.960175	50	4200
49	1465216293608427	0.980222	50	4200
50	1465216293628428	1.000223	50	4200
51	1465216293648427	1.020222	50	4200
52	1465216293668428	1.040223	50	4200
53	1465216293688427	1.060222	50	4200
54	1465216293708429	1.080224	50	4200
55	1465216293728356	1.100151	50	4200
56	1465216293748424	1.120219	50	4200
57	1465216293768426	1.140221	50	4200
58	1465216293788425	1.160220	50	4200
59	1465216293808391	1.180186	50	4200
60	1465216293828377	1.200172	50	4200
61	1465216293848360	1.220155	50	4200
62	1465216293868367	1.240162	50	4200
63	1465216293888416	1.260211	50	4200
64	1465216293908426	1.280221	50	4200
65	1465216293928375	1.300170	50	4200
66	1465216293948365	1.320160	50	4200
67	1465216293968426	1.340221	50	4200
68	1465216293988425	1.360220	50	4200
69	1465216294008425	1.380220	50	4200
70	1465216294028371	1.400166	50	4200
71	1465216294048546	1.420341	50	4200
72	1465216294068385	1.440180	50	4200
73	1465216294088390	1.460185	50	4200
74	1465216294108429	1.480224	50	4200
75	1465216294128426	1.500221	50	4200
76	1465216294148428	1.520223	50	4200
77	1465216294168428	1.540223	50	4200
78	1465216294188392	1.560187	50	4200
79	1465216294208457	1.580252	50	4200
80	1465216294228441	1.600236	50	4200
81	1465216294248380	1.620175	50	4200
82	1465216294268423	1.640218	50	4200
83	1465216294288390	1.660185	50	4200
84	1465216294308426	1.680221	50	4200
85	1465216294328427	1.700222	50	4200
86	1465216294348426	1.720221	50	4200
87	1465216294368429	1.740224	50	4200
88	1465216294388375	1.760170	50	4200
89	1465216294408424	1.780219	50	4200
90	1465216294428426	1.800221	50	4200
91	1465216294448426	1.820221	50	4200
92	1465216294468378	1.840173	50	4200
93	1465216294488372	1.860167	50	4200
94	1465216294508438	1.880233	50	4200
95	1465216294528367	1.900162	50	4200
96	1465216294548591	1.920386	50	4200
97	1465216294568428	1.940223	50	4200
98	1465216294588370	1.960165	50	4200
99	1465216294608428	1.980223	50	4200
100	1465216294628427	2.000222	50	4200
101	1465216294648427	2.020222	50	4200
102	1465216294668429	2.040224	50	4200
103	1465216294688428	2.060223	50	4200
104	1465216294708428	2.080223	50	4200
105	1465216294728427	2.100222	50	4200
106	1465216294748428	2.120223	50	4200
107	1465216294768428	2.140223	50	4200
108	1465216294788428	2.160223	50	4200
109	1465216294808375	2.180170	50	4200
110	1465216294828456	2.200251	50	4200
111	1465216294848461	2.220256	50	4200
112	1465216294868581	2.240376	50	4200
113	1465216294888581	2.260376	50	4200
114	1465216294908581	2.280376	50	4200
115	1465216294928582	2.300377	50	4200
116	1465216294948582	2.320377	50	4200
117	1465216294968582	2.340377	50	4200
118	1465216294988525	2.360320	50	4200
119	1465216295008581	2.380376	50	4200
120	1465216295028518	2.400313	50	4200
121	1465216295048550	2.420345	50	4200
122	1465216295068377	2.440172	50	4200
123	1465216295088429	2.460224	50	4200
124	1465216295108436	2.480231	50	4200
125	1465216295128369	2.500164	50	4200
126	1465216295148423	2.520218	50	4200
127	1465216295168427	2.540222	50	4200
128	1465216295188428	2.560223	50	4200
129	1465216295208427	2.580222	50	4200
130	1465216295228426	2.600221	50	4200
131	1465216295248350	2.620145	50	4200
132	1465216295268463	2.640258	50	4200
133	1465216295288428	2.660223	50	4200
134	1465216295308428	2.680223	50	4200
135	1465216295328427	2.700222	50	4200
136	1465216295348426	2.720221	50	4200
137	1465216295368429	2.740224	50	4200
138	1465216295388429	2.760224	50	4200
139	1465216295408426	2.780221	50	4200
140	1465216295428427	2.800222	50	4200
141	1465216295448427	2.820222	50	4200
142	1465216295468428	2.840223	50	4200
143	1465216295488427	2.860222	50	4200
144	1465216295508427	2.880222	50	4200
145	1465216295528385	2.900180	50	4200
