sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1464956475919423	0.000000	50	13
1	1464956475939542	0.020119	50	13
2	1464956475959531	0.040108	50	13
3	1464956475979532	0.060109	50	13
4	1464956475999561	0.080138	50	13
5	1464956476019560	0.100137	50	13
6	1464956476039536	0.120113	50	13
7	1464956476059599	0.140176	50	13
8	1464956476079597	0.160174	50	13
9	1464956476099540	0.180117	50	13
10	1464956476119543	0.200120	50	13
11	1464956476139579	0.220156	50	13
12	1464956476159597	0.240174	50	13
13	1464956476179620	0.260197	50	13
14	1464956476199625	0.280202	50	13
15	1464956476219543	0.300120	50	13
16	1464956476239511	0.320088	50	13
17	1464956476259544	0.340121	50	13
18	1464956476279590	0.360167	50	13
19	1464956476299598	0.380175	50	13
20	1464956476319538	0.400115	50	13
21	1464956476339554	0.420131	50	13
22	1464956476359645	0.440222	50	13
23	1464956476379625	0.460202	50	13
24	1464956476399597	0.480174	50	13
25	1464956476419584	0.500161	50	13
26	1464956476439583	0.520160	50	13
27	1464956476459535	0.540112	50	13
28	1464956476479554	0.560131	50	13
29	1464956476499599	0.580176	50	13
30	1464956476519540	0.600117	50	13
31	1464956476539527	0.620104	50	13
32	1464956476559590	0.640167	50	13
33	1464956476579598	0.660175	50	13
34	1464956476599539	0.680116	50	13
35	1464956476619556	0.700133	50	13
36	1464956476639520	0.720097	50	13
37	1464956476659534	0.740111	50	13
38	1464956476679523	0.760100	50	13
39	1464956476699557	0.780134	50	13
40	1464956476719512	0.800089	50	13
41	1464956476739511	0.820088	50	13
42	1464956476759596	0.840173	50	13
43	1464956476779595	0.860172	50	13
44	1464956476799545	0.880122	50	13
45	1464956476819582	0.900159	50	13
46	1464956476839522	0.920099	50	13
47	1464956476859593	0.940170	50	13
48	1464956476879593	0.960170	50	13
49	1464956476899600	0.980177	50	13
50	1464956476919598	1.000175	50	13
51	1464956476939513	1.020090	50	13
52	1464956476959590	1.040167	50	13
53	1464956476979595	1.060172	50	13
54	1464956476999560	1.080137	50	13
55	1464956477019557	1.100134	50	13
56	1464956477039542	1.120119	50	13
57	1464956477059589	1.140166	50	13
58	1464956477079596	1.160173	50	13
59	1464956477099567	1.180144	50	13
60	1464956477119578	1.200155	50	13
61	1464956477139572	1.220149	50	13
62	1464956477159588	1.240165	50	13
63	1464956477179564	1.260141	50	13
64	1464956477199591	1.280168	50	13
65	1464956477219594	1.300171	50	13
66	1464956477239559	1.320136	50	13
67	1464956477259595	1.340172	50	13
68	1464956477279597	1.360174	50	13
69	1464956477299539	1.380116	50	13
70	1464956477319590	1.400167	50	13
71	1464956477339537	1.420114	50	13
72	1464956477359602	1.440179	50	13
73	1464956477379604	1.460181	50	13
74	1464956477399600	1.480177	50	13
75	1464956477419594	1.500171	50	13
76	1464956477439560	1.520137	50	13
77	1464956477459626	1.540203	50	13
78	1464956477479651	1.560228	50	13
79	1464956477499663	1.580240	50	13
80	1464956477519621	1.600198	50	13
81	1464956477539661	1.620238	50	13
82	1464956477559669	1.640246	50	13
83	1464956477579660	1.660237	50	13
84	1464956477599662	1.680239	50	13
85	1464956477619658	1.700235	50	13
86	1464956477639657	1.720234	50	13
87	1464956477659674	1.740251	50	13
88	1464956477679590	1.760167	50	13
89	1464956477699638	1.780215	50	13
90	1464956477719601	1.800178	50	13
91	1464956477739521	1.820098	50	13
92	1464956477759598	1.840175	50	13
93	1464956477779604	1.860181	50	13
94	1464956477799545	1.880122	50	13
95	1464956477819597	1.900174	50	13
