rPacketNo	rPacketTime	rPacketTimeDouble
18	1465207062069861	0.000000
1	1465207062094449	0.000000
5	1465207062202748	0.000000
10	1465207062227570	0.000000
8	1465207062277169	0.000000
9	1465207062303442	0.000000
14	1465207062327761	0.000000
15	1465207062352178	0.000000
12	1465207062376467	0.000000
13	1465207062400849	0.000000
50	1465207062427078	0.000000
51	1465207062623998	0.000000
48	1465207062648218	0.000000
49	1465207062672567	0.000000
54	1465207062696923	0.000000
55	1465207062725023	0.000000
52	1465207062748120	0.000000
53	1465207062772383	0.000000
58	1465207062796699	0.000000
56	1465207062847089	0.000000
57	1465207062871581	0.000000
62	1465207062896066	0.000000
63	1465207062922379	0.000000
60	1465207062946660	0.000000
61	1465207062971013	0.000000
34	1465207062995428	0.000000
32	1465207063045865	0.000000
33	1465207063069951	0.000000
38	1465207063094635	0.000000
39	1465207063119019	0.000000
36	1465207063145227	0.000000
37	1465207063170486	0.000000
42	1465207063225550	0.000000
43	1465207063250735	0.000000
83	1465207063454597	0.000000
80	1465207063478858	0.000000
81	1465207063503174	0.000000
86	1465207063527588	0.000000
87	1465207063555433	0.000000
85	1465207063602442	0.000000
90	1465207063626695	0.000000
88	1465207063676968	0.000000
89	1465207063701546	0.000000
94	1465207063725831	0.000000
95	1465207063752042	0.000000
92	1465207063776396	0.000000
93	1465207063803559	0.000000
66	1465207063828905	0.000000
64	1465207063879444	0.000000
65	1465207063903914	0.000000
70	1465207063928361	0.000000
69	1465207064003206	0.000000
74	1465207064027694	0.000000
75	1465207064053908	0.000000
72	1465207064078228	0.000000
73	1465207064102645	0.000000
78	1465207064127052	0.000000
79	1465207064153296	0.000000
76	1465207064177652	0.000000
77	1465207064202070	0.000000
114	1465207064238858	0.000000
115	1465207064267047	0.000000
112	1465207064292249	0.000000
113	1465207064319028	0.000000
118	1465207064351645	64757619178306748770126549875236835222962321901898809712117977409023350201213060753470362698218877783089242720818137752806732549385930693076933341138405283795035326261953298613873908535632710796455610749580876604885450935170062319829199967233703714891062081034171042438677400107566979175918628315104404307968.000000
119	1465207064375960	65010377343655917368465073860059599050055651682932028034777883688136032310662921935405283263797712279062961028212659364611325945087372653036677781338814848476085338781193627398589006264491527069321369810783684818183838649582618989357153123249847726728153900987883190281870341986865832932579731159608492818432.000000
116	1465207064400343	65656411313100661661611298290638855341679333872005528357377869672292284366407168422378882430353271625845250408408110507895167778723022263019844163489948574948164161741473329933162013694579947550207475424334056296253548771985512995850830332225444605005399227565915867282242924622275832962110919963747731636224.000000
117	1465207064424763	65908451567683015460844786830678748967559587511814903972520788638644758340652775897111732553018299605594023227371777359091388299037122809129179392723660634824702310644672745494401088211440224644206728662606660255438112586408004749661357024150144229679275771249464010127110633252775965992938104715472059498496.000000
122	1465207064449077	66468325530023911998713548403063090513596027139979162337746222654072150468376066270475653637933288848424272719917928053839016834320349900140100022886516210056782695745475086387620324780629338598740993646578339086802479726421167602665090982986870702293625030836619609641913058371909647269774735548834352463872.000000
123	1465207064475289	66718747806609414534292404821278903536742333058522862597141901557338185212534475091663539031046305127427272870925489399783531322045069050855229418449014490448525450528940503489980600715224251274697823313769437935969321019970527979261716240914434469331001474269499621818913450277505200754319507882502801850368.000000
120	1465207064499544	67366447971938333473122704052809448131181438232078565024501462573348353164163220854307615121080922881268950660837327338210686321691637912386733596201961082548986285314509191192471841122413758954296490949195134212765891089365289066263748900132114962591530016668584579076593104109754022766942849872123425456128.000000
121	1465207064523720	61999936408964847810904240489848806863220015215276921670988406440745938070240624526496355156571756216298449328837241684245823778857135097500196388323181772439908108193869547818426506380438136178711762010468148875374538860646748869715719106598793564632584922338289484356968557414158617326912464296944563388416.000000
126	1465207064547795	62558792438128917394818101058436541407536421508870059779286768893304378364465346210543907703026870548063477606444120703503968386352340780812775599951167751307382119510733280409702127947539769207987548588792523167323782560375491319836534944708845159925957297661779703650265054792458291604432345595768389763072.000000
127	1465207064574390	63162555393020163442152910120830380627733456278121776801073098924639420071242713967485150193538150693242633376792974375145556587106469829006922022943769291901859420601141301353037649238311218634718945673094300877049682452020085438192191245613574764190004640869707907241786217032182422030757461623547094892544.000000
124	1465207064598414	63461318780418874427916354735134535632563239974745572209168602626676783203072624281839316231511437090885059961469211131309089392890752988470128362927995824913830126187122837973488652350986870198082357730578183195388412175497473684328659678892651257896720172255497002253776008966963476330223450010587039268864.000000
125	1465207064623124	64071183976828046267643965078182771563071421944399952244849324816473594059086148549998157486790072623976252383480330268121847034437284054392753079137526156346658268013878621316370370943745902645179054309786697065081815217057619586282440924574658153048097363759819248331061653821476732926136869826993709907968.000000
98	1465207064672794	64322318806637327670991252199056209487421751197143436684093953813747895086693555453707500856825001340724907384945381786909000271613618190496721467674433154193625484446101064230091177379802051968816818860930909091839242918806074244897108867010894334210157626177265026663116195145656091310203366834839085907968.000000
99	1465207064703864	59266560812376967325857646126698704644550293996808573659743696950028707352862957475461105820148068710049280422011480308820644378719145432067538466522186464801723615692782985790969531932985145549903263410417635331792127041757200513706446213000325090191329468401617558196167052405823359456327840479842737848320.000000
96	1465207064732246	59516447334658876727776028332389987666791319212946421152335653978100556921495803828587744614071677141123216775682582878191746272871221736625646062855806010264726173747859661681780536813849805107302999179899626528635219156209497520364693512650691553375560183274673686046059061289927330309653270953227783766016.000000
97	1465207064764439	60164040349127077039874232721415626261049368246020953026334470619071887838019437097619571384268413325379081806127129061304218753803262028925745880762976855379438969187750601141961923010293262163190248035783501274967039389784845933379050580212932585865459579961793866438317038517877835796032744570791726678016.000000
102	1465207064789918	60416691363615527011480661863733484087961641886573000795633632523145732912364185785942242630009366251766987354054358917794129630790175419654085961117610673074740942361313181684367166528406027812344588317444487957800677268377989928919328144573637136931922254203541237416088303792878373026449979043239134494720.000000
103	1465207064819976	60975000923389931599060838735546198031354661863712169081792198663006104327552833752567323645291284578644370558378049984947393392841285399886502937532140342314899953015220398239862531620702802660692139120105572444379696805427727741702998465240947482295085986396011094695734250489256633020126131644573889331200.000000
100	1465207064853411	61578072755229542503973636063783393550383884526860336034401727475340647157902225925709558022848228599995034030162871834809279347886705176538091239519488314851302400326006943020299493252162225564484885076362601282607960256037110112838147199968092564588575339761766487505285598631256621852178296672587003985920.000000
101	1465207064879924	56256805643194496979382219748519310858873416828232958837462983702887170137113380025670573359884554692633970383226729862469110332261890719612044976519518169474333836917796494961590098997706478651046735799169757183957226202065571507586135982944083477027787022308598424209963998100625369618621331198341564858368.000000
106	1465207064903895	56858447011043514217421550929316011275485540015957498902706575108453238548809520409089279317605779760014033516123206778879984662468354097024385074565759919750999958963785100707190506915706125728292041048543468590481079344485794680985815569071111758033377280419624045866135963575242832825317853459397992251392.000000
107	1465207064928530	57067251893325902130254770518626333828309640971614556236789138746634968858142236711279528885685594411887357890034650360601808881470176958262061106028958070878204231886013100496403407396534976154733816741691085007139084405775272480769241028025988961758393529325384723513357162371372247516744150086251660181504.000000
104	1465207064952981	57670907697356429550857484738515267048325619600385102705214724402931173529814491974608522056358992987480700900916212276928714563509777437224803169175783864486933493630743373197429074476560374957753795046451041186400234461600453925137221737275279105251811726821348150239456648006798061416825397741973684617216.000000
105	1465207064979188	57967469134567372757276380339343603749434699610120843241746931197920435590234340545230964571663813130134675278539603461375521609710498498982649914329318796941781990663047183438412573558404686203847551184350491053688355058988911720826956762035074680122098313826261080667030985723248711101979891083248840736768.000000
110	1465207065003508	58579997029865402471296547518638753784442126670732311528442151107432346768609910279654201424913805667433314773312922717758139841313064510305672972706376440970448910229895010602694169288203076650173004435173269955430791520661462571374476460354752175423609776272908031850045294194575133375053439945264026615808.000000
111	1465207065027891	53522187096622280424243325212312299038103444380183032407233639461719429812516408048733231913341440979189373466580384125393613715035369651095096480507524196801472088006848053323338815705599300787185779356434113886983716287670836133319826226142517257647233478113135086410271044482429640043607834265382243270656.000000
108	1465207065053878	53774913116713233434562220744383591065142457319071899563885322428320460811434735482584477682968911004287347946134718210603802355122453040285419612754201037386797688722385057635360957171234301872938112783774375641142679051337569000651476704662029431253136554353257801193837483380438998842395776598269327572992.000000
109	1465207065086070	54420261320649378516623038182931448955607380209065908344976544412228155842506262010439681202562028305720435665739502119873676068985119807187598091892369983150089059870327171419150897652547998362071138208257089324237990224496221893624030127042813760598355348374715906255511335748339773103966207821245809950720.000000
146	1465207065120087	54664618858518206779165326515369582368505908576375355284154091688296014399715303693174255092850947746166433630898350115007159997467521939405240720183960984148492787688432038006773425258916445735961664953381089549099990810666824922518216897272504048018122144510389547849644831850650611203108030296506132070400.000000
147	1465207065147331	55234093537979492272229785976193501530764978391652495230502221707203204872856673494195715235240125623885506371713842085950342209572508833549991992528323489303597498161960621410955599110951695575039052584299977510105943240099363364817683868436606205680842859889589154506229480714913453231395267266147015196672.000000
144	1465207065173820	55486401669713642638293511622495660157097872382664797229047001611152771434865062202959188657499857527598811089345738325433269026672930802737838121376474916644505745429354407577969309154677099228316852771427135295452381644070386803597399539499904482281292267853049239514651380856159377577832122948013044793344.000000
145	1465207065198488	56133030326435375309802862428977144749726416151408794122799118876774569035442683029480771549155659585582361284584658710713598839174213971955298700671664038887486186758145612857362007454406100670801332611434616267601453355271021150722676282163190367835529353132486428118114268645425034328016781217066861461504.000000
150	1465207065285155	50758278862272627251886305477389232067841775931605135215844820303685585941936935942887538889113400219462858749549837073049650607192464183173766220652729785574383783954887129649688883906059184931808499525941555237470838752039646324522393490326574436615202953552099992447562791079289088019832917830729254043648.000000
151	1465207065309565	51326012340247235060554223747508428727158683464063253670080854228211674594620227722709947584137002591412474149021838020129241890186361827308196645503236402211082855061152304116335926833471112135575331989305843328424606349406728814522132097089785356755200051111871975041045195123704286496657293754449075896320.000000
148	1465207065334018	51927776931586078719335463997185771043979021213341139871689301665072405596687247473782740259671791463816221955305700455152001116914533059336651757372120261521359222354670320340592667093828717430088768835152649494982921803019276563007638613620569017647013826791657090092452088693264813708534264643370686087168.000000
149	1465207065358279	52226395665322819559010580574108302948564379120315355032747800460807338731125255921760369715863937742517801314701093341640712522434202650337462211564549536102570074823986896833925367021997200651441765540255072747194239248140457699260744998164802239313380011466293736336122617212243140697571030728134111526912.000000
155	1465207065409344	53036220440462056674836981257686871116950477648906163222581638129329882648544460144418279186605264358173474816598721658948252463098223187445333053968490104989101841587272562563341520998498604537602617561433835693680548404097565163315331611645158851574337473353684329820070057178059782743479413058115458826240.000000
