rPacketNo	rPacketTime	rPacketTimeDouble
0	1464957193842622	0.000001
1	1464957193855413	0.020210
2	1464957193867941	0.040136
4	1464957193894933	0.080153
5	1464957193907606	0.100210
6	1464957193920758	0.120158
7	1464957193933114	0.140149
8	1464957193947296	0.160151
9	1464957193959577	0.180187
10	1464957193971893	0.200190
11	1464957193984119	0.220188
12	1464957193996356	0.240129
13	1464957194009051	0.260128
14	1464957194021239	0.280188
15	1464957194033439	0.300150
16	1464957194047616	0.320152
17	1464957194059899	0.340139
18	1464957194072120	0.360135
19	1464957194084285	0.380187
20	1464957194096319	0.400133
21	1464957194108916	0.420129
22	1464957194121207	0.440187
23	1464957194133402	0.460188
24	1464957194145504	0.480188
25	1464957194159825	0.500133
26	1464957194172123	0.520129
27	1464957194188281	0.540151
28	1464957194252333	0.560141
29	1464957194264652	0.580150
30	1464957194277076	0.600188
31	1464957194289743	0.620188
32	1464957194303573	0.640186
33	1464957194314927	0.660140
34	1464957194327378	0.680187
35	1464957194355263	0.700187
36	1464957194367816	0.720136
37	1464957194457005	0.740103
38	1464957194469319	0.760134
39	1464957194481554	0.780183
40	1464957194493932	0.800185
41	1464957194506103	0.820187
42	1464957194518331	0.840191
43	1464957194530729	0.860107
44	1464957194544624	0.880095
45	1464957194555980	0.900152
46	1464957194570224	0.920159
47	1464957194586097	0.940187
48	1464957194662272	0.960187
49	1464957194676418	0.980185
50	1464957194690057	1.000190
51	1464957194702798	1.020187
52	1464957194716112	1.040189
53	1464957194729043	1.060149
54	1464957194741456	1.080248
55	1464957194753980	1.100195
56	1464957194769460	1.120142
57	1464957194786032	1.140150
58	1464957194866741	1.160265
59	1464957194879379	1.180267
60	1464957194894231	1.200263
61	1464957194906833	1.220266
62	1464957194919537	1.240264
63	1464957194932277	1.260261
64	1464957194945481	1.280263
65	1464957194958191	1.300264
66	1464957194974131	1.320260
67	1464957194986316	1.340272
68	1464957195072409	1.360263
70	1464957195100251	1.400263
71	1464957195112699	1.420260
72	1464957195125863	1.440230
73	1464957195138525	1.460280
74	1464957195150814	1.480213
75	1464957195163423	1.500192
77	1464957195276620	1.540194
78	1464957195289443	1.560158
79	1464957195302083	1.580242
80	1464957195314446	1.600186
81	1464957195326737	1.620188
82	1464957195339748	1.640185
83	1464957195352326	1.660186
