rPacketNo	rPacketTime	rPacketTimeDouble
0	1465214241471936	0.000001
1	1465214241508809	0.020397
12	1465214241933164	0.240170
13	1465214241973130	0.260170
14	1465214242008043	0.280172
15	1465214242045688	0.300168
16	1465214242086416	0.320174
17	1465214242123155	0.340164
18	1465214242159477	0.360168
20	1465214242279080	0.400172
23	1465214242407704	0.460172
24	1465214242444040	0.480167
26	1465214242518515	0.520169
27	1465214242555262	0.540164
28	1465214242596074	0.560183
29	1465214242633772	0.580171
30	1465214242682700	0.600169
31	1465214242722966	0.620170
32	1465214242761676	0.640166
33	1465214242907532	0.660170
35	1465214242986485	0.700155
36	1465214243022977	0.720158
37	1465214243059721	0.740147
38	1465214243101019	0.760157
39	1465214243137891	0.780160
40	1465214243175449	0.800162
41	1465214243214339	0.820165
42	1465214243250872	0.840163
43	1465214243287242	0.860149
44	1465214243325625	0.880200
45	1465214243361906	0.900171
46	1465214243401214	0.920165
47	1465214243439326	0.940133
48	1465214243475707	0.960147
49	1465214243514041	0.980176
50	1465214243550549	1.000176
51	1465214243587192	1.020149
55	1465214243841646	1.100225
56	1465214243882499	1.120223
57	1465214243922023	1.140221
58	1465214243958405	1.160178
59	1465214243995975	1.180391
60	1465214244035234	1.200141
61	1465214244071752	1.220181
68	1465214244474661	1.360206
69	1465214244513856	1.380220
70	1465214244554759	1.400143
71	1465214244592486	1.420223
74	1465214244703753	1.480225
75	1465214244751531	1.500186
76	1465214244792458	1.520223
78	1465214244971997	1.560224
79	1465214245011871	1.580223
83	1465214245171704	1.660162
84	1465214245208256	1.680161
85	1465214245248185	1.700153
86	1465214245290657	1.720213
87	1465214245331864	1.740221
102	1465214245882732	2.040225
105	1465214245993862	2.100223
106	1465214246029987	2.120187
107	1465214246074595	2.140181
108	1465214246112642	2.160163
109	1465214246160094	2.180322
110	1465214246199617	2.200194
111	1465214246244268	2.220149
112	1465214246282781	2.240215
134	1465214246319258	2.680168
135	1465214246567384	2.700182
136	1465214246611698	2.720187
137	1465214246655697	2.740142
139	1465214246732179	2.780164
140	1465214246768467	2.800217
141	1465214246806750	2.820224
146	1465214247033190	2.920223
147	1465214247072996	2.940223
148	1465214247113564	2.960226
149	1465214247159108	2.980221
150	1465214247200221	3.000222
179	1465214247242660	3.580241
180	1465214247279230	3.600240
181	1465214247317673	3.620241
182	1465214247354017	3.640270
183	1465214247392259	3.660204
184	1465214247431392	3.680280
185	1465214247471411	3.700346
186	1465214247509921	3.720199
187	1465214247546435	3.740235
188	1465214247582882	3.760231
189	1465214247621379	3.780219
190	1465214247659335	3.800222
192	1465214247833013	3.840224
193	1465214247869391	3.860223
195	1465214247944496	3.900220
223	1465214247987649	4.460255
225	1465214248064367	4.500222
227	1465214248144850	4.540224
228	1465214248191285	4.560226
229	1465214248232018	4.580250
230	1465214248276755	4.600348
231	1465214248410651	4.620350
269	1465214248811599	5.380222
271	1465214248894070	5.420223
272	1465214248936630	5.440173
273	1465214248975451	5.460225
274	1465214249012568	5.480222
275	1465214249056248	5.500221
276	1465214249096871	5.520175
277	1465214249136444	5.540223
278	1465214249178811	5.560225
279	1465214249222622	5.580222
280	1465214249266269	5.600222
281	1465214249306237	5.620229
282	1465214249345083	5.640249
283	1465214249382678	5.660295
284	1465214249420568	5.680271
313	1465214250008019	6.260224
314	1465214250044190	6.280222
315	1465214250082804	6.300173
316	1465214250119350	6.320185
317	1465214250166326	6.340223
320	1465214250298936	6.400221
321	1465214250339159	6.420179
322	1465214250379031	6.440223
323	1465214250418683	6.460226
346	1465214250464088	6.920221
347	1465214250563444	6.940223
357	1465214251073077	7.140225
387	1465214251466531	7.740242
392	1465214251658590	7.840248
433	1465214252266955	8.660196
439	1465214252668897	8.780224
440	1465214252705500	8.800224
467	1465214252897854	9.340187
472	1465214253088810	9.440234
477	1465214253309642	9.540377
482	1465214253504840	9.640369
508	1465214253697930	10.160159
509	1465214253742105	10.180265
514	1465214253940974	10.280418
517	1465214254099505	10.340383
545	1465214254331846	10.900170
550	1465214254519050	11.000223
551	1465214254558002	11.020222
558	1465214254928482	11.160185
559	1465214254966778	11.180276
588	1465214255165865	11.760351
590	1465214255333609	11.800229
591	1465214255376682	11.820224
600	1465214255766991	12.000224
636	1465214256665379	12.720224
637	1465214256701716	12.740223
638	1465214256740101	12.760235
639	1465214256778577	12.780148
662	1465214256818144	13.240223
663	1465214256856418	13.260224
664	1465214256893476	13.280223
666	1465214256968480	13.320222
667	1465214257005925	13.340220
668	1465214257049512	13.360225
669	1465214257089951	13.380225
670	1465214257219285	13.400225
671	1465214257263321	13.420223
672	1465214257300023	13.440173
676	1465214257469153	13.520355
701	1465214257507795	14.020223
702	1465214257546216	14.040224
703	1465214257582623	14.060220
704	1465214257618945	14.080225
706	1465214257701731	14.120223
707	1465214257743587	14.140223
708	1465214257786564	14.160164
709	1465214257822917	14.180170
710	1465214257862246	14.200215
711	1465214257898685	14.220223
712	1465214257939291	14.240224
713	1465214257976894	14.260224
714	1465214258014416	14.280227
715	1465214258052804	14.300223
716	1465214258089160	14.320224
743	1465214258285350	14.860237
745	1465214258365317	14.900201
746	1465214258401866	14.920195
747	1465214258439402	14.940233
748	1465214258485514	14.960238
749	1465214258523160	14.980236
750	1465214258561807	15.000267
751	1465214258598189	15.020225
755	1465214258747153	15.100224
756	1465214258795649	15.120224
757	1465214258836448	15.140224
779	1465214258877817	15.580384
780	1465214258916854	15.600379
781	1465214258953338	15.620379
782	1465214258991610	15.640376
783	1465214259027861	15.660312
784	1465214259068945	15.680351
785	1465214259111633	15.700222
786	1465214259153105	15.720223
787	1465214259204051	15.740224
788	1465214259240499	15.760222
789	1465214259279176	15.780225
791	1465214259354095	15.820223
792	1465214259402900	15.840223
793	1465214259447729	15.860222
794	1465214259489014	15.880222
795	1465214259534289	15.900223
818	1465214259578750	16.360224
819	1465214259619798	16.380224
820	1465214259656469	16.400223
821	1465214259694871	16.420221
822	1465214259731547	16.440222
823	1465214259768056	16.460222
831	1465214260145644	16.620405
832	1465214260182091	16.640352
834	1465214260257421	16.680231
835	1465214260296178	16.700220
836	1465214260338704	16.720222
837	1465214260375433	16.740225
857	1465214260414548	17.140223
858	1465214260455312	17.160175
867	1465214260944434	17.340219
868	1465214260987525	17.360224
869	1465214261031465	17.380178
893	1465214261256640	17.860220
896	1465214261408039	17.920223
897	1465214261455978	17.940224
898	1465214261496653	17.960222
899	1465214261537828	17.980150
900	1465214261577932	18.000223
901	1465214261625334	18.020197
903	1465214261752339	18.060223
904	1465214261793684	18.080227
905	1465214261836596	18.100225
906	1465214261873109	18.120224
907	1465214261909591	18.140223
908	1465214261947907	18.160196
909	1465214261984426	18.180412
910	1465214262020488	18.200222
