rPacketNo	rPacketTime	rPacketTimeDouble
0	1464954728847014	0.000001
1	1464954728848075	0.020163
2	1464954728849194	0.040163
3	1464954728850352	0.060122
4	1464954728851293	0.080172
5	1464954729053057	0.100107
6	1464954729054096	0.120111
7	1464954729055288	0.140165
8	1464954729056434	0.160186
9	1464954729057618	0.180173
10	1464954729058684	0.200174
11	1464954729059834	0.220117
12	1464954729061032	0.240171
13	1464954729062026	0.260197
14	1464954729063243	0.280227
15	1464954729064250	0.300224
29	1464954729463849	0.580179
30	1464954729464906	0.600177
31	1464954729465988	0.620094
32	1464954729467174	0.640166
33	1464954729468195	0.660173
34	1464954729469317	0.680173
35	1464954729470475	0.700123
36	1464954729670226	0.720142
48	1464954729874746	0.960135
69	1464954730280516	1.380173
77	1464954730485365	1.540174
78	1464954730486482	1.560174
79	1464954730487571	1.580175
80	1464954730488631	1.600173
81	1464954730489882	1.620171
82	1464954730491000	1.640174
83	1464954730492043	1.660175
84	1464954730493236	1.680176
85	1464954730494324	1.700172
86	1464954730495442	1.720198
87	1464954730496318	1.740200
88	1464954730692201	1.760239
99	1464954730896093	1.980174
118	1464954731304607	2.360173
119	1464954731305606	2.380173
120	1464954731306789	2.400173
121	1464954731308834	2.422365
122	1464954731309907	2.440170
123	1464954731311059	2.460172
124	1464954731312212	2.480174
125	1464954731313390	2.500170
126	1464954731314534	2.520110
127	1464954731315801	2.540101
128	1464954731316682	2.560164
129	1464954731510664	2.580138
139	1464954731714221	2.780236
140	1464954731715373	2.800233
141	1464954731716529	2.820232
142	1464954731717676	2.840238
143	1464954731718960	2.860234
149	1464954731922285	2.980163
162	1464954732125816	3.240089
163	1464954732126871	3.260095
182	1464954732540039	3.640132
191	1464954732738282	3.820113
192	1464954732739275	3.840095
193	1464954732740400	3.860121
194	1464954732741580	3.880104
195	1464954732742764	3.900088
196	1464954732743835	3.920357
197	1464954732745017	3.940153
198	1464954732746211	3.960091
199	1464954732747103	3.980112
200	1464954732943441	4.000095
201	1464954732944621	4.020125
202	1464954732945708	4.040088
203	1464954732946834	4.060108
204	1464954732947982	4.080169
205	1464954732949165	4.100174
206	1464954732950316	4.120102
207	1464954732951438	4.140172
208	1464954732952454	4.160171
209	1464954732953375	4.180131
210	1464954733153844	4.200172
211	1464954733154931	4.220173
212	1464954733156024	4.240173
213	1464954733157142	4.260172
214	1464954733158230	4.280126
215	1464954733159416	4.300172
216	1464954733160393	4.320121
217	1464954733161549	4.340170
218	1464954733162666	4.360172
219	1464954733163817	4.380138
220	1464954733164774	4.400176
233	1464954733561290	4.660176
234	1464954733562754	4.680113
243	1464954733762177	4.860172
244	1464954733763162	4.880144
245	1464954733764252	4.900169
246	1464954733765465	4.920097
247	1464954733766521	4.940455
248	1464954733767643	4.960134
249	1464954733768725	4.980135
250	1464954733769723	5.000172
266	1464954734175182	5.320142
267	1464954734176778	5.340168
268	1464954734178182	5.360174
272	1464954734378685	5.440168
282	1464954734585922	5.640171
283	1464954734588077	5.660173
284	1464954734589276	5.680204
285	1464954734590360	5.700236
286	1464954734591456	5.720230
287	1464954734592638	5.740208
288	1464954734593693	5.760181
289	1464954734594780	5.780182
290	1464954734595898	5.800177
291	1464954734597049	5.820178
292	1464954734597940	5.840096
293	1464954734787573	5.860169
304	1464954734993250	6.080174
305	1464954734994427	6.100173
306	1464954734995580	6.120118
307	1464954734996700	6.140170
308	1464954734997820	6.160174
309	1464954734998911	6.180111
310	1464954735000060	6.200165
311	1464954735001157	6.220119
312	1464954735001944	6.240166
313	1464954735196000	6.260129
344	1464954735811276	6.880220
345	1464954735813130	6.900216
356	1464954736017540	7.120171
357	1464954736019072	7.140173
365	1464954736223115	7.300172
366	1464954736224601	7.320171
377	1464954736429307	7.540141
378	1464954736430455	7.560196
386	1464954736629534	7.720173
387	1464954736630723	7.740198
388	1464954736631805	7.760225
389	1464954736632924	7.780188
390	1464954736634076	7.800228
395	1464954736834145	7.900225
396	1464954736835166	7.920164
397	1464954736836220	7.940154
398	1464954736837471	7.960172
399	1464954736838526	7.980120
400	1464954736839617	8.000168
401	1464954736840671	8.020173
