rPacketNo	rPacketTime	rPacketTimeDouble
0	1464701821105340	0.000000
1	1464701821117372	0.020091
2	1464701821129619	0.040096
3	1464701821142197	0.060120
4	1464701821154272	0.080102
5	1464701821166423	0.100092
6	1464701821178582	0.120086
7	1464701821190776	0.140093
8	1464701821203063	0.160179
9	1464701821217116	0.180128
10	1464701821231061	0.200172
11	1464701821242002	0.220179
12	1464701821254047	0.240137
13	1464701821266428	0.260135
14	1464701821278551	0.280183
15	1464701821290680	0.300181
16	1464701821302810	0.320182
19	1464701821514950	0.380171
20	1464701821526742	0.400174
21	1464701821539087	0.420174
22	1464701821551184	0.440092
23	1464701821563334	0.460172
24	1464701821575374	0.480173
25	1464701821587566	0.500172
26	1464701821599621	0.520123
27	1464701821611852	0.540115
31	1464701821662472	0.620171
32	1464701821674545	0.640180
33	1464701821686727	0.660180
34	1464701821698860	0.680173
35	1464701821710955	0.700091
36	1464701821725131	0.720171
37	1464701821737192	0.740181
38	1464701821749259	0.760137
39	1464701821761415	0.780179
40	1464701821924467	0.800135
41	1464701821936617	0.820185
42	1464701821948749	0.840174
43	1464701821960972	0.860171
44	1464701821972768	0.880172
45	1464701821985189	0.900173
46	1464701821997289	0.920175
47	1464701822009448	0.940171
48	1464701822021588	0.960173
49	1464701822037322	0.980179
50	1464701822048425	1.000182
51	1464701822060714	1.020135
52	1464701822072810	1.040172
56	1464701822121900	1.120181
57	1464701822334146	1.140173
58	1464701822346291	1.160172
59	1464701822358449	1.180181
60	1464701822370686	1.200172
61	1464701822382885	1.220175
62	1464701822395009	1.240173
63	1464701822407178	1.260172
64	1464701822419299	1.280169
65	1464701822431408	1.300203
66	1464701822447344	1.320182
67	1464701822458333	1.340172
68	1464701822470240	1.360172
69	1464701822482640	1.380173
70	1464701822495306	1.400182
72	1464701822519620	1.440171
73	1464701822531793	1.460183
77	1464701822743639	1.540118
78	1464701822755744	1.560135
79	1464701822768009	1.580180
80	1464701822780138	1.600173
81	1464701822792233	1.620175
82	1464701822804428	1.640174
83	1464701822816494	1.660172
84	1464701822828682	1.680173
85	1464701822840779	1.700173
86	1464701822856525	1.720174
87	1464701822867534	1.740173
88	1464701822879688	1.760173
89	1464701822891726	1.780172
90	1464701822904651	1.800094
91	1464701822917649	1.820122
92	1464701822929772	1.840086
93	1464701822941962	1.860090
94	1464701822955949	1.880091
95	1464701822968019	1.900090
96	1464701822980043	1.920091
97	1464701822992493	1.940117
98	1464701823004625	1.960081
99	1464701823016726	1.980118
100	1464701823028913	2.000118
101	1464701823041008	2.020119
102	1464701823054802	2.040116
103	1464701823067168	2.060087
104	1464701823079315	2.080091
105	1464701823091393	2.100092
106	1464701823103731	2.120092
107	1464701823115900	2.140091
108	1464701823128052	2.160083
109	1464701823155091	2.180089
110	1464701823168067	2.200214
111	1464701823357879	2.220093
112	1464701823370295	2.240172
113	1464701823382355	2.260172
114	1464701823394647	2.280098
115	1464701823406808	2.300200
116	1464701823419064	2.320176
117	1464701823431263	2.340173
118	1464701823443337	2.360173
119	1464701823455424	2.380171
120	1464701823469423	2.400174
122	1464701823493783	2.440171
123	1464701823505881	2.460089
124	1464701823519064	2.480117
125	1464701823531169	2.500107
126	1464701823543331	2.520118
127	1464701823555566	2.540109
128	1464701823569556	2.560088
129	1464701823581720	2.580117
130	1464701823593882	2.600109
131	1464701823606038	2.620092
132	1464701823768164	2.640090
133	1464701823782077	2.660091
134	1464701823795142	2.680179
135	1464701823807358	2.700136
136	1464701823820415	2.720175
137	1464701823832671	2.740171
138	1464701823845341	2.760171
139	1464701823858366	2.780172
142	1464701823984614	2.840092
143	1464701823996855	2.860089
144	1464701824008952	2.880092
145	1464701824024120	2.900090
146	1464701824036217	2.920172
147	1464701824048375	2.940172
148	1464701824060536	2.960172
151	1464701824099262	3.020138
152	1464701824113025	3.040119
153	1464701824124091	3.060088
154	1464701824136311	3.080090
155	1464701824148536	3.100092
156	1464701824160697	3.120093
157	1464701824172792	3.140172
158	1464701824186874	3.160090
159	1464701824199002	3.180091
160	1464701824211074	3.200090
161	1464701824223324	3.220093
162	1464701824235984	3.240089
163	1464701824248052	3.260117
164	1464701824260148	3.280108
165	1464701824272247	3.300089
166	1464701824287969	3.320091
167	1464701824382202	3.340090
168	1464701824394274	3.360171
169	1464701824406457	3.380171
170	1464701824418593	3.400173
171	1464701824430750	3.420175
172	1464701824442873	3.440118
173	1464701824454971	3.460089
174	1464701824468915	3.480115
175	1464701824479813	3.500108
176	1464701824493636	3.520118
177	1464701824508028	3.540092
178	1464701824586677	3.560088
179	1464701824599077	3.580171
184	1464701824660742	3.680172
185	1464701824672963	3.700174
186	1464701824689360	3.720093
187	1464701824791810	3.740090
188	1464701824803971	3.760171
189	1464701824816195	3.780171
190	1464701824828419	3.800174
191	1464701824840516	3.820173
192	1464701824852743	3.840171
193	1464701824864900	3.860090
194	1464701824877006	3.880090
195	1464701824889219	3.900090
197	1464701824916041	3.940090
198	1464701824928228	3.960171
199	1464701824996495	3.980091
200	1464701825008616	4.000170
201	1464701825020746	4.020121
202	1464701825034747	4.040170
203	1464701825046830	4.060090
204	1464701825058926	4.080091
205	1464701825071023	4.100118
206	1464701825088019	4.120116
218	1464701825406133	4.360172
219	1464701825418292	4.380172
220	1464701825430513	4.400172
221	1464701825442685	4.420175
222	1464701825454897	4.440172
223	1464701825466972	4.460091
224	1464701825478839	4.480116
225	1464701825492082	4.500118
226	1464701825503872	4.520117
227	1464701825611047	4.540091
228	1464701825623311	4.560089
229	1464701825635369	4.580172
230	1464701825647680	4.600172
231	1464701825659839	4.620174
232	1464701825672068	4.640173
233	1464701825684199	4.660117
234	1464701825696355	4.680107
235	1464701825708549	4.700089
236	1464701825722541	4.720094
237	1464701825736394	4.740089
238	1464701825747438	4.760090
239	1464701825759685	4.780117
240	1464701825772032	4.800090
241	1464701825788004	4.820094
243	1464701826020502	4.860171
244	1464701826032760	4.880172
245	1464701826044894	4.900173
246	1464701826057054	4.920173
247	1464701826069311	4.940171
248	1464701826081367	4.960172
249	1464701826093463	4.980171
250	1464701826105653	5.000173
251	1464701826117751	5.020137
252	1464701826131655	5.040170
253	1464701826145552	5.060172
256	1464701826182488	5.120097
257	1464701826194678	5.140093
258	1464701826206807	5.160091
259	1464701826218938	5.180170
260	1464701826232918	5.200092
261	1464701826245105	5.220173
262	1464701826257242	5.240118
263	1464701826269368	5.260089
264	1464701826281528	5.280171
265	1464701826293687	5.300091
266	1464701826307640	5.320091
267	1464701826318781	5.340091
268	1464701826332761	5.360089
269	1464701826347992	5.380094
271	1464701826443856	5.420174
272	1464701826454915	5.440172
273	1464701826467117	5.460172
274	1464701826478986	5.480172
275	1464701826491382	5.500091
277	1464701826519917	5.540091
278	1464701826534347	5.560162
279	1464701826548039	5.580091
280	1464701826635019	5.600089
281	1464701826647272	5.620171
282	1464701826659370	5.640171
283	1464701826671374	5.660172
284	1464701826683582	5.680172
285	1464701826695739	5.700090
286	1464701826709599	5.720091
287	1464701826720703	5.740108
288	1464701826732605	5.760088
289	1464701826748001	5.780090
