sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1464703415741636	0.000001	50	1400
1	1464703415761763	0.020128	50	1400
2	1464703415781724	0.040089	50	1400
3	1464703415801726	0.060091	50	1400
4	1464703415821736	0.080101	50	1400
5	1464703415841730	0.100095	50	1400
6	1464703415861748	0.120113	50	1400
7	1464703415881800	0.140165	50	1400
8	1464703415901730	0.160095	50	1400
9	1464703415921734	0.180099	50	1400
10	1464703415941816	0.200181	50	1400
11	1464703415961770	0.220135	50	1400
12	1464703415981756	0.240121	50	1400
13	1464703416001769	0.260134	50	1400
14	1464703416021810	0.280175	50	1400
15	1464703416041771	0.300136	50	1400
16	1464703416061808	0.320173	50	1400
17	1464703416081807	0.340172	50	1400
18	1464703416101810	0.360175	50	1400
19	1464703416121808	0.380173	50	1400
20	1464703416141807	0.400172	50	1400
21	1464703416161808	0.420173	50	1400
22	1464703416181808	0.440173	50	1400
23	1464703416201810	0.460175	50	1400
24	1464703416221809	0.480174	50	1400
25	1464703416241807	0.500172	50	1400
26	1464703416261808	0.520173	50	1400
27	1464703416281746	0.540111	50	1400
28	1464703416301724	0.560089	50	1400
29	1464703416321796	0.580161	50	1400
30	1464703416341806	0.600171	50	1400
31	1464703416361806	0.620171	50	1400
32	1464703416381806	0.640171	50	1400
33	1464703416401807	0.660172	50	1400
34	1464703416421763	0.680128	50	1400
35	1464703416441797	0.700162	50	1400
36	1464703416461771	0.720136	50	1400
37	1464703416481755	0.740120	50	1400
38	1464703416501768	0.760133	50	1400
39	1464703416521810	0.780175	50	1400
40	1464703416541805	0.800170	50	1400
41	1464703416561809	0.820174	50	1400
42	1464703416581806	0.840171	50	1400
43	1464703416601809	0.860174	50	1400
44	1464703416621807	0.880172	50	1400
45	1464703416641808	0.900173	50	1400
46	1464703416661808	0.920173	50	1400
47	1464703416681725	0.940090	50	1400
48	1464703416701807	0.960172	50	1400
49	1464703416721761	0.980126	50	1400
50	1464703416741797	1.000162	50	1400
51	1464703416761807	1.020172	50	1400
52	1464703416781806	1.040171	50	1400
53	1464703416801808	1.060173	50	1400
54	1464703416821810	1.080175	50	1400
55	1464703416841806	1.100171	50	1400
56	1464703416861806	1.120171	50	1400
57	1464703416881805	1.140170	50	1400
58	1464703416901806	1.160171	50	1400
59	1464703416921807	1.180172	50	1400
60	1464703416941806	1.200171	50	1400
61	1464703416961806	1.220171	50	1400
62	1464703416981769	1.240134	50	1400
63	1464703417001808	1.260173	50	1400
64	1464703417021808	1.280173	50	1400
65	1464703417041806	1.300171	50	1400
66	1464703417061807	1.320172	50	1400
67	1464703417081807	1.340172	50	1400
68	1464703417101809	1.360174	50	1400
69	1464703417121808	1.380173	50	1400
70	1464703417141807	1.400172	50	1400
71	1464703417161806	1.420171	50	1400
72	1464703417181763	1.440128	50	1400
73	1464703417201799	1.460164	50	1400
74	1464703417221807	1.480172	50	1400
75	1464703417241806	1.500171	50	1400
76	1464703417261806	1.520171	50	1400
77	1464703417281807	1.540172	50	1400
78	1464703417301807	1.560172	50	1400
79	1464703417321812	1.580177	50	1400
80	1464703417341805	1.600170	50	1400
81	1464703417361806	1.620171	50	1400
82	1464703417381807	1.640172	50	1400
83	1464703417401811	1.660176	50	1400
84	1464703417421809	1.680174	50	1400
85	1464703417441806	1.700171	50	1400
86	1464703417461807	1.720172	50	1400
87	1464703417481736	1.740101	50	1400
88	1464703417501779	1.760144	50	1400
89	1464703417521809	1.780174	50	1400
90	1464703417541805	1.800170	50	1400
91	1464703417561769	1.820134	50	1400
92	1464703417581804	1.840169	50	1400
93	1464703417601808	1.860173	50	1400
94	1464703417621807	1.880172	50	1400
95	1464703417641806	1.900171	50	1400
96	1464703417661805	1.920170	50	1400
97	1464703417681807	1.940172	50	1400
98	1464703417701808	1.960173	50	1400
99	1464703417721809	1.980174	50	1400
100	1464703417741806	2.000171	50	1400
101	1464703417761806	2.020171	50	1400
102	1464703417781807	2.040172	50	1400
103	1464703417801808	2.060173	50	1400
104	1464703417821810	2.080175	50	1400
105	1464703417841806	2.100171	50	1400
106	1464703417861807	2.120172	50	1400
107	1464703417881806	2.140171	50	1400
108	1464703417901807	2.160172	50	1400
109	1464703417921808	2.180173	50	1400
110	1464703417941846	2.200211	50	1400
111	1464703417961809	2.220174	50	1400
112	1464703417981754	2.240119	50	1400
113	1464703418001760	2.260125	50	1400
114	1464703418021801	2.280166	50	1400
115	1464703418041806	2.300171	50	1400
116	1464703418061805	2.320170	50	1400
117	1464703418081807	2.340172	50	1400
118	1464703418101772	2.360137	50	1400
119	1464703418121808	2.380173	50	1400
120	1464703418141806	2.400171	50	1400
121	1464703418161808	2.420173	50	1400
122	1464703418181805	2.440170	50	1400
123	1464703418201810	2.460175	50	1400
124	1464703418221811	2.480176	50	1400
125	1464703418241807	2.500172	50	1400
126	1464703418261806	2.520171	50	1400
127	1464703418281806	2.540171	50	1400
128	1464703418301807	2.560172	50	1400
129	1464703418321828	2.580193	50	1400
130	1464703418341849	2.600214	50	1400
131	1464703418361858	2.620223	50	1400
132	1464703418381842	2.640207	50	1400
133	1464703418401812	2.660177	50	1400
134	1464703418421773	2.680138	50	1400
135	1464703418441803	2.700168	50	1400
136	1464703418461806	2.720171	50	1400
137	1464703418481768	2.740133	50	1400
138	1464703418501809	2.760174	50	1400
139	1464703418521738	2.780103	50	1400
140	1464703418541749	2.800114	50	1400
141	1464703418561730	2.820095	50	1400
142	1464703418581802	2.840167	50	1400
143	1464703418601808	2.860173	50	1400
144	1464703418621811	2.880176	50	1400
145	1464703418641806	2.900171	50	1400
146	1464703418661806	2.920171	50	1400
147	1464703418681807	2.940172	50	1400
148	1464703418701806	2.960171	50	1400
149	1464703418721809	2.980174	50	1400
150	1464703418741807	3.000172	50	1400
151	1464703418761805	3.020170	50	1400
152	1464703418781807	3.040172	50	1400
153	1464703418801809	3.060174	50	1400
154	1464703418821807	3.080172	50	1400
155	1464703418841805	3.100170	50	1400
156	1464703418861804	3.120169	50	1400
157	1464703418881807	3.140172	50	1400
158	1464703418901809	3.160174	50	1400
159	1464703418921808	3.180173	50	1400
160	1464703418941807	3.200172	50	1400
161	1464703418961806	3.220171	50	1400
162	1464703418981754	3.240119	50	1400
163	1464703419001802	3.260167	50	1400
164	1464703419021778	3.280143	50	1400
165	1464703419041805	3.300170	50	1400
166	1464703419061769	3.320134	50	1400
167	1464703419081806	3.340171	50	1400
168	1464703419101808	3.360173	50	1400
169	1464703419121812	3.380177	50	1400
170	1464703419141807	3.400172	50	1400
171	1464703419161806	3.420171	50	1400
172	1464703419181807	3.440172	50	1400
173	1464703419201808	3.460173	50	1400
174	1464703419221809	3.480174	50	1400
175	1464703419241806	3.500171	50	1400
176	1464703419261808	3.520173	50	1400
177	1464703419281803	3.540168	50	1400
178	1464703419301809	3.560174	50	1400
179	1464703419321808	3.580173	50	1400
180	1464703419341805	3.600170	50	1400
181	1464703419361807	3.620172	50	1400
182	1464703419381807	3.640172	50	1400
183	1464703419401808	3.660173	50	1400
184	1464703419421807	3.680172	50	1400
185	1464703419441806	3.700171	50	1400
186	1464703419461807	3.720172	50	1400
187	1464703419481753	3.740118	50	1400
188	1464703419501802	3.760167	50	1400
189	1464703419521809	3.780174	50	1400
190	1464703419541807	3.800172	50	1400
191	1464703419561805	3.820170	50	1400
192	1464703419581807	3.840172	50	1400
193	1464703419601807	3.860172	50	1400
