rPacketNo	rPacketTime	rPacketTimeDouble
0	1464706566763821	0.000000
1	1464706566787915	0.020170
12	1464706567063208	0.240175
13	1464706567085897	0.260176
14	1464706567110047	0.280177
15	1464706567136548	0.300176
16	1464706567162720	0.320177
17	1464706567186927	0.340177
18	1464706567211174	0.360176
19	1464706567235457	0.380111
20	1464706567259776	0.400170
21	1464706567285931	0.420178
22	1464706567310272	0.440132
23	1464706567334596	0.460137
24	1464706567358882	0.480137
31	1464706567717498	0.620136
32	1464706567741879	0.640130
33	1464706567766059	0.660137
36	1464706567841276	0.720135
37	1464706567865524	0.740172
40	1464706567941804	0.800173
41	1464706567964489	0.820174
42	1464706567990631	0.840175
43	1464706568014954	0.860175
44	1464706568039230	0.880104
45	1464706568064393	0.900122
46	1464706568090606	0.920170
47	1464706568114795	0.940175
48	1464706568139692	0.960183
54	1464706568307944	1.080175
55	1464706568332235	1.100121
56	1464706568356375	1.120171
57	1464706568380645	1.140193
59	1464706568431272	1.180172
60	1464706568455485	1.200208
61	1464706568479354	1.220207
62	1464706568505725	1.240168
74	1464706568896943	1.480174
93	1464706569379309	1.860200
101	1464706569578358	2.020091
102	1464706569602636	2.040119
109	1464706569776566	2.180118
110	1464706569801082	2.200151
117	1464706569974153	2.340120
118	1464706570000476	2.360172
119	1464706570024637	2.380098
126	1464706570198079	2.520132
127	1464706570222427	2.540123
134	1464706570397600	2.680138
135	1464706570422000	2.700097
136	1464706570448288	2.720119
142	1464706570596287	2.840174
143	1464706570621573	2.860175
144	1464706570649510	2.880119
145	1464706570787755	2.900193
162	1464706571209707	3.240141
163	1464706571233894	3.260135
164	1464706571261834	3.280096
165	1464706571401707	3.300133
199	1464706572261970	3.980138
200	1464706572288795	4.000116
206	1464706572437589	4.120173
207	1464706572461719	4.140175
213	1464706572617972	4.260175
214	1464706572642171	4.280175
215	1464706572666489	4.300178
216	1464706572694392	4.320202
217	1464706572832987	4.340316
234	1464706573254171	4.680174
235	1464706573278461	4.700139
236	1464706573304542	4.720196
237	1464706573328668	4.740222
238	1464706573352956	4.760220
239	1464706573377307	4.780223
240	1464706573403518	4.800225
241	1464706573429696	4.820190
242	1464706573453885	4.840215
243	1464706573477942	4.860181
244	1464706573502107	4.880121
255	1464706573949430	5.100176
256	1464706573973498	5.120174
257	1464706573997906	5.140093
258	1464706574025782	5.160171
261	1464706574096824	5.220174
262	1464706574121110	5.240175
263	1464706574147108	5.260173
264	1464706574171479	5.280130
265	1464706574195704	5.300173
266	1464706574221816	5.320175
268	1464706574272386	5.360176
269	1464706574296537	5.380104
270	1464706574320687	5.400182
271	1464706574347161	5.420127
272	1464706574371417	5.440171
275	1464706574447221	5.500120
276	1464706574471150	5.520176
277	1464706574495787	5.540173
278	1464706574520124	5.560140
279	1464706574546268	5.580176
280	1464706574570459	5.600174
281	1464706574595459	5.620176
282	1464706574619930	5.640176
283	1464706574645976	5.660202
284	1464706574670236	5.680231
285	1464706574694367	5.700200
286	1464706574718492	5.720175
287	1464706574744672	5.740176
288	1464706574768894	5.760174
289	1464706574793214	5.780138
290	1464706574817375	5.800176
291	1464706574843558	5.820174
292	1464706574867867	5.840176
293	1464706574891882	5.860093
297	1464706574993826	5.940174
298	1464706575018910	5.960175
300	1464706575069853	6.000139
301	1464706575094077	6.020136
302	1464706575118208	6.040176
303	1464706575142533	6.060173
304	1464706575169507	6.080176
305	1464706575195525	6.100176
306	1464706575219808	6.120174
307	1464706575244034	6.140140
308	1464706575270114	6.160176
309	1464706575294484	6.180178
311	1464706575342921	6.220176
312	1464706575368908	6.240175
313	1464706575393165	6.260152
314	1464706575417548	6.280141
315	1464706575557292	6.300176
317	1464706575607323	6.340175
318	1464706575630085	6.360176
319	1464706575654280	6.380117
320	1464706575680361	6.400236
321	1464706575704680	6.420180
322	1464706575728969	6.440185
323	1464706575753321	6.460183
324	1464706575779401	6.480183
325	1464706575804363	6.500185
326	1464706575828650	6.520182
327	1464706575852940	6.540101
328	1464706575879082	6.560186
329	1464706575903371	6.580127
330	1464706575927692	6.600180
339	1464706576399014	6.780175
340	1464706576423274	6.800177
341	1464706576447545	6.820094
342	1464706576471690	6.840167
343	1464706576498052	6.860176
344	1464706576522286	6.880099
345	1464706576546610	6.900123
346	1464706576571149	6.920185
348	1464706576621485	6.960101
349	1464706576645776	6.980173
350	1464706576670004	7.000175
351	1464706576696528	7.020136
352	1464706576720817	7.040174
353	1464706576745427	7.060175
354	1464706576770418	7.080176
357	1464706576845139	7.140172
358	1464706576888860	7.160102
359	1464706576913034	7.180183
374	1464706576972774	7.480176
375	1464706577413223	7.500174
377	1464706577461690	7.540168
378	1464706577485897	7.560173
380	1464706577537955	7.600172
381	1464706577560818	7.620174
382	1464706577585667	7.640174
383	1464706577611686	7.660138
384	1464706577636035	7.680141
385	1464706577660211	7.700198
386	1464706577684486	7.720172
387	1464706577710601	7.740138
388	1464706577734950	7.760174
389	1464706577759347	7.780173
390	1464706577783588	7.800122
392	1464706577834407	7.840174
393	1464706577858673	7.860200
394	1464706577882898	7.880136
395	1464706577907125	7.900136
396	1464706577933448	7.920143
397	1464706577957413	7.940183
398	1464706577981924	7.960174
399	1464706578006373	7.980172
400	1464706578032500	8.000176
401	1464706578056807	8.020136
402	1464706578081127	8.040137
403	1464706578105287	8.060174
404	1464706578131431	8.080174
405	1464706578155714	8.100175
406	1464706578180008	8.120175
407	1464706578204232	8.140174
412	1464706578497374	8.240173
413	1464706578521472	8.260137
414	1464706578547744	8.280171
415	1464706578571724	8.300173
416	1464706578596323	8.320174
417	1464706578620539	8.340171
418	1464706578646784	8.360173
419	1464706578671040	8.380119
420	1464706578695202	8.400186
421	1464706578719392	8.420135
423	1464706578769986	8.460175
424	1464706578794319	8.480174
425	1464706578818723	8.500174
426	1464706578844772	8.520176
427	1464706578869061	8.540175
428	1464706578893543	8.560173
429	1464706578917828	8.580173
444	1464706578980086	8.880104
445	1464706579028846	8.900148
446	1464706579338902	8.920177
461	1464706579413556	9.220124
467	1464706579984988	9.340133
468	1464706580009232	9.360175
469	1464706580033485	9.380098
470	1464706580057678	9.400154
471	1464706580083770	9.420178
472	1464706580108080	9.440175
473	1464706580132299	9.460121
474	1464706580156752	9.480172
476	1464706580207267	9.520176
477	1464706580231500	9.540174
478	1464706580255674	9.560177
479	1464706580281875	9.580173
480	1464706580306108	9.600141
481	1464706580330576	9.620177
482	1464706580354866	9.640175
498	1464706580465364	9.960096
499	1464706580775384	9.980134
500	1464706580801623	10.000177
501	1464706580825850	10.020116
502	1464706580850042	10.040123
503	1464706580874197	10.060134
504	1464706580900377	10.080136
