sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1464707236633239	0.000000	50	2800
1	1464707236653438	0.020199	50	2800
2	1464707236673413	0.040174	50	2800
3	1464707236693415	0.060176	50	2800
4	1464707236713415	0.080176	50	2800
5	1464707236733417	0.100178	50	2800
6	1464707236753414	0.120175	50	2800
7	1464707236773415	0.140176	50	2800
8	1464707236793415	0.160176	50	2800
9	1464707236813416	0.180177	50	2800
10	1464707236833417	0.200178	50	2800
11	1464707236853412	0.220173	50	2800
12	1464707236873361	0.240122	50	2800
13	1464707236893424	0.260185	50	2800
14	1464707236913415	0.280176	50	2800
15	1464707236933416	0.300177	50	2800
16	1464707236953412	0.320173	50	2800
17	1464707236973339	0.340100	50	2800
18	1464707236993374	0.360135	50	2800
19	1464707237013333	0.380094	50	2800
20	1464707237033405	0.400166	50	2800
21	1464707237053415	0.420176	50	2800
22	1464707237073414	0.440175	50	2800
23	1464707237093410	0.460171	50	2800
24	1464707237113414	0.480175	50	2800
25	1464707237133414	0.500175	50	2800
26	1464707237153379	0.520140	50	2800
27	1464707237173414	0.540175	50	2800
28	1464707237193413	0.560174	50	2800
29	1464707237213415	0.580176	50	2800
30	1464707237233382	0.600143	50	2800
31	1464707237253413	0.620174	50	2800
32	1464707237273414	0.640175	50	2800
33	1464707237293378	0.660139	50	2800
34	1464707237313415	0.680176	50	2800
35	1464707237333417	0.700178	50	2800
36	1464707237353413	0.720174	50	2800
37	1464707237373414	0.740175	50	2800
38	1464707237393414	0.760175	50	2800
39	1464707237413417	0.780178	50	2800
40	1464707237433440	0.800201	50	2800
41	1464707237453473	0.820234	50	2800
42	1464707237473410	0.840171	50	2800
43	1464707237493415	0.860176	50	2800
44	1464707237513416	0.880177	50	2800
45	1464707237533417	0.900178	50	2800
46	1464707237553415	0.920176	50	2800
47	1464707237573413	0.940174	50	2800
48	1464707237593354	0.960115	50	2800
49	1464707237613334	0.980095	50	2800
50	1464707237633348	1.000109	50	2800
51	1464707237653363	1.020124	50	2800
52	1464707237673412	1.040173	50	2800
53	1464707237693412	1.060173	50	2800
54	1464707237713414	1.080175	50	2800
55	1464707237733363	1.100124	50	2800
56	1464707237753410	1.120171	50	2800
57	1464707237773410	1.140171	50	2800
58	1464707237793415	1.160176	50	2800
59	1464707237813413	1.180174	50	2800
60	1464707237833416	1.200177	50	2800
61	1464707237853415	1.220176	50	2800
62	1464707237873381	1.240142	50	2800
63	1464707237893413	1.260174	50	2800
64	1464707237913418	1.280179	50	2800
65	1464707237933415	1.300176	50	2800
66	1464707237953415	1.320176	50	2800
67	1464707237973371	1.340132	50	2800
68	1464707237993443	1.360204	50	2800
69	1464707238013382	1.380143	50	2800
70	1464707238033420	1.400181	50	2800
71	1464707238053421	1.420182	50	2800
72	1464707238073423	1.440184	50	2800
73	1464707238093409	1.460170	50	2800
74	1464707238113370	1.480131	50	2800
75	1464707238133412	1.500173	50	2800
76	1464707238153413	1.520174	50	2800
77	1464707238173414	1.540175	50	2800
78	1464707238193412	1.560173	50	2800
79	1464707238213336	1.580097	50	2800
80	1464707238233411	1.600172	50	2800
81	1464707238253412	1.620173	50	2800
82	1464707238273415	1.640176	50	2800
83	1464707238293414	1.660175	50	2800
84	1464707238313362	1.680123	50	2800
85	1464707238333410	1.700171	50	2800
86	1464707238353415	1.720176	50	2800
87	1464707238373413	1.740174	50	2800
88	1464707238393423	1.760184	50	2800
89	1464707238413440	1.780201	50	2800
90	1464707238433439	1.800200	50	2800
91	1464707238453388	1.820149	50	2800
92	1464707238473388	1.840149	50	2800
93	1464707238493448	1.860209	50	2800
94	1464707238513378	1.880139	50	2800
95	1464707238533415	1.900176	50	2800
96	1464707238553413	1.920174	50	2800
97	1464707238573414	1.940175	50	2800
98	1464707238593354	1.960115	50	2800
99	1464707238613411	1.980172	50	2800
100	1464707238633415	2.000176	50	2800
101	1464707238653413	2.020174	50	2800
102	1464707238673412	2.040173	50	2800
103	1464707238693414	2.060175	50	2800
104	1464707238713415	2.080176	50	2800
105	1464707238733355	2.100116	50	2800
106	1464707238753408	2.120169	50	2800
107	1464707238773415	2.140176	50	2800
108	1464707238793412	2.160173	50	2800
109	1464707238813417	2.180178	50	2800
110	1464707238833453	2.200214	50	2800
111	1464707238853413	2.220174	50	2800
112	1464707238873413	2.240174	50	2800
113	1464707238893421	2.260182	50	2800
114	1464707238913368	2.280129	50	2800
115	1464707238933413	2.300174	50	2800
116	1464707238953410	2.320171	50	2800
117	1464707238973353	2.340114	50	2800
118	1464707238993356	2.360117	50	2800
119	1464707239013380	2.380141	50	2800
120	1464707239033361	2.400122	50	2800
121	1464707239053356	2.420117	50	2800
122	1464707239073403	2.440164	50	2800
123	1464707239093375	2.460136	50	2800
124	1464707239113414	2.480175	50	2800
125	1464707239133416	2.500177	50	2800
126	1464707239153413	2.520174	50	2800
127	1464707239173377	2.540138	50	2800
128	1464707239193415	2.560176	50	2800
129	1464707239213413	2.580174	50	2800
130	1464707239233415	2.600176	50	2800
131	1464707239253415	2.620176	50	2800
132	1464707239273413	2.640174	50	2800
133	1464707239293415	2.660176	50	2800
134	1464707239313414	2.680175	50	2800
135	1464707239333414	2.700175	50	2800
136	1464707239353413	2.720174	50	2800
137	1464707239373414	2.740175	50	2800
138	1464707239393416	2.760177	50	2800
139	1464707239413415	2.780176	50	2800
140	1464707239433416	2.800177	50	2800
141	1464707239453414	2.820175	50	2800
142	1464707239473349	2.840110	50	2800
143	1464707239493356	2.860117	50	2800
144	1464707239513394	2.880155	50	2800
145	1464707239533405	2.900166	50	2800
146	1464707239553378	2.920139	50	2800
147	1464707239573410	2.940171	50	2800
148	1464707239593410	2.960171	50	2800
149	1464707239613343	2.980104	50	2800
150	1464707239633421	3.000182	50	2800
151	1464707239653415	3.020176	50	2800
152	1464707239673413	3.040174	50	2800
153	1464707239693410	3.060171	50	2800
154	1464707239713411	3.080172	50	2800
155	1464707239733415	3.100176	50	2800
156	1464707239753359	3.120120	50	2800
157	1464707239773409	3.140170	50	2800
158	1464707239793414	3.160175	50	2800
159	1464707239813441	3.180202	50	2800
160	1464707239833446	3.200207	50	2800
161	1464707239853414	3.220175	50	2800
162	1464707239873414	3.240175	50	2800
163	1464707239893365	3.260126	50	2800
164	1464707239913408	3.280169	50	2800
165	1464707239933413	3.300174	50	2800
166	1464707239953414	3.320175	50	2800
167	1464707239973361	3.340122	50	2800
168	1464707239993377	3.360138	50	2800
169	1464707240013360	3.380121	50	2800
170	1464707240033373	3.400134	50	2800
171	1464707240053414	3.420175	50	2800
172	1464707240073364	3.440125	50	2800
173	1464707240093372	3.460133	50	2800
174	1464707240113411	3.480172	50	2800
175	1464707240133363	3.500124	50	2800
176	1464707240153403	3.520164	50	2800
177	1464707240173378	3.540139	50	2800
178	1464707240193376	3.560137	50	2800
179	1464707240213412	3.580173	50	2800
180	1464707240233362	3.600123	50	2800
181	1464707240253340	3.620101	50	2800
182	1464707240273342	3.640103	50	2800
183	1464707240293395	3.660156	50	2800
184	1464707240313411	3.680172	50	2800
185	1464707240333333	3.700094	50	2800
186	1464707240353411	3.720172	50	2800
187	1464707240373414	3.740175	50	2800
188	1464707240393411	3.760172	50	2800
189	1464707240413412	3.780173	50	2800
190	1464707240433416	3.800177	50	2800
191	1464707240453417	3.820178	50	2800
192	1464707240473380	3.840141	50	2800
193	1464707240493416	3.860177	50	2800
194	1464707240513333	3.880094	50	2800
195	1464707240533373	3.900134	50	2800
196	1464707240553413	3.920174	50	2800
197	1464707240573413	3.940174	50	2800
198	1464707240593366	3.960127	50	2800
199	1464707240613373	3.980134	50	2800
200	1464707240633413	4.000174	50	2800
201	1464707240653415	4.020176	50	2800
202	1464707240673415	4.040176	50	2800
203	1464707240693377	4.060138	50	2800
204	1464707240713413	4.080174	50	2800
205	1464707240733411	4.100172	50	2800
206	1464707240753413	4.120174	50	2800
207	1464707240773413	4.140174	50	2800
208	1464707240793413	4.160174	50	2800
209	1464707240813413	4.180174	50	2800
210	1464707240833412	4.200173	50	2800
211	1464707240853413	4.220174	50	2800
212	1464707240873443	4.240204	50	2800
