sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1464705235196718	0.000000	50	13
1	1464705235216839	0.020121	50	13
2	1464705235236886	0.040168	50	13
3	1464705235256836	0.060118	50	13
4	1464705235276901	0.080183	50	13
5	1464705235296831	0.100113	50	13
6	1464705235316911	0.120193	50	13
7	1464705235336889	0.140171	50	13
8	1464705235356836	0.160118	50	13
9	1464705235376858	0.180140	50	13
10	1464705235396850	0.200132	50	13
11	1464705235416828	0.220110	50	13
12	1464705235436823	0.240105	50	13
13	1464705235456804	0.260086	50	13
14	1464705235476843	0.280125	50	13
15	1464705235496887	0.300169	50	13
16	1464705235516886	0.320168	50	13
17	1464705235536855	0.340137	50	13
18	1464705235556853	0.360135	50	13
19	1464705235576855	0.380137	50	13
20	1464705235596889	0.400171	50	13
21	1464705235616890	0.420172	50	13
22	1464705235636891	0.440173	50	13
23	1464705235656890	0.460172	50	13
24	1464705235676854	0.480136	50	13
25	1464705235696838	0.500120	50	13
26	1464705235716886	0.520168	50	13
27	1464705235736837	0.540119	50	13
28	1464705235756850	0.560132	50	13
29	1464705235776892	0.580174	50	13
30	1464705235796891	0.600173	50	13
31	1464705235816891	0.620173	50	13
32	1464705235836890	0.640172	50	13
33	1464705235856891	0.660173	50	13
34	1464705235876892	0.680174	50	13
35	1464705235896892	0.700174	50	13
36	1464705235916889	0.720171	50	13
37	1464705235936890	0.740172	50	13
38	1464705235956851	0.760133	50	13
39	1464705235976856	0.780138	50	13
40	1464705235996889	0.800171	50	13
41	1464705236016837	0.820119	50	13
42	1464705236036886	0.840168	50	13
43	1464705236056890	0.860172	50	13
44	1464705236076892	0.880174	50	13
45	1464705236096890	0.900172	50	13
46	1464705236116891	0.920173	50	13
47	1464705236136889	0.940171	50	13
48	1464705236156838	0.960120	50	13
49	1464705236176879	0.980161	50	13
50	1464705236196890	1.000172	50	13
51	1464705236216891	1.020173	50	13
52	1464705236236889	1.040171	50	13
53	1464705236256888	1.060170	50	13
54	1464705236276892	1.080174	50	13
55	1464705236296889	1.100171	50	13
56	1464705236316891	1.120173	50	13
57	1464705236336890	1.140172	50	13
58	1464705236356900	1.160182	50	13
59	1464705236376881	1.180163	50	13
60	1464705236396890	1.200172	50	13
61	1464705236416891	1.220173	50	13
62	1464705236436890	1.240172	50	13
63	1464705236456892	1.260174	50	13
64	1464705236476820	1.280102	50	13
65	1464705236496857	1.300139	50	13
66	1464705236516886	1.320168	50	13
67	1464705236536890	1.340172	50	13
68	1464705236556888	1.360170	50	13
69	1464705236576855	1.380137	50	13
70	1464705236596890	1.400172	50	13
71	1464705236616824	1.420106	50	13
72	1464705236636855	1.440137	50	13
73	1464705236656875	1.460157	50	13
74	1464705236676891	1.480173	50	13
75	1464705236696890	1.500172	50	13
76	1464705236716889	1.520171	50	13
77	1464705236736836	1.540118	50	13
78	1464705236756841	1.560123	50	13
79	1464705236776849	1.580131	50	13
80	1464705236796892	1.600174	50	13
81	1464705236816890	1.620172	50	13
82	1464705236836890	1.640172	50	13
83	1464705236856890	1.660172	50	13
84	1464705236876854	1.680136	50	13
85	1464705236896853	1.700135	50	13
86	1464705236916889	1.720171	50	13
87	1464705236936891	1.740173	50	13
88	1464705236956890	1.760172	50	13
89	1464705236976827	1.780109	50	13
90	1464705236996854	1.800136	50	13
91	1464705237016849	1.820131	50	13
92	1464705237036855	1.840137	50	13
93	1464705237056890	1.860172	50	13
94	1464705237076893	1.880175	50	13
95	1464705237096891	1.900173	50	13
96	1464705237116890	1.920172	50	13
97	1464705237136891	1.940173	50	13
98	1464705237156889	1.960171	50	13
99	1464705237176855	1.980137	50	13
100	1464705237196852	2.000134	50	13
101	1464705237216890	2.020172	50	13
102	1464705237236891	2.040173	50	13
103	1464705237256910	2.060192	50	13
104	1464705237276914	2.080196	50	13
105	1464705237296890	2.100172	50	13
106	1464705237316835	2.120117	50	13
107	1464705237336866	2.140148	50	13
108	1464705237356873	2.160155	50	13
109	1464705237376890	2.180172	50	13
110	1464705237396888	2.200170	50	13
111	1464705237416889	2.220171	50	13
112	1464705237436890	2.240172	50	13
113	1464705237456836	2.260118	50	13
114	1464705237476824	2.280106	50	13
115	1464705237496852	2.300134	50	13
116	1464705237516920	2.320202	50	13
117	1464705237536890	2.340172	50	13
118	1464705237556887	2.360169	50	13
119	1464705237576849	2.380131	50	13
120	1464705237596851	2.400133	50	13
121	1464705237616890	2.420172	50	13
122	1464705237636891	2.440173	50	13
123	1464705237656892	2.460174	50	13
124	1464705237676891	2.480173	50	13
125	1464705237696890	2.500172	50	13
126	1464705237716891	2.520173	50	13
127	1464705237736889	2.540171	50	13
128	1464705237756888	2.560170	50	13
129	1464705237776893	2.580175	50	13
130	1464705237796888	2.600170	50	13
131	1464705237816889	2.620171	50	13
132	1464705237836890	2.640172	50	13
133	1464705237856888	2.660170	50	13
134	1464705237876892	2.680174	50	13
135	1464705237896890	2.700172	50	13
136	1464705237916890	2.720172	50	13
137	1464705237936890	2.740172	50	13
138	1464705237956890	2.760172	50	13
139	1464705237976875	2.780157	50	13
140	1464705237996878	2.800160	50	13
141	1464705238016890	2.820172	50	13
142	1464705238036811	2.840093	50	13
143	1464705238056886	2.860168	50	13
144	1464705238076890	2.880172	50	13
145	1464705238096891	2.900173	50	13
146	1464705238116891	2.920173	50	13
147	1464705238136891	2.940173	50	13
148	1464705238156890	2.960172	50	13
149	1464705238176844	2.980126	50	13
150	1464705238196887	3.000169	50	13
151	1464705238216887	3.020169	50	13
152	1464705238236890	3.040172	50	13
153	1464705238256889	3.060171	50	13
154	1464705238276892	3.080174	50	13
155	1464705238296903	3.100185	50	13
156	1464705238316881	3.120163	50	13
157	1464705238336906	3.140188	50	13
158	1464705238356839	3.160121	50	13
159	1464705238376888	3.180170	50	13
160	1464705238396889	3.200171	50	13
161	1464705238416889	3.220171	50	13
162	1464705238436889	3.240171	50	13
163	1464705238456890	3.260172	50	13
164	1464705238476821	3.280103	50	13
165	1464705238496860	3.300142	50	13
166	1464705238516855	3.320137	50	13
167	1464705238536890	3.340172	50	13
168	1464705238556842	3.360124	50	13
169	1464705238576914	3.380196	50	13
170	1464705238596923	3.400205	50	13
171	1464705238616887	3.420169	50	13
172	1464705238636892	3.440174	50	13
173	1464705238656889	3.460171	50	13
174	1464705238676892	3.480174	50	13
175	1464705238696889	3.500171	50	13
176	1464705238716890	3.520172	50	13
177	1464705238736888	3.540170	50	13
178	1464705238756836	3.560118	50	13
179	1464705238776884	3.580166	50	13
180	1464705238796890	3.600172	50	13
181	1464705238816835	3.620117	50	13
182	1464705238836878	3.640160	50	13
183	1464705238856888	3.660170	50	13
184	1464705238876808	3.680090	50	13
185	1464705238896849	3.700131	50	13
186	1464705238916891	3.720173	50	13
187	1464705238936891	3.740173	50	13
188	1464705238956888	3.760170	50	13
189	1464705238976850	3.780132	50	13
190	1464705238996891	3.800173	50	13
191	1464705239016906	3.820188	50	13
192	1464705239036855	3.840137	50	13
193	1464705239056888	3.860170	50	13
194	1464705239076889	3.880171	50	13
195	1464705239096891	3.900173	50	13
196	1464705239116888	3.920170	50	13
197	1464705239136890	3.940172	50	13
198	1464705239156888	3.960170	50	13
199	1464705239176889	3.980171	50	13
200	1464705239196890	4.000172	50	13
201	1464705239216890	4.020172	50	13
202	1464705239236869	4.040151	50	13
203	1464705239256930	4.060212	50	13
204	1464705239276912	4.080194	50	13
205	1464705239296889	4.100171	50	13
206	1464705239316889	4.120171	50	13
207	1464705239336858	4.140140	50	13
208	1464705239356840	4.160122	50	13
209	1464705239376891	4.180173	50	13
210	1464705239396890	4.200172	50	13
211	1464705239416891	4.220173	50	13
212	1464705239436856	4.240138	50	13
213	1464705239456853	4.260135	50	13
214	1464705239476831	4.280113	50	13
215	1464705239496885	4.300167	50	13
