rPacketNo	rPacketTime	rPacketTimeDouble
0	1464705571817554	0.000000
1	1464705571818582	0.020152
2	1464705571819635	0.040168
3	1464705571820626	0.060169
4	1464705572022425	0.080095
5	1464705572023511	0.100098
6	1464705572024566	0.120098
7	1464705572025554	0.140086
8	1464705572026609	0.160116
9	1464705572027771	0.180122
10	1464705572028857	0.200115
11	1464705572029877	0.220094
12	1464705572030894	0.240148
13	1464705572031793	0.260113
14	1464705572227236	0.280101
15	1464705572228350	0.300160
16	1464705572229440	0.320172
17	1464705572230555	0.340174
18	1464705572231540	0.360174
19	1464705572232667	0.380175
20	1464705572233789	0.400118
21	1464705572234838	0.420168
22	1464705572235964	0.440124
23	1464705572237083	0.460124
24	1464705572238015	0.480121
25	1464705572431938	0.500161
26	1464705572432990	0.520124
27	1464705572434048	0.540133
28	1464705572435066	0.560099
29	1464705572436160	0.580179
30	1464705572437280	0.600171
31	1464705572438298	0.620172
32	1464705572439384	0.640172
33	1464705572440440	0.660173
34	1464705572441354	0.680113
35	1464705572636736	0.700085
36	1464705572637821	0.720102
37	1464705572638777	0.740124
38	1464705572639836	0.760174
39	1464705572640861	0.780174
40	1464705572641852	0.800172
41	1464705572642840	0.820173
42	1464705572643997	0.840118
43	1464705572645088	0.860169
44	1464705572645902	0.880173
45	1464705572841623	0.900171
46	1464705572842569	0.920171
47	1464705572843622	0.940173
48	1464705572844601	0.960171
49	1464705572845692	0.980095
50	1464705572846775	1.000167
51	1464705572847806	1.020198
52	1464705572848919	1.040225
53	1464705572850003	1.060227
54	1464705572850790	1.080227
55	1464705573046392	1.100225
56	1464705573047386	1.120123
66	1464705573251127	1.320172
67	1464705573252190	1.340110
68	1464705573253332	1.360106
69	1464705573254419	1.380094
70	1464705573255385	1.400092
71	1464705573256519	1.420096
72	1464705573257556	1.440104
73	1464705573258543	1.460171
74	1464705573259604	1.480173
75	1464705573260503	1.500171
76	1464705573455899	1.520169
77	1464705573457059	1.540136
78	1464705573458052	1.560185
79	1464705573459102	1.580198
80	1464705573460226	1.600197
81	1464705573461261	1.620207
82	1464705573462312	1.640217
83	1464705573463361	1.660217
84	1464705573464515	1.680181
85	1464705573465439	1.700125
86	1464705573660743	1.720141
87	1464705573661820	1.740167
88	1464705573662904	1.760173
89	1464705573664027	1.780175
90	1464705573665015	1.800172
91	1464705573666003	1.820111
92	1464705573666992	1.840133
93	1464705573668121	1.860173
94	1464705573669175	1.880177
95	1464705573670039	1.900170
96	1464705573865586	1.920170
97	1464705573866606	1.940172
98	1464705573867663	1.960171
99	1464705573868649	1.980127
100	1464705573869693	2.000168
101	1464705573870857	2.020110
102	1464705573871976	2.040193
103	1464705573873039	2.060224
104	1464705573873994	2.080226
105	1464705573874906	2.100199
106	1464705574070389	2.120115
107	1464705574071507	2.140169
108	1464705574072443	2.160175
109	1464705574073556	2.180175
110	1464705574074574	2.200172
111	1464705574075699	2.220130
112	1464705574076724	2.240198
113	1464705574077774	2.260118
114	1464705574078821	2.280175
115	1464705574079895	2.300176
117	1464705574275124	2.340171
118	1464705574276241	2.360171
119	1464705574277329	2.380175
120	1464705574278357	2.400171
121	1464705574279505	2.420120
122	1464705574280565	2.440143
123	1464705574281616	2.460156
124	1464705574282574	2.480170
125	1464705574283664	2.500173
126	1464705574284580	2.520171
127	1464705574480526	2.540171
128	1464705574481085	2.560139
129	1464705574482152	2.580173
130	1464705574483100	2.600172
131	1464705574484238	2.620174
132	1464705574485359	2.640173
133	1464705574486448	2.660173
134	1464705574487605	2.680174
135	1464705574488598	2.700171
136	1464705574489387	2.720112
137	1464705574684798	2.740149
138	1464705574685816	2.760086
139	1464705574686788	2.780167
140	1464705574687901	2.800171
141	1464705574688893	2.820171
142	1464705574689880	2.840171
143	1464705574690916	2.860173
144	1464705574692025	2.880173
145	1464705574693109	2.900171
146	1464705574694160	2.920177
147	1464705574695136	2.940182
148	1464705574889614	2.960171
149	1464705574890692	2.980173
158	1464705575094389	3.160165
159	1464705575095488	3.180172
160	1464705575096566	3.200172
161	1464705575097655	3.220116
162	1464705575098671	3.240205
163	1464705575099763	3.260115
164	1464705575100846	3.280101
165	1464705575101883	3.300168
166	1464705575103004	3.320172
167	1464705575104019	3.340172
168	1464705575299284	3.360125
169	1464705575300336	3.380173
170	1464705575301392	3.400172
171	1464705575302480	3.420092
172	1464705575303599	3.440121
173	1464705575304655	3.460181
174	1464705575305775	3.480173
175	1464705575306759	3.500171
176	1464705575307842	3.520169
177	1464705575308758	3.540171
178	1464705575503994	3.560123
179	1464705575505013	3.580116
180	1464705575506103	3.600155
181	1464705575507182	3.620171
182	1464705575508278	3.640173
183	1464705575509398	3.660172
184	1464705575510417	3.680172
185	1464705575511439	3.700174
186	1464705575512508	3.720093
187	1464705575513408	3.740135
188	1464705575708762	3.760117
189	1464705575709749	3.780162
190	1464705575710737	3.800172
191	1464705575711825	3.820172
192	1464705575712919	3.840171
193	1464705575714040	3.860124
194	1464705575715086	3.880166
195	1464705575716111	3.900125
196	1464705575717164	3.920171
197	1464705575718317	3.940173
198	1464705575719224	3.960091
199	1464705575913603	3.980161
200	1464705575914623	4.000135
201	1464705575915712	4.020172
202	1464705575916800	4.040172
203	1464705575917792	4.060172
204	1464705575918875	4.080171
205	1464705575919891	4.100173
206	1464705575920919	4.120171
207	1464705575922040	4.140172
208	1464705575922945	4.160172
209	1464705576118326	4.180172
210	1464705576119293	4.200171
211	1464705576120399	4.220100
212	1464705576121414	4.240141
213	1464705576122545	4.260172
214	1464705576123666	4.280171
215	1464705576124776	4.300172
216	1464705576125861	4.320172
217	1464705576126930	4.340172
218	1464705576127907	4.360170
219	1464705576323091	4.380124
220	1464705576324120	4.400172
221	1464705576325172	4.420171
222	1464705576326264	4.440121
223	1464705576327228	4.460167
224	1464705576328345	4.480175
225	1464705576329468	4.500173
226	1464705576330457	4.520172
227	1464705576331535	4.540171
228	1464705576332563	4.560172
229	1464705576528039	4.580150
230	1464705576529155	4.600163
240	1464705576732807	4.800172
241	1464705576733794	4.820191
242	1464705576734907	4.840207
243	1464705576736032	4.860209
244	1464705576737057	4.880211
245	1464705576738044	4.900211
246	1464705576739097	4.920209
247	1464705576740192	4.940193
250	1464705576938432	5.000126
251	1464705576939373	5.020166
252	1464705576940447	5.040187
253	1464705576941500	5.060197
254	1464705576942454	5.080198
255	1464705576943481	5.100199
256	1464705576944618	5.120197
257	1464705576945611	5.140196
258	1464705576946564	5.160138
259	1464705576947365	5.180192
260	1464705577142385	5.200133
261	1464705577144621	5.220087
263	1464705577145679	5.260172
264	1464705577146634	5.280172
265	1464705577147760	5.300136
266	1464705577148817	5.320173
267	1464705577149801	5.340171
268	1464705577150881	5.360171
269	1464705577151748	5.380172
270	1464705577347177	5.400119
271	1464705577349071	5.420161
281	1464705577552055	5.620170
282	1464705577553293	5.640173
283	1464705577554217	5.660171
284	1464705577555135	5.680172
285	1464705577556144	5.700175
286	1464705577557262	5.720123
287	1464705577558313	5.740113
288	1464705577559318	5.760180
289	1464705577560295	5.780172
290	1464705577561172	5.800129
291	1464705577756898	5.820173
292	1464705577757951	5.840171
293	1464705577758906	5.860171
294	1464705577759967	5.880136
295	1464705577761055	5.900135
296	1464705577762143	5.920171
297	1464705577763168	5.940172
298	1464705577764322	5.960169
299	1464705577765442	5.980172
300	1464705577766207	6.000174
301	1464705577961672	6.020170
302	1464705577962785	6.040172
303	1464705577963880	6.060171
304	1464705577964871	6.080174
305	1464705577965897	6.100172
306	1464705577966912	6.120172
307	1464705577967966	6.140094
308	1464705577969004	6.160169
309	1464705577969740	6.180174
310	1464705577970945	6.200173
311	1464705578166473	6.220111
312	1464705578167374	6.240176
313	1464705578168553	6.260174
314	1464705578169604	6.280137
315	1464705578170606	6.300174
322	1464705578371309	6.440171
323	1464705578372291	6.460092
324	1464705578373355	6.480170
325	1464705578374292	6.500175
326	1464705578375379	6.520193
327	1464705578376431	6.540203
328	1464705578377520	6.560188
329	1464705578378601	6.580191
330	1464705578379729	6.600160
331	1464705578380654	6.620204
332	1464705578576010	6.640177
333	1464705578577095	6.660177
334	1464705578578179	6.680178
342	1464705578780946	6.840125
343	1464705578781967	6.860198
344	1464705578782986	6.880139
345	1464705578784108	6.900174
346	1464705578785100	6.920173
347	1464705578786155	6.940172
348	1464705578787120	6.960172
349	1464705578788133	6.980174
350	1464705578789218	7.000173
351	1464705578790074	7.020137
352	1464705578985574	7.040136
353	1464705578986896	7.060174
354	1464705578988053	7.080174
355	1464705578989172	7.100174
356	1464705578990193	7.120171
357	1464705578991105	7.140172
358	1464705578992192	7.160173
359	1464705578993264	7.180119
360	1464705578994283	7.200169
361	1464705578995052	7.220129
362	1464705579190435	7.240194
363	1464705579191362	7.260170
364	1464705579192437	7.280173
365	1464705579193469	7.300174
366	1464705579194521	7.320123
367	1464705579195614	7.340169
368	1464705579196670	7.360110
369	1464705579197730	7.380172
370	1464705579198781	7.400173
371	1464705579199901	7.420171
372	1464705579200801	7.440170
373	1464705579395132	7.460124
374	1464705579396216	7.480125
375	1464705579397412	7.500173
376	1464705579398402	7.520123
377	1464705579399422	7.540171
378	1464705579400636	7.560172
379	1464705579401723	7.580173
380	1464705579402677	7.600175
381	1464705579403869	7.620172
382	1464705579404664	7.640171
383	1464705579600138	7.660188
384	1464705579601184	7.680206
385	1464705579602234	7.700203
386	1464705579603252	7.720124
387	1464705579604326	7.740137
393	1464705579804870	7.860188
394	1464705579805915	7.880154
395	1464705579806966	7.900120
396	1464705579808124	7.920168
397	1464705579809241	7.940171
398	1464705579810195	7.960136
399	1464705579811141	7.980174
400	1464705579812131	8.000175
401	1464705579813297	8.020172
402	1464705579814314	8.040139
403	1464705579815323	8.060163
404	1464705580009592	8.080206
405	1464705580010609	8.100140
406	1464705580011678	8.120175
407	1464705580012946	8.140173
408	1464705580013902	8.160173
409	1464705580014963	8.180164
410	1464705580015989	8.200227
411	1464705580017046	8.220165
412	1464705580017999	8.240168
413	1464705580018835	8.260123
414	1464705580214564	8.280168
415	1464705580215703	8.300176
416	1464705580216712	8.320175
417	1464705580217766	8.340176
418	1464705580218778	8.360175
419	1464705580219816	8.380177
420	1464705580220840	8.400178
421	1464705580221728	8.420176
422	1464705580222848	8.440175
423	1464705580223655	8.460203
424	1464705580419833	8.480128
425	1464705580420885	8.500174
426	1464705580422007	8.520175
427	1464705580422991	8.540172
428	1464705580424039	8.560172
429	1464705580425095	8.580172
430	1464705580426175	8.600172
431	1464705580427135	8.620125
432	1464705580428126	8.640168
433	1464705580429150	8.660187
434	1464705580623994	8.680186
435	1464705580625044	8.700114
436	1464705580626100	8.720186
437	1464705580627025	8.740289
438	1464705580628244	8.760122
439	1464705580629300	8.780170
440	1464705580630288	8.800173
441	1464705580631312	8.820174
442	1464705580632420	8.840170
443	1464705580633210	8.860172
444	1464705580828857	8.880125
445	1464705580829941	8.900116
446	1464705580830961	8.920169
447	1464705580831988	8.940172
455	1464705581033663	9.100172
456	1464705581034587	9.120172
457	1464705581035607	9.140201
458	1464705581036728	9.160173
459	1464705581037721	9.180174
460	1464705581038772	9.200095
461	1464705581039900	9.220131
462	1464705581040920	9.240126
463	1464705581041877	9.260173
464	1464705581042655	9.280181
465	1464705581238387	9.300176
466	1464705581239480	9.320172
467	1464705581240468	9.340138
468	1464705581241491	9.360180
469	1464705581242478	9.380180
470	1464705581243539	9.400180
471	1464705581244564	9.420179
472	1464705581245684	9.440179
473	1464705581246765	9.461236
474	1464705581247668	9.480162
475	1464705581443311	9.500122
476	1464705581444301	9.520124
477	1464705581445292	9.540170
478	1464705581446308	9.560172
479	1464705581447296	9.580174
480	1464705581448367	9.600172
481	1464705581449390	9.620172
482	1464705581450315	9.640172
483	1464705581451292	9.660173
484	1464705581452139	9.680174
485	1464705581648044	9.700126
486	1464705581649127	9.720101
487	1464705581650183	9.740120
488	1464705581651283	9.760109
489	1464705581652337	9.780101
490	1464705581653381	9.800115
491	1464705581654469	9.820123
492	1464705581655494	9.840171
493	1464705581656406	9.860173
494	1464705581657606	9.880173
495	1464705581658534	9.900119
496	1464705581852872	9.920110
497	1464705581853956	9.940168
498	1464705581855007	9.960171
499	1464705581856045	9.980172
500	1464705581857184	10.000174
501	1464705581858244	10.020172
502	1464705581859201	10.040173
503	1464705581860485	10.060138
504	1464705581861541	10.080171
505	1464705581862373	10.100172
506	1464705582057642	10.120172
507	1464705582058597	10.140173
508	1464705582059753	10.160172
509	1464705582060808	10.180173
510	1464705582061832	10.200172
511	1464705582062917	10.220129
512	1464705582064009	10.240159
513	1464705582065056	10.260169
514	1464705582066050	10.280175
515	1464705582066959	10.300139
516	1464705582262474	10.320171
517	1464705582263625	10.340138
519	1464705582265638	10.380173
520	1464705582266637	10.400175
521	1464705582267786	10.420174
522	1464705582268806	10.440135
523	1464705582269762	10.460171
524	1464705582270753	10.480172
525	1464705582271378	10.500209
526	1464705582467234	10.520204
527	1464705582468231	10.540195
528	1464705582469280	10.560174
529	1464705582470111	10.580174
530	1464705582471475	10.600175
531	1464705582472648	10.620174
532	1464705582473624	10.640120
533	1464705582474681	10.660171
534	1464705582475638	10.680180
535	1464705582476764	10.700178
536	1464705582477756	10.720115
537	1464705582671992	10.740146
538	1464705582673096	10.760179
539	1464705582674151	10.780127
540	1464705582675081	10.800169
541	1464705582676200	10.820173
542	1464705582677192	10.840171
543	1464705582678211	10.860170
544	1464705582679226	10.880171
545	1464705582680324	10.900172
546	1464705582681182	10.920102
547	1464705582876947	10.940136
548	1464705582877961	10.960136
549	1464705582878954	10.980172
550	1464705582880028	11.000171
551	1464705582881116	11.020174
552	1464705582882243	11.040172
558	1464705583081603	11.160194
559	1464705583082621	11.180192
560	1464705583083811	11.200193
561	1464705583084837	11.220124
562	1464705583085855	11.240185
563	1464705583086907	11.260178
564	1464705583087979	11.280178
565	1464705583089121	11.300179
566	1464705583089953	11.320179
567	1464705583286579	11.340131
568	1464705583287688	11.360114
569	1464705583288746	11.380199
570	1464705583289736	11.400172
571	1464705583290659	11.420171
572	1464705583291660	11.440172
573	1464705583292760	11.460172
574	1464705583293778	11.480173
575	1464705583294762	11.500124
576	1464705583295793	11.520169
577	1464705583296568	11.540124
578	1464705583491202	11.560182
579	1464705583492309	11.580195
580	1464705583493264	11.600195
581	1464705583494257	11.620215
582	1464705583495100	11.640200
583	1464705583496338	11.660235
584	1464705583497462	11.680235
585	1464705583498454	11.700238
586	1464705583499927	11.720168
587	1464705583500754	11.740149
588	1464705583695995	11.760162
589	1464705583697081	11.780170
598	1464705583900697	11.960169
599	1464705583901868	11.980204
600	1464705583902854	12.000243
601	1464705583903881	12.020242
602	1464705583904999	12.040238
603	1464705583906088	12.060236
604	1464705583907139	12.080154
605	1464705583908329	12.100177
606	1464705583909417	12.120180
