rPacketNo	rPacketTime	rPacketTimeDouble
0	1464777335052564	0.000000
1	1464777335089362	0.020135
2	1464777335126122	0.040236
3	1464777335165448	0.060177
4	1464777335203304	0.080179
5	1464777335242380	0.100179
6	1464777335279914	0.120181
7	1464777335317897	0.140178
8	1464777335356873	0.160176
9	1464777335394854	0.180124
10	1464777335432477	0.200174
11	1464777335472102	0.220179
12	1464777335511175	0.240177
13	1464777335549708	0.260177
14	1464777335588070	0.280177
15	1464777335626950	0.300178
16	1464777335667847	0.320180
17	1464777335705159	0.340176
18	1464777335744616	0.360177
19	1464777335781387	0.380176
20	1464777335819562	0.400176
22	1464777336087237	0.440175
23	1464777336123915	0.460177
24	1464777336163876	0.480138
25	1464777336198662	0.500178
26	1464777336234885	0.520177
27	1464777336273028	0.540115
28	1464777336311594	0.560136
29	1464777336348168	0.580176
30	1464777336386343	0.600177
31	1464777336422771	0.620181
32	1464777336460933	0.640177
33	1464777336498888	0.660098
34	1464777336665301	0.680179
35	1464777336704150	0.700180
36	1464777336744635	0.720143
37	1464777336784597	0.740141
38	1464777336820854	0.760176
39	1464777336856941	0.780176
45	1464777337115368	0.900179
46	1464777337153263	0.920179
47	1464777337197269	0.940176
48	1464777337235208	0.960178
49	1464777337274089	0.980178
50	1464777337312428	1.000178
51	1464777337350475	1.020181
52	1464777337388778	1.040177
53	1464777337425000	1.060178
55	1464777337520683	1.100179
56	1464777337557333	1.120181
59	1464777337738137	1.180177
60	1464777337775152	1.200177
61	1464777337813519	1.220179
62	1464777337849905	1.240178
63	1464777337886961	1.260176
64	1464777337925146	1.280179
65	1464777337961430	1.300176
70	1464777338157691	1.400178
71	1464777338197050	1.420200
72	1464777338237950	1.440210
73	1464777338275940	1.460179
74	1464777338316891	1.480178
75	1464777338356258	1.500179
76	1464777338392845	1.520179
77	1464777338432146	1.540177
78	1464777338470889	1.560207
79	1464777338513063	1.580245
80	1464777338552020	1.600249
81	1464777338592189	1.620247
82	1464777338633823	1.640249
83	1464777338673374	1.660167
88	1464777339070595	1.760175
89	1464777339108321	1.780180
90	1464777339147938	1.800177
91	1464777339187365	1.820178
92	1464777339228391	1.840178
93	1464777339267468	1.860179
94	1464777339307494	1.880177
95	1464777339347367	1.900179
96	1464777339387334	1.920178
97	1464777339429799	1.940178
98	1464777339467141	1.960179
99	1464777339504487	1.980177
100	1464777339545284	2.000181
101	1464777339584519	2.020181
102	1464777339624770	2.040183
103	1464777339667687	2.060177
104	1464777339707017	2.080178
105	1464777339746569	2.100179
106	1464777339784715	2.120181
107	1464777339824811	2.140177
108	1464777339868009	2.160176
109	1464777339906697	2.180178
110	1464777339946602	2.200205
