sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1464777334876680	0.000000	50	4200
1	1464777334896815	0.020135	50	4200
2	1464777334916916	0.040236	50	4200
3	1464777334936857	0.060177	50	4200
4	1464777334956859	0.080179	50	4200
5	1464777334976859	0.100179	50	4200
6	1464777334996861	0.120181	50	4200
7	1464777335016858	0.140178	50	4200
8	1464777335036856	0.160176	50	4200
9	1464777335056804	0.180124	50	4200
10	1464777335076854	0.200174	50	4200
11	1464777335096859	0.220179	50	4200
12	1464777335116857	0.240177	50	4200
13	1464777335136857	0.260177	50	4200
14	1464777335156857	0.280177	50	4200
15	1464777335176858	0.300178	50	4200
16	1464777335196860	0.320180	50	4200
17	1464777335216856	0.340176	50	4200
18	1464777335236857	0.360177	50	4200
19	1464777335256856	0.380176	50	4200
20	1464777335276856	0.400176	50	4200
21	1464777335296859	0.420179	50	4200
22	1464777335316855	0.440175	50	4200
23	1464777335336857	0.460177	50	4200
24	1464777335356818	0.480138	50	4200
25	1464777335376858	0.500178	50	4200
26	1464777335396857	0.520177	50	4200
27	1464777335416795	0.540115	50	4200
28	1464777335436816	0.560136	50	4200
29	1464777335456856	0.580176	50	4200
30	1464777335476857	0.600177	50	4200
31	1464777335496861	0.620181	50	4200
32	1464777335516857	0.640177	50	4200
33	1464777335536778	0.660098	50	4200
34	1464777335556859	0.680179	50	4200
35	1464777335576860	0.700180	50	4200
36	1464777335596823	0.720143	50	4200
37	1464777335616821	0.740141	50	4200
38	1464777335636856	0.760176	50	4200
39	1464777335656856	0.780176	50	4200
40	1464777335676858	0.800178	50	4200
41	1464777335696858	0.820178	50	4200
42	1464777335716858	0.840178	50	4200
43	1464777335736858	0.860178	50	4200
44	1464777335756857	0.880177	50	4200
45	1464777335776859	0.900179	50	4200
46	1464777335796859	0.920179	50	4200
47	1464777335816856	0.940176	50	4200
48	1464777335836858	0.960178	50	4200
49	1464777335856858	0.980178	50	4200
50	1464777335876858	1.000178	50	4200
51	1464777335896861	1.020181	50	4200
52	1464777335916857	1.040177	50	4200
53	1464777335936858	1.060178	50	4200
54	1464777335956857	1.080177	50	4200
55	1464777335976859	1.100179	50	4200
56	1464777335996861	1.120181	50	4200
57	1464777336016858	1.140178	50	4200
58	1464777336036857	1.160177	50	4200
59	1464777336056857	1.180177	50	4200
60	1464777336076857	1.200177	50	4200
61	1464777336096859	1.220179	50	4200
62	1464777336116858	1.240178	50	4200
63	1464777336136856	1.260176	50	4200
64	1464777336156859	1.280179	50	4200
65	1464777336176856	1.300176	50	4200
66	1464777336196859	1.320179	50	4200
67	1464777336216857	1.340177	50	4200
68	1464777336236857	1.360177	50	4200
69	1464777336256857	1.380177	50	4200
70	1464777336276858	1.400178	50	4200
71	1464777336296880	1.420200	50	4200
72	1464777336316890	1.440210	50	4200
73	1464777336336859	1.460179	50	4200
74	1464777336356858	1.480178	50	4200
75	1464777336376859	1.500179	50	4200
76	1464777336396859	1.520179	50	4200
77	1464777336416857	1.540177	50	4200
78	1464777336436887	1.560207	50	4200
79	1464777336456925	1.580245	50	4200
80	1464777336476929	1.600249	50	4200
81	1464777336496927	1.620247	50	4200
82	1464777336516929	1.640249	50	4200
83	1464777336536847	1.660167	50	4200
84	1464777336556855	1.680175	50	4200
85	1464777336576858	1.700178	50	4200
86	1464777336596860	1.720180	50	4200
87	1464777336616856	1.740176	50	4200
88	1464777336636855	1.760175	50	4200
89	1464777336656860	1.780180	50	4200
90	1464777336676857	1.800177	50	4200
91	1464777336696858	1.820178	50	4200
92	1464777336716858	1.840178	50	4200
93	1464777336736859	1.860179	50	4200
94	1464777336756857	1.880177	50	4200
95	1464777336776859	1.900179	50	4200
96	1464777336796858	1.920178	50	4200
97	1464777336816858	1.940178	50	4200
98	1464777336836859	1.960179	50	4200
99	1464777336856857	1.980177	50	4200
100	1464777336876861	2.000181	50	4200
101	1464777336896861	2.020181	50	4200
102	1464777336916863	2.040183	50	4200
103	1464777336936857	2.060177	50	4200
104	1464777336956858	2.080178	50	4200
105	1464777336976859	2.100179	50	4200
106	1464777336996861	2.120181	50	4200
107	1464777337016857	2.140177	50	4200
108	1464777337036856	2.160176	50	4200
109	1464777337056858	2.180178	50	4200
110	1464777337076885	2.200205	50	4200
111	1464777337096860	2.220180	50	4200
112	1464777337116858	2.240178	50	4200
113	1464777337136859	2.260179	50	4200
114	1464777337156856	2.280176	50	4200
115	1464777337176859	2.300179	50	4200
116	1464777337196860	2.320180	50	4200
117	1464777337216858	2.340178	50	4200
118	1464777337236857	2.360177	50	4200
119	1464777337256858	2.380178	50	4200
120	1464777337276859	2.400179	50	4200
121	1464777337296808	2.420128	50	4200
122	1464777337316855	2.440175	50	4200
123	1464777337336856	2.460176	50	4200
124	1464777337356857	2.480177	50	4200
125	1464777337376857	2.500177	50	4200
126	1464777337396825	2.520145	50	4200
127	1464777337416858	2.540178	50	4200
128	1464777337436857	2.560177	50	4200
129	1464777337456858	2.580178	50	4200
130	1464777337476857	2.600177	50	4200
131	1464777337496859	2.620179	50	4200
132	1464777337516857	2.640177	50	4200
133	1464777337536789	2.660109	50	4200
134	1464777337556892	2.680212	50	4200
135	1464777337576862	2.700182	50	4200
136	1464777337596858	2.720178	50	4200
137	1464777337616780	2.740100	50	4200
138	1464777337636858	2.760178	50	4200
139	1464777337656858	2.780178	50	4200
140	1464777337676861	2.800181	50	4200
141	1464777337696860	2.820180	50	4200
142	1464777337716856	2.840176	50	4200
143	1464777337736857	2.860177	50	4200
144	1464777337756858	2.880178	50	4200
145	1464777337776857	2.900177	50	4200
146	1464777337796860	2.920180	50	4200
147	1464777337816856	2.940176	50	4200
148	1464777337836857	2.960177	50	4200
149	1464777337856858	2.980178	50	4200
150	1464777337876858	3.000178	50	4200
151	1464777337896859	3.020179	50	4200
152	1464777337916858	3.040178	50	4200
153	1464777337936856	3.060176	50	4200
154	1464777337956859	3.080179	50	4200
155	1464777337976855	3.100175	50	4200
156	1464777337996860	3.120180	50	4200
157	1464777338016857	3.140177	50	4200
158	1464777338036804	3.160124	50	4200
159	1464777338056854	3.180174	50	4200
160	1464777338076860	3.200180	50	4200
161	1464777338096860	3.220180	50	4200
162	1464777338116857	3.240177	50	4200
163	1464777338136859	3.260179	50	4200
164	1464777338156857	3.280177	50	4200
165	1464777338176858	3.300178	50	4200
166	1464777338196859	3.320179	50	4200
167	1464777338216859	3.340179	50	4200
168	1464777338236857	3.360177	50	4200
169	1464777338256857	3.380177	50	4200
170	1464777338276810	3.400130	50	4200
171	1464777338296872	3.420192	50	4200
172	1464777338316864	3.440184	50	4200
173	1464777338336902	3.460222	50	4200
174	1464777338356829	3.480149	50	4200
175	1464777338376865	3.500185	50	4200
176	1464777338396896	3.520216	50	4200
177	1464777338416928	3.540248	50	4200
178	1464777338436926	3.560246	50	4200
179	1464777338456901	3.580221	50	4200
180	1464777338476867	3.600187	50	4200
181	1464777338496868	3.620188	50	4200
182	1464777338516892	3.640212	50	4200
183	1464777338536844	3.660164	50	4200
184	1464777338556816	3.680136	50	4200
185	1464777338576859	3.700179	50	4200
186	1464777338596857	3.720177	50	4200
187	1464777338616859	3.740179	50	4200
188	1464777338636855	3.760175	50	4200
189	1464777338656856	3.780176	50	4200
190	1464777338676857	3.800177	50	4200
191	1464777338696859	3.820179	50	4200
192	1464777338716858	3.840178	50	4200
193	1464777338736857	3.860177	50	4200
194	1464777338756859	3.880179	50	4200
195	1464777338776860	3.900180	50	4200
196	1464777338796861	3.920181	50	4200
197	1464777338816857	3.940177	50	4200
198	1464777338836859	3.960179	50	4200
199	1464777338856858	3.980178	50	4200
200	1464777338876858	4.000178	50	4200
201	1464777338896861	4.020181	50	4200
202	1464777338916858	4.040178	50	4200
203	1464777338936857	4.060177	50	4200
204	1464777338956859	4.080179	50	4200
205	1464777338976859	4.100179	50	4200
206	1464777338996860	4.120180	50	4200
207	1464777339016858	4.140178	50	4200
208	1464777339036854	4.160174	50	4200
209	1464777339056856	4.180176	50	4200
210	1464777339076857	4.200177	50	4200
211	1464777339096782	4.220102	50	4200
212	1464777339116818	4.240138	50	4200
213	1464777339136856	4.260176	50	4200
214	1464777339156856	4.280176	50	4200
215	1464777339176858	4.300178	50	4200
216	1464777339196859	4.320179	50	4200
217	1464777339216893	4.340213	50	4200
218	1464777339236823	4.360143	50	4200
219	1464777339256856	4.380176	50	4200
220	1464777339276858	4.400178	50	4200
221	1464777339296810	4.420130	50	4200
222	1464777339316853	4.440173	50	4200
223	1464777339336853	4.460173	50	4200
224	1464777339356856	4.480176	50	4200
225	1464777339376857	4.500177	50	4200
226	1464777339396859	4.520179	50	4200
227	1464777339416804	4.540124	50	4200
228	1464777339436853	4.560173	50	4200
229	1464777339456856	4.580176	50	4200
230	1464777339476858	4.600178	50	4200
231	1464777339496861	4.620181	50	4200
232	1464777339516856	4.640176	50	4200
233	1464777339536812	4.660132	50	4200
234	1464777339556853	4.680173	50	4200
235	1464777339576858	4.700178	50	4200
236	1464777339596859	4.720179	50	4200
237	1464777339616856	4.740176	50	4200
238	1464777339636855	4.760175	50	4200
239	1464777339656855	4.780175	50	4200
240	1464777339676857	4.800177	50	4200
241	1464777339696861	4.820181	50	4200
242	1464777339716856	4.840176	50	4200
243	1464777339736857	4.860177	50	4200
244	1464777339756856	4.880176	50	4200
245	1464777339776856	4.900176	50	4200
246	1464777339796859	4.920179	50	4200
247	1464777339816858	4.940178	50	4200
248	1464777339836857	4.960177	50	4200
249	1464777339856856	4.980176	50	4200
250	1464777339876858	5.000178	50	4200
251	1464777339896856	5.020176	50	4200
252	1464777339916858	5.040178	50	4200
253	1464777339936855	5.060175	50	4200
254	1464777339956855	5.080175	50	4200
255	1464777339976866	5.100186	50	4200
256	1464777339996860	5.120180	50	4200
257	1464777340016811	5.140131	50	4200
258	1464777340036780	5.160100	50	4200
259	1464777340056862	5.180182	50	4200
260	1464777340076859	5.200179	50	4200
261	1464777340096864	5.220184	50	4200
262	1464777340116856	5.240176	50	4200
263	1464777340136855	5.260175	50	4200
264	1464777340156858	5.280178	50	4200
265	1464777340176857	5.300177	50	4200
266	1464777340196856	5.320176	50	4200
267	1464777340216854	5.340174	50	4200
268	1464777340236859	5.360179	50	4200
269	1464777340256856	5.380176	50	4200
270	1464777340276852	5.400172	50	4200
271	1464777340296858	5.420178	50	4200
272	1464777340316812	5.440132	50	4200
273	1464777340336838	5.460158	50	4200
274	1464777340356857	5.480177	50	4200
275	1464777340376859	5.500179	50	4200
276	1464777340396857	5.520177	50	4200
277	1464777340416858	5.540178	50	4200
278	1464777340436879	5.560199	50	4200
279	1464777340456907	5.580227	50	4200
280	1464777340476905	5.600225	50	4200
281	1464777340496903	5.620223	50	4200
282	1464777340516905	5.640225	50	4200
283	1464777340536881	5.660201	50	4200
284	1464777340556855	5.680175	50	4200
285	1464777340576807	5.700127	50	4200
286	1464777340596853	5.720173	50	4200
287	1464777340616857	5.740177	50	4200
288	1464777340636872	5.760192	50	4200
289	1464777340656884	5.780204	50	4200
290	1464777340676856	5.800176	50	4200
291	1464777340696859	5.820179	50	4200
292	1464777340716857	5.840177	50	4200
293	1464777340736858	5.860178	50	4200
294	1464777340756856	5.880176	50	4200
295	1464777340776778	5.900098	50	4200
296	1464777340796850	5.920170	50	4200
297	1464777340816856	5.940176	50	4200
298	1464777340836855	5.960175	50	4200
299	1464777340856857	5.980177	50	4200
300	1464777340876779	6.000099	50	4200
301	1464777340896851	6.020171	50	4200
302	1464777340916860	6.040180	50	4200
303	1464777340936821	6.060141	50	4200
304	1464777340956860	6.080180	50	4200
305	1464777340976855	6.100175	50	4200
306	1464777340996857	6.120177	50	4200
307	1464777341016861	6.140181	50	4200
308	1464777341036855	6.160175	50	4200
309	1464777341056857	6.180177	50	4200
310	1464777341076855	6.200175	50	4200
311	1464777341096858	6.220178	50	4200
312	1464777341116816	6.240136	50	4200
313	1464777341136855	6.260175	50	4200
314	1464777341156855	6.280175	50	4200
315	1464777341176858	6.300178	50	4200
316	1464777341196858	6.320178	50	4200
317	1464777341216865	6.340185	50	4200
318	1464777341236860	6.360180	50	4200
319	1464777341256820	6.380140	50	4200
320	1464777341276822	6.400142	50	4200
321	1464777341296807	6.420127	50	4200
322	1464777341316847	6.440167	50	4200
323	1464777341336853	6.460173	50	4200
324	1464777341356857	6.480177	50	4200
325	1464777341376900	6.500220	50	4200
326	1464777341396858	6.520178	50	4200
327	1464777341416858	6.540178	50	4200
328	1464777341436857	6.560177	50	4200
329	1464777341456856	6.580176	50	4200
330	1464777341476857	6.600177	50	4200
331	1464777341496857	6.620177	50	4200
332	1464777341516859	6.640179	50	4200
333	1464777341536800	6.660120	50	4200
334	1464777341556880	6.680200	50	4200
335	1464777341576857	6.700177	50	4200
336	1464777341596859	6.720179	50	4200
337	1464777341616859	6.740179	50	4200
338	1464777341636859	6.760179	50	4200
339	1464777341656856	6.780176	50	4200
340	1464777341676858	6.800178	50	4200
341	1464777341696855	6.820175	50	4200
342	1464777341716859	6.840179	50	4200
343	1464777341736856	6.860176	50	4200
