rPacketNo	rPacketTime	rPacketTimeDouble
0	1463670595908669	0.000000
11	1463670596119359	0.220113
21	1463670596319116	0.420123
22	1463670596337321	0.440116
23	1463670596356305	0.460103
32	1463670596532974	0.640104
33	1463670596550138	0.660136
34	1463670596571084	0.680147
38	1463670596734206	0.760174
39	1463670596752757	0.780130
81	1463670597651277	1.620189
86	1463670597747534	1.720104
90	1463670597821435	1.800176
97	1463670597977524	1.940142
100	1463670598035068	2.000172
102	1463670598075567	2.040172
104	1463670598113100	2.080168
105	1463670598131478	2.100154
106	1463670598151760	2.120175
107	1463670598171053	2.140141
110	1463670598227534	2.200164
111	1463670598368178	2.220174
123	1463670598594877	2.460172
126	1463670598651452	2.520125
147	1463670599067536	2.940173
169	1463670599559345	3.380121
171	1463670599597791	3.420093
181	1463670599800380	3.620083
182	1463670599818581	3.640125
183	1463670599837364	3.660114
186	1463670599897346	3.720153
187	1463670599915879	3.740137
199	1463670600209286	3.980115
202	1463670600264407	4.040116
215	1463670600519934	4.300133
219	1463670600624803	4.380116
221	1463670600663466	4.420114
225	1463670600740597	4.500171
235	1463670601029322	4.700114
242	1463670601166175	4.840091
243	1463670601185402	4.860173
244	1463670601203776	4.880144
245	1463670601224276	4.900114
246	1463670601243328	4.920131
247	1463670601261704	4.940113
248	1463670601280258	4.960132
250	1463670601318107	5.000136
252	1463670601444603	5.040132
263	1463670601658899	5.260111
264	1463670601677244	5.280098
265	1463670601695337	5.300132
266	1463670601713683	5.320177
268	1463670601752274	5.360177
269	1463670601779066	5.380144
270	1463670601797654	5.400178
271	1463670601815899	5.420124
272	1463670601837101	5.440172
273	1463670601855274	5.460151
280	1463670601998353	5.600158
281	1463670602016422	5.620175
282	1463670602034650	5.640161
283	1463670602055508	5.660111
284	1463670602079945	5.680171
285	1463670602098090	5.700111
286	1463670602116400	5.720132
287	1463670602134581	5.740176
288	1463670602154836	5.760176
289	1463670602173237	5.780145
291	1463670602213499	5.820114
292	1463670602232134	5.840168
293	1463670602254009	5.860145
294	1463670602272488	5.880172
295	1463670602292280	5.900130
297	1463670602328711	5.940115
298	1463670602462440	5.960130
299	1463670602481266	5.980134
300	1463670602499564	6.000136
301	1463670602517731	6.020114
302	1463670602536441	6.040135
304	1463670602580340	6.080119
305	1463670602603100	6.100111
306	1463670602621273	6.120164
307	1463670602639563	6.140130
308	1463670602659513	6.160167
309	1463670602678386	6.180156
310	1463670602696239	6.200178
311	1463670602714786	6.220125
312	1463670602733197	6.240126
313	1463670602751336	6.260107
314	1463670602771484	6.280171
315	1463670602789840	6.300139
316	1463670602809392	6.320176
317	1463670602832623	6.340144
319	1463670603064594	6.380174
320	1463670603083544	6.400142
321	1463670603102088	6.420160
322	1463670603120551	6.440180
323	1463670603138789	6.460153
324	1463670603157400	6.480177
326	1463670603199454	6.520119
327	1463670603219119	6.540141
328	1463670603239614	6.560166
329	1463670603258487	6.580140
330	1463670603279161	6.600142
331	1463670603299883	6.620112
332	1463670603318783	6.640171
333	1463670603337227	6.660176
334	1463670603358288	6.680179
335	1463670603378315	6.700111
336	1463670603397850	6.720146
337	1463670603417422	6.740158
338	1463670603437230	6.760091
339	1463670603455649	6.780103
341	1463670603514910	6.820143
342	1463670603550080	6.840125
343	1463670603572970	6.860125
344	1463670603593373	6.880131
345	1463670603613605	6.900129
346	1463670603632700	6.920151
347	1463670603652849	6.940122
348	1463670603671810	6.960129
349	1463670603693251	6.980114
350	1463670603711808	7.000165
351	1463670603730154	7.020113
352	1463670603748352	7.040137
353	1463670603766596	7.060112
354	1463670603786884	7.080171
355	1463670603805173	7.100119
356	1463670603824100	7.120170
357	1463670603842316	7.140112
358	1463670603860425	7.160173
359	1463670603878728	7.180113
361	1463670604100401	7.220101
369	1463670604251020	7.380145
370	1463670604269088	7.400166
371	1463670604287374	
