sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1465207061486588	0.000001	50	2800
1	1465207061506745	0.020158	50	2800
2	1465207061526709	0.040122	50	2800
3	1465207061546743	0.060156	50	2800
4	1465207061566709	0.080122	50	2800
5	1465207061586713	0.100126	50	2800
6	1465207061606747	0.120160	50	2800
7	1465207061626753	0.140166	50	2800
8	1465207061646753	0.160166	50	2800
9	1465207061666713	0.180126	50	2800
10	1465207061686809	0.200222	50	2800
11	1465207061706759	0.220172	50	2800
12	1465207061726758	0.240171	50	2800
13	1465207061746793	0.260206	50	2800
14	1465207061766792	0.280205	50	2800
15	1465207061786793	0.300206	50	2800
16	1465207061806794	0.320207	50	2800
17	1465207061826760	0.340173	50	2800
18	1465207061846792	0.360205	50	2800
19	1465207061866793	0.380206	50	2800
20	1465207061886743	0.400156	50	2800
21	1465207061906795	0.420208	50	2800
22	1465207061926781	0.440194	50	2800
23	1465207061946895	0.460308	50	2800
24	1465207061966899	0.480312	50	2800
25	1465207061986891	0.500304	50	2800
26	1465207062008266	0.521679	50	2800
27	1465207062026756	0.540169	50	2800
28	1465207062046788	0.560201	50	2800
29	1465207062066791	0.580204	50	2800
30	1465207062086757	0.600170	50	2800
31	1465207062106795	0.620208	50	2800
32	1465207062126795	0.640208	50	2800
33	1465207062146792	0.660205	50	2800
34	1465207062166793	0.680206	50	2800
35	1465207062186792	0.700205	50	2800
36	1465207062206794	0.720207	50	2800
37	1465207062226793	0.740206	50	2800
38	1465207062246792	0.760205	50	2800
39	1465207062266791	0.780204	50	2800
40	1465207062286793	0.800206	50	2800
41	1465207062306795	0.820208	50	2800
42	1465207062326795	0.840208	50	2800
43	1465207062346792	0.860205	50	2800
44	1465207062366793	0.880206	50	2800
45	1465207062386793	0.900206	50	2800
46	1465207062406794	0.920207	50	2800
47	1465207062426795	0.940208	50	2800
48	1465207062446793	0.960206	50	2800
49	1465207062466794	0.980207	50	2800
50	1465207062486792	1.000205	50	2800
51	1465207062506793	1.020206	50	2800
52	1465207062526756	1.040169	50	2800
53	1465207062546883	1.060296	50	2800
54	1465207062566789	1.080202	50	2800
55	1465207062586792	1.100205	50	2800
56	1465207062606794	1.120207	50	2800
57	1465207062626794	1.140207	50	2800
58	1465207062646792	1.160205	50	2800
59	1465207062666781	1.180194	50	2800
60	1465207062686887	1.200300	50	2800
61	1465207062706793	1.220206	50	2800
62	1465207062726795	1.240208	50	2800
63	1465207062746792	1.260205	50	2800
64	1465207062766793	1.280206	50	2800
65	1465207062786791	1.300204	50	2800
66	1465207062806792	1.320205	50	2800
67	1465207062826817	1.340230	50	2800
68	1465207062846899	1.360312	50	2800
69	1465207062866901	1.380314	50	2800
70	1465207062886917	1.400330	50	2800
71	1465207062906919	1.420332	50	2800
72	1465207062926919	1.440332	50	2800
73	1465207062946820	1.460233	50	2800
74	1465207062966905	1.480318	50	2800
75	1465207062986918	1.500331	50	2800
76	1465207063006920	1.520333	50	2800
77	1465207063026917	1.540330	50	2800
78	1465207063046853	1.560266	50	2800
79	1465207063066806	1.580219	50	2800
80	1465207063086807	1.600220	50	2800
81	1465207063106808	1.620221	50	2800
82	1465207063126771	1.640184	50	2800
83	1465207063146806	1.660219	50	2800
84	1465207063166805	1.680218	50	2800
85	1465207063186807	1.700220	50	2800
86	1465207063206807	1.720220	50	2800
87	1465207063226807	1.740220	50	2800
88	1465207063246806	1.760219	50	2800
89	1465207063266805	1.780218	50	2800
90	1465207063286808	1.800221	50	2800
91	1465207063306808	1.820221	50	2800
92	1465207063326810	1.840223	50	2800
93	1465207063346808	1.860221	50	2800
94	1465207063366808	1.880221	50	2800
95	1465207063386964	1.900377	50	2800
96	1465207063406768	1.920181	50	2800
97	1465207063426749	1.940162	50	2800
98	1465207063446773	1.960186	50	2800
99	1465207063466719	1.980132	50	2800
100	1465207063486791	2.000204	50	2800
101	1465207063506795	2.020208	50	2800
102	1465207063526759	2.040172	50	2800
103	1465207063546791	2.060204	50	2800
104	1465207063566792	2.080205	50	2800
105	1465207063586791	2.100204	50	2800
106	1465207063606794	2.120207	50	2800
107	1465207063626732	2.140145	50	2800
108	1465207063646784	2.160197	50	2800
109	1465207063666785	2.180198	50	2800
110	1465207063686944	2.200357	50	2800
111	1465207063706794	2.220207	50	2800
112	1465207063726759	2.240172	50	2800
113	1465207063746792	2.260205	50	2800
114	1465207063766792	2.280205	50	2800
115	1465207063786795	2.300208	50	2800
116	1465207063806794	2.320207	50	2800
117	1465207063826756	2.340169	50	2800
118	1465207063846792	2.360205	50	2800
119	1465207063866793	2.380206	50	2800
120	1465207063886793	2.400206	50	2800
121	1465207063906792	2.420205	50	2800
122	1465207063926794	2.440207	50	2800
123	1465207063946792	2.460205	50	2800
124	1465207063966792	2.480205	50	2800
125	1465207063986794	2.500207	50	2800
126	1465207064006803	2.520216	50	2800
127	1465207064026790	2.540203	50	2800
128	1465207064046916	2.560329	50	2800
129	1465207064066852	2.580265	50	2800
130	1465207064086874	2.600287	50	2800
131	1465207064106921	2.620334	50	2800
132	1465207064127010	2.640423	50	2800
133	1465207064146905	2.660318	50	2800
134	1465207064166879	2.680292	50	2800
135	1465207064186915	2.700328	50	2800
136	1465207064206917	2.720330	50	2800
137	1465207064226917	2.740330	50	2800
138	1465207064246850	2.760263	50	2800
139	1465207064267007	2.780420	50	2800
140	1465207064286902	2.800315	50	2800
141	1465207064306878	2.820291	50	2800
142	1465207064326828	2.840241	50	2800
143	1465207064346881	2.860294	50	2800
144	1465207064366919	2.880332	50	2800
145	1465207064386917	2.900330	50	2800
146	1465207064406920	2.920333	50	2800
147	1465207064426918	2.940331	50	2800
148	1465207064446915	2.960328	50	2800
149	1465207064466918	2.980331	50	2800
150	1465207064486916	3.000329	50	2800
151	1465207064506921	3.020334	50	2800
152	1465207064526875	3.040288	50	2800
153	1465207064546874	3.060287	50	2800
154	1465207064566792	3.080205	50	2800
155	1465207064586794	3.100207	50	2800
156	1465207064606746	3.120159	50	2800
157	1465207064626795	3.140208	50	2800
158	1465207064646794	3.160207	50	2800
159	1465207064666754	3.180167	50	2800
160	1465207064686791	3.200204	50	2800
161	1465207064706794	3.220207	50	2800
162	1465207064726795	3.240208	50	2800
163	1465207064746714	3.260127	50	2800
164	1465207064766790	3.280203	50	2800
165	1465207064786793	3.300206	50	2800
166	1465207064806711	3.320124	50	2800
167	1465207064826737	3.340150	50	2800
168	1465207064846746	3.360159	50	2800
169	1465207064866792	3.380205	50	2800
170	1465207064886792	3.400205	50	2800
171	1465207064906794	3.420207	50	2800
172	1465207064926793	3.440206	50	2800
173	1465207064946792	3.460205	50	2800
174	1465207064966791	3.480204	50	2800
175	1465207064986800	3.500213	50	2800
176	1465207065006794	3.520207	50	2800
177	1465207065026757	3.540170	50	2800
178	1465207065046792	3.560205	50	2800
179	1465207065066791	3.580204	50	2800
180	1465207065086744	3.600157	50	2800
181	1465207065106787	3.620200	50	2800
182	1465207065126793	3.640206	50	2800
183	1465207065146793	3.660206	50	2800
184	1465207065166794	3.680207	50	2800
185	1465207065186786	3.700199	50	2800
186	1465207065206744	3.720157	50	2800
187	1465207065226757	3.740170	50	2800
188	1465207065246791	3.760204	50	2800
189	1465207065266792	3.780205	50	2800
190	1465207065286791	3.800204	50	2800
191	1465207065306758	3.820171	50	2800
192	1465207065326794	3.840207	50	2800
193	1465207065346714	3.860127	50	2800
194	1465207065366752	3.880165	50	2800
195	1465207065386792	3.900205	50	2800
196	1465207065406743	3.920156	50	2800
197	1465207065426795	3.940208	50	2800
198	1465207065446743	3.960156	50	2800
199	1465207065466753	3.980166	50	2800
200	1465207065486792	4.000205	50	2800
201	1465207065506797	4.020210	50	2800
202	1465207065526794	4.040207	50	2800
203	1465207065546755	4.060168	50	2800
204	1465207065566756	4.080169	50	2800
205	1465207065586793	4.100206	50	2800
206	1465207065606793	4.120206	50	2800
207	1465207065626795	4.140208	50	2800
208	1465207065646792	4.160205	50	2800
209	1465207065666731	4.180144	50	2800
210	1465207065686751	4.200164	50	2800
211	1465207065706756	4.220169	50	2800
212	1465207065726793	4.240206	50	2800
213	1465207065746791	4.260204	50	2800
214	1465207065766792	4.280205	50	2800
215	1465207065786792	4.300205	50	2800
216	1465207065806750	4.320163	50	2800
217	1465207065826859	4.340272	50	2800
218	1465207065846753	4.360166	50	2800
219	1465207065866794	4.380207	50	2800
220	1465207065886793	4.400206	50	2800
221	1465207065906794	4.420207	50	2800
222	1465207065926745	4.440158	50	2800
223	1465207065946792	4.460205	50	2800
224	1465207065966792	4.480205	50	2800
225	1465207065986793	4.500206	50	2800
226	1465207066006794	4.520207	50	2800
227	1465207066026793	4.540206	50	2800
228	1465207066046792	4.560205	50	2800
229	1465207066066792	4.580205	50	2800
230	1465207066086792	4.600205	50	2800
231	1465207066106742	4.620155	50	2800
232	1465207066126794	4.640207	50	2800
233	1465207066146792	4.660205	50	2800
234	1465207066166792	4.680205	50	2800
235	1465207066186792	4.700205	50	2800
236	1465207066206791	4.720204	50	2800
237	1465207066226793	4.740206	50	2800
238	1465207066246791	4.760204	50	2800
239	1465207066266739	4.780152	50	2800
240	1465207066286782	4.800195	50	2800
241	1465207066306768	4.820181	50	2800
242	1465207066326795	4.840208	50	2800
243	1465207066346792	4.860205	50	2800
244	1465207066366752	4.880165	50	2800
245	1465207066386807	4.900220	50	2800
246	1465207066406920	4.920333	50	2800
247	1465207066426922	4.940335	50	2800
248	1465207066446918	4.960331	50	2800
249	1465207066466845	4.980258	50	2800
250	1465207066486865	5.000278	50	2800
251	1465207066506915	5.020328	50	2800
252	1465207066526851	5.040264	50	2800
253	1465207066546879	5.060292	50	2800
254	1465207066566792	5.080205	50	2800
255	1465207066586792	5.100205	50	2800
256	1465207066606793	5.120206	50	2800
257	1465207066626793	5.140206	50	2800
258	1465207066646791	5.160204	50	2800
259	1465207066666792	5.180205	50	2800
260	1465207066686754	5.200167	50	2800
261	1465207066706794	5.220207	50	2800
262	1465207066726795	5.240208	50	2800
263	1465207066746793	5.260206	50	2800
264	1465207066766791	5.280204	50	2800
265	1465207066786792	5.300205	50	2800
266	1465207066806798	5.320211	50	2800
267	1465207066826755	5.340168	50	2800
268	1465207066846888	5.360301	50	2800
269	1465207066866896	5.380309	50	2800
270	1465207066886899	5.400312	50	2800
271	1465207066906900	5.420313	50	2800
272	1465207066926898	5.440311	50	2800
273	1465207066946889	5.460302	50	2800
274	1465207066966900	5.480313	50	2800
275	1465207066986899	5.500312	50	2800
276	1465207067006899	5.520312	50	2800
277	1465207067026902	5.540315	50	2800
278	1465207067046889	5.560302	50	2800
279	1465207067066808	5.580221	50	2800
280	1465207067086808	5.600221	50	2800
281	1465207067106809	5.620222	50	2800
282	1465207067126809	5.640222	50	2800
283	1465207067146807	5.660220	50	2800
284	1465207067166805	5.680218	50	2800
285	1465207067186808	5.700221	50	2800
286	1465207067206809	5.720222	50	2800
287	1465207067226810	5.740223	50	2800
288	1465207067246807	5.760220	50	2800
289	1465207067266751	5.780164	50	2800
290	1465207067286809	5.800222	50	2800
291	1465207067306809	5.820222	50	2800
292	1465207067326811	5.840224	50	2800
293	1465207067346807	5.860220	50	2800
294	1465207067366778	5.880191	50	2800
295	1465207067386807	5.900220	50	2800
296	1465207067406807	5.920220	50	2800
297	1465207067426810	5.940223	50	2800
298	1465207067446808	5.960221	50	2800
299	1465207067466809	5.980222	50	2800
300	1465207067486806	6.000219	50	2800
301	1465207067506810	6.020223	50	2800
302	1465207067526837	6.040250	50	2800
303	1465207067546920	6.060333	50	2800
304	1465207067566915	6.080328	50	2800
305	1465207067586919	6.100332	50	2800
306	1465207067606920	6.120333	50	2800
307	1465207067626921	6.140334	50	2800
308	1465207067646920	6.160333	50	2800
309	1465207067666893	6.180306	50	2800
310	1465207067686849	6.200262	50	2800
311	1465207067706802	6.220215	50	2800
312	1465207067726797	6.240210	50	2800
313	1465207067746789	6.260202	50	2800
314	1465207067766792	6.280205	50	2800
