sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1464957833151285	0.000000	50	1400
1	1464957833171418	0.020133	50	1400
2	1464957833191426	0.040141	50	1400
3	1464957833211387	0.060102	50	1400
4	1464957833231408	0.080123	50	1400
5	1464957833251411	0.100126	50	1400
6	1464957833271468	0.120183	50	1400
7	1464957833291474	0.140189	50	1400
8	1464957833311473	0.160188	50	1400
9	1464957833331413	0.180128	50	1400
10	1464957833351468	0.200183	50	1400
11	1464957833371476	0.220191	50	1400
12	1464957833391475	0.240190	50	1400
13	1464957833411473	0.260188	50	1400
14	1464957833431473	0.280188	50	1400
15	1464957833451474	0.300189	50	1400
16	1464957833471448	0.320163	50	1400
17	1464957833491465	0.340180	50	1400
18	1464957833511472	0.360187	50	1400
19	1464957833531473	0.380188	50	1400
20	1464957833551473	0.400188	50	1400
21	1464957833571476	0.420191	50	1400
22	1464957833591411	0.440126	50	1400
23	1464957833611461	0.460176	50	1400
24	1464957833631472	0.480187	50	1400
25	1464957833651472	0.500187	50	1400
26	1464957833671414	0.520129	50	1400
27	1464957833691570	0.540285	50	1400
28	1464957833711424	0.560139	50	1400
29	1464957833731472	0.580187	50	1400
30	1464957833751473	0.600188	50	1400
31	1464957833771471	0.620186	50	1400
32	1464957833791476	0.640191	50	1400
33	1464957833811472	0.660187	50	1400
34	1464957833831493	0.680208	50	1400
35	1464957833851536	0.700251	50	1400
36	1464957833871455	0.720170	50	1400
37	1464957833891546	0.740261	50	1400
38	1464957833911429	0.760144	50	1400
39	1464957833931415	0.780130	50	1400
40	1464957833951468	0.800183	50	1400
41	1464957833971415	0.820130	50	1400
42	1464957833991442	0.840157	50	1400
43	1464957834011472	0.860187	50	1400
44	1464957834031413	0.880128	50	1400
45	1464957834051465	0.900180	50	1400
46	1464957834071412	0.920127	50	1400
47	1464957834091468	0.940183	50	1400
48	1464957834111472	0.960187	50	1400
49	1464957834131435	0.980150	50	1400
50	1464957834151473	1.000188	50	1400
51	1464957834171414	1.020129	50	1400
52	1464957834191466	1.040181	50	1400
53	1464957834211470	1.060185	50	1400
54	1464957834231436	1.080151	50	1400
55	1464957834251473	1.100188	50	1400
56	1464957834271438	1.120153	50	1400
57	1464957834291477	1.140192	50	1400
58	1464957834311471	1.160186	50	1400
59	1464957834331436	1.180151	50	1400
60	1464957834351430	1.200145	50	1400
61	1464957834371437	1.220152	50	1400
62	1464957834391473	1.240188	50	1400
63	1464957834411472	1.260187	50	1400
64	1464957834431434	1.280149	50	1400
65	1464957834451473	1.300188	50	1400
66	1464957834471421	1.320136	50	1400
67	1464957834491422	1.340137	50	1400
68	1464957834511392	1.360107	50	1400
69	1464957834531422	1.380137	50	1400
70	1464957834551437	1.400152	50	1400
71	1464957834571406	1.420121	50	1400
72	1464957834591462	1.440177	50	1400
73	1464957834611473	1.460188	50	1400
74	1464957834631437	1.480152	50	1400
75	1464957834651472	1.500187	50	1400
76	1464957834671393	1.520108	50	1400
77	1464957834691468	1.540183	50	1400
78	1464957834711472	1.560187	50	1400
79	1464957834731436	1.580151	50	1400
