sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1465216727695672	0.000000	50	4200
1	1465216727715854	0.020182	50	4200
2	1465216727735878	0.040206	50	4200
3	1465216727755892	0.060220	50	4200
4	1465216727775839	0.080167	50	4200
5	1465216727795809	0.100137	50	4200
6	1465216727815810	0.120138	50	4200
7	1465216727835844	0.140172	50	4200
8	1465216727855812	0.160140	50	4200
9	1465216727875850	0.180178	50	4200
10	1465216727895859	0.200187	50	4200
11	1465216727915896	0.220224	50	4200
12	1465216727935895	0.240223	50	4200
13	1465216727955894	0.260222	50	4200
14	1465216727975896	0.280224	50	4200
15	1465216727995891	0.300219	50	4200
16	1465216728015896	0.320224	50	4200
17	1465216728035824	0.340152	50	4200
18	1465216728055892	0.360220	50	4200
19	1465216728075891	0.380219	50	4200
20	1465216728095893	0.400221	50	4200
21	1465216728115913	0.420241	50	4200
22	1465216728135895	0.440223	50	4200
23	1465216728155894	0.460222	50	4200
24	1465216728175834	0.480162	50	4200
25	1465216728195847	0.500175	50	4200
26	1465216728215891	0.520219	50	4200
27	1465216728235895	0.540223	50	4200
28	1465216728255894	0.560222	50	4200
29	1465216728275894	0.580222	50	4200
30	1465216728295859	0.600187	50	4200
31	1465216728315892	0.620220	50	4200
32	1465216728335895	0.640223	50	4200
33	1465216728355895	0.660223	50	4200
34	1465216728375894	0.680222	50	4200
35	1465216728395893	0.700221	50	4200
36	1465216728415895	0.720223	50	4200
37	1465216728435895	0.740223	50	4200
38	1465216728455894	0.760222	50	4200
39	1465216728475893	0.780221	50	4200
40	1465216728495893	0.800221	50	4200
41	1465216728515896	0.820224	50	4200
42	1465216728535847	0.840175	50	4200
43	1465216728555884	0.860212	50	4200
44	1465216728575892	0.880220	50	4200
45	1465216728595847	0.900175	50	4200
46	1465216728615894	0.920222	50	4200
47	1465216728635895	0.940223	50	4200
48	1465216728655894	0.960222	50	4200
49	1465216728675897	0.980225	50	4200
50	1465216728695892	1.000220	50	4200
51	1465216728715894	1.020222	50	4200
52	1465216728735897	1.040225	50	4200
53	1465216728755894	1.060222	50	4200
54	1465216728775893	1.080221	50	4200
55	1465216728795841	1.100169	50	4200
56	1465216728815922	1.120250	50	4200
57	1465216728836015	1.140343	50	4200
58	1465216728856047	1.160375	50	4200
59	1465216728876002	1.180330	50	4200
60	1465216728895974	1.200302	50	4200
61	1465216728916041	1.220369	50	4200
62	1465216728936051	1.240379	50	4200
63	1465216728956048	1.260376	50	4200
64	1465216728976049	1.280377	50	4200
65	1465216728996047	1.300375	50	4200
66	1465216729016050	1.320378	50	4200
67	1465216729035966	1.340294	50	4200
68	1465216729055869	1.360197	50	4200
69	1465216729075888	1.380216	50	4200
70	1465216729095893	1.400221	50	4200
71	1465216729115896	1.420224	50	4200
72	1465216729135897	1.440225	50	4200
73	1465216729155893	1.460221	50	4200
74	1465216729175893	1.480221	50	4200
75	1465216729195895	1.500223	50	4200
76	1465216729215895	1.520223	50	4200
77	1465216729235897	1.540225	50	4200
78	1465216729255895	1.560223	50	4200
79	1465216729275895	1.580223	50	4200
80	1465216729295894	1.600222	50	4200
81	1465216729315895	1.620223	50	4200
82	1465216729335895	1.640223	50	4200
83	1465216729355894	1.660222	50	4200
84	1465216729375894	1.680222	50	4200
85	1465216729395893	1.700221	50	4200
86	1465216729415895	1.720223	50	4200
87	1465216729435895	1.740223	50	4200
88	1465216729455895	1.760223	50	4200
89	1465216729475893	1.780221	50	4200
90	1465216729495892	1.800220	50	4200
91	1465216729515900	1.820228	50	4200
92	1465216729535858	1.840186	50	4200
93	1465216729555894	1.860222	50	4200
94	1465216729575893	1.880221	50	4200
95	1465216729595893	1.900221	50	4200
96	1465216729615895	1.920223	50	4200
97	1465216729635860	1.940188	50	4200
98	1465216729655895	1.960223	50	4200
99	1465216729675892	1.980220	50	4200
100	1465216729695893	2.000221	50	4200
101	1465216729715893	2.020221	50	4200
102	1465216729735903	2.040231	50	4200
103	1465216729755894	2.060222	50	4200
104	1465216729775894	2.080222	50	4200
105	1465216729795893	2.100221	50	4200
106	1465216729815896	2.120224	50	4200
107	1465216729835895	2.140223	50	4200
108	1465216729855895	2.160223	50	4200
109	1465216729875893	2.180221	50	4200
110	1465216729895925	2.200253	50	4200
111	1465216729915893	2.220221	50	4200
112	1465216729935892	2.240220	50	4200
113	1465216729955894	2.260222	50	4200
114	1465216729975894	2.280222	50	4200
115	1465216729995895	2.300223	50	4200
116	1465216730015895	2.320223	50	4200
117	1465216730035893	2.340221	50	4200
118	1465216730055904	2.360232	50	4200
119	1465216730075843	2.380171	50	4200
120	1465216730095863	2.400191	50	4200
121	1465216730115895	2.420223	50	4200
122	1465216730135894	2.440222	50	4200
123	1465216730155893	2.460221	50	4200
124	1465216730175896	2.480224	50	4200
125	1465216730195894	2.500222	50	4200
126	1465216730215893	2.520221	50	4200
127	1465216730235892	2.540220	50	4200
128	1465216730255896	2.560224	50	4200
129	1465216730275895	2.580223	50	4200
130	1465216730295893	2.600221	50	4200
131	1465216730315893	2.620221	50	4200
132	1465216730335894	2.640222	50	4200
133	1465216730355897	2.660225	50	4200
134	1465216730375894	2.680222	50	4200
135	1465216730395894	2.700222	50	4200
136	1465216730415895	2.720223	50	4200
137	1465216730435896	2.740224	50	4200
138	1465216730455897	2.760225	50	4200
139	1465216730475894	2.780222	50	4200
140	1465216730495896	2.800224	50	4200
141	1465216730515896	2.820224	50	4200
142	1465216730535857	2.840185	50	4200
143	1465216730555898	2.860226	50	4200
144	1465216730575894	2.880222	50	4200
145	1465216730595894	2.900222	50	4200
146	1465216730615893	2.920221	50	4200
147	1465216730635893	2.940221	50	4200
148	1465216730655898	2.960226	50	4200
149	1465216730675893	2.980221	50	4200
150	1465216730695894	3.000222	50	4200
151	1465216730715893	3.020221	50	4200
152	1465216730735896	3.040224	50	4200
153	1465216730755898	3.060226	50	4200
154	1465216730775895	3.080223	50	4200
155	1465216730795893	3.100221	50	4200
156	1465216730815894	3.120222	50	4200
157	1465216730835925	3.140253	50	4200
158	1465216730856047	3.160375	50	4200
159	1465216730876049	3.180377	50	4200
160	1465216730896048	3.200376	50	4200
161	1465216730916049	3.220377	50	4200
162	1465216730936044	3.240372	50	4200
163	1465216730956048	3.260376	50	4200
164	1465216730976049	3.280377	50	4200
165	1465216730996046	3.300374	50	4200
166	1465216731016019	3.320347	50	4200
167	1465216731035874	3.340202	50	4200
168	1465216731055896	3.360224	50	4200
169	1465216731075831	3.380159	50	4200
170	1465216731095890	3.400218	50	4200
171	1465216731115896	3.420224	50	4200
172	1465216731135895	3.440223	50	4200
173	1465216731155895	3.460223	50	4200
174	1465216731175895	3.480223	50	4200
175	1465216731195894	3.500222	50	4200
176	1465216731215894	3.520222	50	4200
177	1465216731235895	3.540223	50	4200
178	1465216731255896	3.560224	50	4200
179	1465216731275895	3.580223	50	4200
180	1465216731295895	3.600223	50	4200
181	1465216731315893	3.620221	50	4200
182	1465216731335857	3.640185	50	4200
183	1465216731355861	3.660189	50	4200
184	1465216731375895	3.680223	50	4200
185	1465216731395855	3.700183	50	4200
186	1465216731415858	3.720186	50	4200
187	1465216731435895	3.740223	50	4200
188	1465216731455925	3.760253	50	4200
189	1465216731476046	3.780374	50	4200
190	1465216731496048	3.800376	50	4200
191	1465216731516051	3.820379	50	4200
192	1465216731535975	3.840303	50	4200
193	1465216731555909	3.860237	50	4200
194	1465216731575893	3.880221	50	4200
195	1465216731595895	3.900223	50	4200
196	1465216731615894	3.920222	50	4200
197	1465216731635893	3.940221	50	4200
198	1465216731655897	3.960225	50	4200
199	1465216731675893	3.980221	50	4200
200	1465216731695894	4.000222	50	4200
201	1465216731715893	4.020221	50	4200
202	1465216731735897	4.040225	50	4200
203	1465216731755895	4.060223	50	4200
204	1465216731775835	4.080163	50	4200
205	1465216731795893	4.100221	50	4200
206	1465216731815896	4.120224	50	4200
207	1465216731835930	4.140258	50	4200
208	1465216731856048	4.160376	50	4200
209	1465216731876051	4.180379	50	4200
210	1465216731896049	4.200377	50	4200
211	1465216731916052	4.220380	50	4200
212	1465216731936053	4.240381	50	4200
213	1465216731956050	4.260378	50	4200
214	1465216731976051	4.280379	50	4200
215	1465216731996050	4.300378	50	4200
216	1465216732016051	4.320379	50	4200
217	1465216732036072	4.340400	50	4200
218	1465216732055861	4.360189	50	4200
219	1465216732075889	4.380217	50	4200
220	1465216732095893	4.400221	50	4200
221	1465216732115895	4.420223	50	4200
222	1465216732135898	4.440226	50	4200
223	1465216732155848	4.460176	50	4200
224	1465216732175894	4.480222	50	4200
225	1465216732195895	4.500223	50	4200
226	1465216732215895	4.520223	50	4200
227	1465216732235896	4.540224	50	4200
228	1465216732255842	4.560170	50	4200
229	1465216732275893	4.580221	50	4200
230	1465216732295893	4.600221	50	4200
231	1465216732315896	4.620224	50	4200
232	1465216732335894	4.640222	50	4200
233	1465216732355814	4.660142	50	4200
234	1465216732375894	4.680222	50	4200
235	1465216732395893	4.700221	50	4200
236	1465216732415896	4.720224	50	4200
237	1465216732435896	4.740224	50	4200
238	1465216732455900	4.760228	50	4200
239	1465216732475896	4.780224	50	4200
240	1465216732495894	4.800222	50	4200
241	1465216732515895	4.820223	50	4200
242	1465216732535849	4.840177	50	4200
243	1465216732555924	4.860252	50	4200
244	1465216732575894	4.880222	50	4200
245	1465216732595895	4.900223	50	4200
246	1465216732615894	4.920222	50	4200
247	1465216732635899	4.940227	50	4200
248	1465216732655895	4.960223	50	4200
249	1465216732675893	4.980221	50	4200
250	1465216732695893	5.000221	50	4200
251	1465216732715893	5.020221	50	4200
252	1465216732735896	5.040224	50	4200
253	1465216732755896	5.060224	50	4200
254	1465216732775859	5.080187	50	4200
255	1465216732795894	5.100222	50	4200
256	1465216732815894	5.120222	50	4200
257	1465216732835926	5.140254	50	4200
258	1465216732856053	5.160381	50	4200
259	1465216732876050	5.180378	50	4200
260	1465216732896051	5.200379	50	4200
261	1465216732916051	5.220379	50	4200
262	1465216732936047	5.240375	50	4200
263	1465216732956054	5.260382	50	4200
264	1465216732976050	5.280378	50	4200
265	1465216732996051	5.300379	50	4200
266	1465216733016051	5.320379	50	4200
267	1465216733035968	5.340296	50	4200
268	1465216733055908	5.360236	50	4200
269	1465216733075894	5.380222	50	4200
270	1465216733095894	5.400222	50	4200
271	1465216733115905	5.420233	50	4200
272	1465216733135895	5.440223	50	4200
273	1465216733155895	5.460223	50	4200
274	1465216733175895	5.480223	50	4200
275	1465216733195894	5.500222	50	4200
276	1465216733215894	5.520222	50	4200
277	1465216733235894	5.540222	50	4200
278	1465216733255895	5.560223	50	4200
279	1465216733275894	5.580222	50	4200
280	1465216733295895	5.600223	50	4200
281	1465216733315896	5.620224	50	4200
282	1465216733335896	5.640224	50	4200
283	1465216733355896	5.660224	50	4200
284	1465216733375895	5.680223	50	4200
285	1465216733395894	5.700222	50	4200
286	1465216733415896	5.720224	50	4200
287	1465216733435896	5.740224	50	4200
288	1465216733455895	5.760223	50	4200
289	1465216733475895	5.780223	50	4200
290	1465216733495895	5.800223	50	4200
291	1465216733515893	5.820221	50	4200
292	1465216733535858	5.840186	50	4200
293	1465216733555896	5.860224	50	4200
294	1465216733575895	5.880223	50	4200
295	1465216733595893	5.900221	50	4200
296	1465216733615894	5.920222	50	4200
297	1465216733635897	5.940225	50	4200
298	1465216733655896	5.960224	50	4200
299	1465216733675902	5.980230	50	4200
300	1465216733695893	6.000221	50	4200
301	1465216733715894	6.020222	50	4200
302	1465216733735895	6.040223	50	4200
303	1465216733755896	6.060224	50	4200
304	1465216733775858	6.080186	50	4200
305	1465216733795856	6.100184	50	4200
306	1465216733815893	6.120221	50	4200
307	1465216733835928	6.140256	50	4200
308	1465216733856052	6.160380	50	4200
309	1465216733876048	6.180376	50	4200
310	1465216733896052	6.200380	50	4200
311	1465216733916019	6.220347	50	4200
312	1465216733935915	6.240243	50	4200
313	1465216733955915	6.260243	50	4200
314	1465216733975912	6.280240	50	4200
315	1465216733995914	6.300242	50	4200
316	1465216734015914	6.320242	50	4200
317	1465216734035944	6.340272	50	4200
318	1465216734056054	6.360382	50	4200
319	1465216734075970	6.380298	50	4200
320	1465216734096113	6.400441	50	4200
321	1465216734115872	6.420200	50	4200
322	1465216734135895	6.440223	50	4200
323	1465216734155895	6.460223	50	4200
324	1465216734175893	6.480221	50	4200
325	1465216734195918	6.500246	50	4200
326	1465216734215895	6.520223	50	4200
327	1465216734235896	6.540224	50	4200
328	1465216734255896	6.560224	50	4200
329	1465216734275893	6.580221	50	4200
330	1465216734295894	6.600222	50	4200
331	1465216734315896	6.620224	50	4200
332	1465216734335894	6.640222	50	4200
333	1465216734355896	6.660224	50	4200
334	1465216734375894	6.680222	50	4200
