sPacketNo	sPacketTime	sPacketTimeDouble	packetRate	packetSize
0	1464956794675457	0.000000	50	13
1	1464956794695640	0.020183	50	13
2	1464956794715548	0.040091	50	13
3	1464956794735624	0.060167	50	13
4	1464956794755595	0.080138	50	13
5	1464956794775632	0.100175	50	13
6	1464956794795632	0.120175	50	13
7	1464956794815629	0.140172	50	13
8	1464956794835628	0.160171	50	13
9	1464956794855629	0.180172	50	13
10	1464956794875632	0.200175	50	13
11	1464956794895580	0.220123	50	13
12	1464956794915589	0.240132	50	13
13	1464956794935592	0.260135	50	13
14	1464956794955628	0.280171	50	13
15	1464956794975632	0.300175	50	13
16	1464956794995597	0.320140	50	13
17	1464956795015631	0.340174	50	13
18	1464956795035630	0.360173	50	13
19	1464956795055628	0.380171	50	13
20	1464956795075631	0.400174	50	13
21	1464956795095634	0.420177	50	13
22	1464956795115631	0.440174	50	13
23	1464956795135630	0.460173	50	13
24	1464956795155628	0.480171	50	13
25	1464956795175564	0.500107	50	13
26	1464956795195627	0.520170	50	13
27	1464956795215633	0.540176	50	13
28	1464956795235636	0.560179	50	13
29	1464956795255636	0.580179	50	13
30	1464956795275638	0.600181	50	13
31	1464956795295587	0.620130	50	13
32	1464956795315634	0.640177	50	13
33	1464956795335638	0.660181	50	13
34	1464956795355636	0.680179	50	13
35	1464956795375638	0.700181	50	13
36	1464956795395585	0.720128	50	13
37	1464956795415599	0.740142	50	13
38	1464956795435566	0.760109	50	13
39	1464956795455600	0.780143	50	13
40	1464956795475632	0.800175	50	13
41	1464956795495631	0.820174	50	13
42	1464956795515559	0.840102	50	13
43	1464956795535630	0.860173	50	13
44	1464956795555578	0.880121	50	13
45	1464956795575632	0.900175	50	13
46	1464956795595587	0.920130	50	13
47	1464956795615627	0.940170	50	13
48	1464956795635631	0.960174	50	13
49	1464956795655629	0.980172	50	13
50	1464956795675563	1.000106	50	13
51	1464956795695609	1.020152	50	13
52	1464956795715588	1.040131	50	13
53	1464956795735631	1.060174	50	13
54	1464956795755629	1.080172	50	13
55	1464956795775575	1.100118	50	13
56	1464956795795626	1.120169	50	13
57	1464956795815632	1.140175	50	13
58	1464956795835631	1.160174	50	13
59	1464956795855630	1.180173	50	13
60	1464956795875568	1.200111	50	13
61	1464956795895633	1.220176	50	13
62	1464956795915630	1.240173	50	13
63	1464956795935630	1.260173	50	13
64	1464956795955630	1.280173	50	13
65	1464956795975633	1.300176	50	13
66	1464956795995639	1.320182	50	13
67	1464956796015631	1.340174	50	13
68	1464956796035630	1.360173	50	13
69	1464956796055630	1.380173	50	13
70	1464956796075633	1.400176	50	13
71	1464956796095632	1.420175	50	13
72	1464956796115630	1.440173	50	13
73	1464956796135630	1.460173	50	13
74	1464956796155550	1.480093	50	13
75	1464956796175579	1.500122	50	13
76	1464956796195658	1.520201	50	13
77	1464956796215653	1.540196	50	13
78	1464956796235674	1.560217	50	13
79	1464956796255692	1.580235	50	13
80	1464956796275695	1.600238	50	13
81	1464956796295695	1.620238	50	13
82	1464956796315616	1.640159	50	13
83	1464956796335679	1.660222	50	13
84	1464956796355694	1.680237	50	13
85	1464956796375697	1.700240	50	13
86	1464956796395698	1.720241	50	13
87	1464956796415691	1.740234	50	13
88	1464956796435694	1.760237	50	13
89	1464956796455640	1.780183	50	13
90	1464956796475628	1.800171	50	13
91	1464956796495638	1.820181	50	13
92	1464956796515635	1.840178	50	13
93	1464956796535635	1.860178	50	13
94	1464956796555580	1.880123	50	13
95	1464956796575636	1.900179	50	13
96	1464956796595570	1.920113	50	13
97	1464956796615629	1.940172	50	13
98	1464956796635637	1.960180	50	13
99	1464956796655571	1.980114	50	13
100	1464956796675599	2.000142	50	13
101	1464956796695615	2.020158	50	13
102	1464956796715595	2.040138	50	13
103	1464956796735628	2.060171	50	13
104	1464956796755629	2.080172	50	13
105	1464956796775631	2.100174	50	13
106	1464956796795630	2.120173	50	13
107	1464956796815630	2.140173	50	13
108	1464956796835602	2.160145	50	13
109	1464956796855632	2.180175	50	13
110	1464956796875593	2.200136	50	13
111	1464956796895595	2.220138	50	13
112	1464956796915594	2.240137	50	13
113	1464956796935630	2.260173	50	13
114	1464956796955629	2.280172	50	13
115	1464956796975631	2.300174	50	13
116	1464956796995679	2.320222	50	13
117	1464956797015592	2.340135	50	13
118	1464956797035627	2.360170	50	13
119	1464956797055627	2.380170	50	13
120	1464956797075630	2.400173	50	13
121	1464956797095599	2.420142	50	13
122	1464956797115623	2.440166	50	13
123	1464956797135551	2.460094	50	13
124	1464956797155622	2.480165	50	13
125	1464956797175561	2.500104	50	13
126	1464956797195618	2.520161	50	13
127	1464956797215587	2.540130	50	13
128	1464956797235630	2.560173	50	13
129	1464956797255629	2.580172	50	13
130	1464956797275630	2.600173	50	13
131	1464956797295631	2.620174	50	13
132	1464956797315629	2.640172	50	13
133	1464956797335594	2.660137	50	13
134	1464956797355594	2.680137	50	13
135	1464956797375630	2.700173	50	13
136	1464956797395631	2.720174	50	13
137	1464956797415629	2.740172	50	13
138	1464956797435630	2.760173	50	13
139	1464956797455586	2.780129	50	13
140	1464956797475655	2.800198	50	13
141	1464956797495631	2.820174	50	13
142	1464956797515629	2.840172	50	13
143	1464956797535630	2.860173	50	13
144	1464956797555593	2.880136	50	13
145	1464956797575630	2.900173	50	13
146	1464956797595595	2.920138	50	13
147	1464956797615631	2.940174	50	13
148	1464956797635628	2.960171	50	13
149	1464956797655630	2.980173	50	13
150	1464956797675623	3.000166	50	13
151	1464956797695626	3.020169	50	13
152	1464956797715592	3.040135	50	13
153	1464956797735630	3.060173	50	13
154	1464956797755629	3.080172	50	13
155	1464956797775630	3.100173	50	13
156	1464956797795632	3.120175	50	13
157	1464956797815631	3.140174	50	13
158	1464956797835628	3.160171	50	13
159	1464956797855572	3.180115	50	13
160	1464956797875630	3.200173	50	13
161	1464956797895631	3.220174	50	13
162	1464956797915629	3.240172	50	13
163	1464956797935629	3.260172	50	13
164	1464956797955628	3.280171	50	13
165	1464956797975667	3.300210	50	13
166	1464956797995630	3.320173	50	13
167	1464956798015629	3.340172	50	13
168	1464956798035630	3.360173	50	13
169	1464956798055594	3.380137	50	13
170	1464956798075632	3.400175	50	13
171	1464956798095630	3.420173	50	13
172	1464956798115631	3.440174	50	13
173	1464956798135628	3.460171	50	13
174	1464956798155631	3.480174	50	13
175	1464956798175621	3.500164	50	13
176	1464956798195628	3.520171	50	13
177	1464956798215630	3.540173	50	13
178	1464956798235583	3.560126	50	13
179	1464956798255588	3.580131	50	13
180	1464956798275631	3.600174	50	13
181	1464956798295637	3.620180	50	13
182	1464956798315629	3.640172	50	13
183	1464956798335592	3.660135	50	13
184	1464956798355630	3.680173	50	13
185	1464956798375630	3.700173	50	13
186	1464956798395628	3.720171	50	13
187	1464956798415628	3.740171	50	13
188	1464956798435582	3.760125	50	13
189	1464956798455653	3.780196	50	13
190	1464956798475693	3.800236	50	13
191	1464956798495695	3.820238	50	13
192	1464956798515693	3.840236	50	13
193	1464956798535653	3.860196	50	13
194	1464956798555621	3.880164	50	13
