rPacketNo	rPacketTime	rPacketTimeDouble
0	1465210993323367	0.000000
1	1465210993347662	0.020181
2	1465210993371909	0.040200
3	1465210993396348	0.060205
4	1465210993424260	0.080127
5	1465210993447555	0.100162
6	1465210993471907	0.120133
7	1465210993498180	0.140120
8	1465210993529792	0.160163
9	1465210993554925	0.180202
10	1465210993581095	0.200136
11	1465210993605348	0.220197
13	1465210993743694	0.260137
14	1465210993768009	0.280208
15	1465210993792250	0.300134
16	1465210993816683	0.320197
17	1465210993843649	0.340205
18	1465210993867929	0.360147
19	1465210993896825	0.380179
20	1465210993921535	0.400203
21	1465210993947646	0.420205
22	1465210993972031	0.440206
23	1465210993996386	0.460205
24	1465210994020484	0.480204
25	1465210994048523	0.500146
26	1465210994073972	0.520199
27	1465210994098227	0.540206
28	1465210994122613	0.560232
30	1465210994173332	0.600205
31	1465210994197652	0.620203
32	1465210994221910	0.640205
35	1465210994370723	0.700329
37	1465210994419453	0.740328
38	1465210994447519	0.760329
39	1465210994470652	0.780329
40	1465210994495042	0.800230
41	1465210994519076	0.820348
42	1465210994548282	0.840353
43	1465210994581729	0.860240
44	1465210994610534	0.880261
45	1465210994634786	0.900234
46	1465210994661030	0.920215
47	1465210994685289	0.940180
48	1465210994709570	0.960213
49	1465210994733858	0.980216
51	1465210994784321	1.020215
52	1465210994809314	1.040216
53	1465210994833617	1.060219
55	1465210994948261	1.100219
56	1465210994972242	1.120222
57	1465210994996944	1.140220
58	1465210995020924	1.160223
59	1465210995045330	1.180219
61	1465210995096452	1.220298
62	1465210995120759	1.240216
63	1465210995148076	1.260246
64	1465210995182911	1.280213
65	1465210995214811	1.300213
66	1465210995243820	1.320176
67	1465210995270903	1.340217
68	1465210995295283	1.360185
69	1465210995319539	1.380303
70	1465210995343891	1.400219
71	1465210995370786	1.420217
72	1465210995394984	1.440183
73	1465210995419380	1.460220
74	1465210995443731	1.480218
75	1465210995470003	1.500218
76	1465210995494359	1.520219
77	1465210995518251	1.540219
78	1465210995544169	1.560220
80	1465210995791604	1.600220
81	1465210995815861	1.620198
82	1465210995840441	1.640219
83	1465210995864731	1.660176
84	1465210995891125	1.680289
85	1465210995915840	1.700206
86	1465210995940515	1.720206
87	1465210995966315	1.740230
88	1465210995992547	1.760307
89	1465210996016881	1.780293
90	1465210996041237	1.800291
91	1465210996065497	1.820292
92	1465210996091672	1.840292
93	1465210996115926	1.860196
