rPacketNo	rPacketTime	rPacketTimeDouble
0	1464958158660367	0.000000
14	1464958158865311	0.280182
15	1464958158877993	0.300191
16	1464958158890276	0.320133
17	1464958159070046	0.340150
18	1464958159082820	0.360134
19	1464958159095097	0.380184
20	1464958159108024	0.400188
21	1464958159120319	0.420124
22	1464958159132604	0.440141
23	1464958159144837	0.460125
24	1464958159157209	0.480185
26	1464958159187266	0.520187
27	1464958159199962	0.540124
28	1464958159212378	0.560120
29	1464958159224965	0.580189
30	1464958159237255	0.600187
31	1464958159249722	0.620189
32	1464958159262044	0.640136
33	1464958159276042	0.660101
34	1464958159288262	0.680186
35	1464958159300390	0.700186
36	1464958159312796	0.720188
37	1464958159324966	0.740108
38	1464958159337059	0.760129
39	1464958159349436	0.780201
40	1464958159361665	0.800188
41	1464958159373977	0.820141
42	1464958159479987	0.840105
43	1464958159492565	0.860134
44	1464958159505682	0.880190
45	1464958159517902	0.900187
46	1464958159530509	0.920188
47	1464958159543534	0.940139
48	1464958159555989	0.960192
49	1464958159568238	0.980152
50	1464958159583535	1.000187
51	1464958159597774	1.020187
52	1464958159610378	1.040135
53	1464958159622642	1.060129
54	1464958159635728	1.080189
55	1464958159651472	1.100186
57	1464958159889037	1.140133
58	1464958159904005	1.160131
59	1464958159915003	1.180188
60	1464958159927331	1.200187
61	1464958159939513	1.220187
62	1464958159952412	1.240105
63	1464958159964634	1.260189
64	1464958159976925	1.280191
65	1464958159991964	1.300187
66	1464958160004713	1.320186
67	1464958160016922	1.340133
68	1464958160029193	1.360186
69	1464958160041499	1.380189
70	1464958160054016	1.400186
71	1464958160066221	1.420186
72	1464958160078604	1.440106
73	1464958160091035	1.460183
75	1464958160119359	1.500186
76	1464958160298395	1.520186
93	1464958160514279	1.860188
94	1464958160526567	1.880188
95	1464958160538794	1.900213
96	1464958160551239	1.920265
97	1464958160564006	1.940196
98	1464958160576196	1.960279
99	1464958160588457	1.980282
100	1464958160601093	2.000276
101	1464958160616837	2.020279
102	1464958160628966	2.040177
103	1464958160641595	2.060281
104	1464958160654246	2.080279
105	1464958160666815	2.100280
106	1464958160679781	2.120279
107	1464958160692083	2.140205
108	1464958160912951	2.160183
130	1464958161189786	2.600184
131	1464958161202041	2.620187
132	1464958161214150	2.640151
133	1464958161229997	2.660139
134	1464958161241414	2.680160
135	1464958161253674	2.700198
136	1464958161322630	2.720187
137	1464958161335537	2.740186
138	1464958161347794	2.760187
139	1464958161360336	2.780186
140	1464958161373231	2.800188
141	1464958161387303	2.820188
142	1464958161398955	2.840143
143	1464958161411599	2.860185
156	1464958161684119	3.120279
157	1464958161731981	3.140242
158	1464958161745106	3.160250
159	1464958161757708	3.180163
160	1464958161769779	3.200196
161	1464958161936853	3.220198
163	1464958161963156	3.260195
164	1464958161974096	3.280199
165	1464958161986289	3.300199
166	1464958161998655	3.320196
167	1464958162010835	3.340160
168	1464958162023199	3.360197
169	1464958162035450	3.380198
170	1464958162049717	3.400137
171	1464958162062198	3.420195
172	1464958162074417	3.440160
173	1464958162086721	3.460161
174	1464958162098989	3.480198
175	1464958162111306	3.500225
176	1464958162123565	3.520230
177	1464958162135852	3.540247
178	1464958162150282	3.560141
179	1464958162162540	3.580134
180	1464958162174594	3.600129
181	1464958162187045	3.620149
182	1464958162199399	3.640137
183	1464958162211717	3.660106
184	1464958162346453	3.680109
186	1464958162372226	3.720108
187	1464958162384605	3.740116
188	1464958162396925	3.760111
189	1464958162409246	3.780107
190	1464958162421509	3.800109
191	1464958162434046	3.820134
192	1464958162450142	3.840153
193	1464958162462600	3.860152
194	1464958162475005	3.880191
195	1464958162487487	3.900189
196	1464958162499871	3.920190
197	1464958162512510	3.940188
198	1464958162525983	3.960186
199	1464958162538308	3.980189
200	1464958162552916	4.000153
201	1464958162755925	4.020186
202	1464958162768242	4.040108
203	1464958162780659	4.060134
204	1464958162792915	4.080120
205	1464958162805175	4.100142
206	1464958162817396	4.120115
207	1464958162829504	4.140120
218	1464958162974839	4.360190
225	1464958163064194	4.500219
226	1464958163076572	4.520242
227	1464958163091726	4.540280
228	1464958163165725	4.560209
230	1464958163192657	4.600194
231	1464958163205072	4.620147
232	1464958163268846	4.640138
236	1464958163281447	4.720131
237	1464958163307225	4.740184
238	1464958163332682	4.760187
239	1464958163358762	4.780231
240	1464958163373318	4.800155
241	1464958163385705	4.820104
242	1464958163398183	4.840148
243	1464958163411467	4.860152
244	1464958163575436	4.880149
245	1464958163589200	4.900151
246	1464958163601723	4.920189
247	1464958163613915	4.940129
248	1464958163626817	4.960256
249	1464958163639766	4.980199
250	1464958163652396	5.000152
251	1464958163664974	5.020197
252	1464958163679465	5.040114
253	1464958163691846	5.060199
254	1464958163704114	5.080197
255	1464958163717290	5.100143
256	1464958163729863	5.120188
257	1464958163742697	5.140141
258	1464958163755115	5.160129
259	1464958163769031	5.180194
260	1464958163783691	5.200141
261	1464958163796460	5.220187
262	1464958163808781	5.240105
263	1464958163821837	5.260186
264	1464958163835085	5.280189
265	1464958163851638	5.300188
266	1464958163985699	5.320187
267	1464958164000328	5.340105
268	1464958164012548	5.360187
269	1464958164024805	5.380188
270	1464958164037186	5.400189
271	1464958164049986	5.420137
272	1464958164062299	5.440090
273	1464958164074767	5.460154
274	1464958164089628	5.480190
275	1464958164101981	5.500188
276	1464958164114304	5.520186
277	1464958164127227	5.540186
278	1464958164139971	5.560126
279	1464958164152477	5.580183
280	1464958164165318	5.600191
281	1464958164178633	5.620185
282	1464958164193528	5.640147
283	1464958164394848	5.660135
284	1464958164407482	5.680196
285	1464958164419967	5.700190
286	1464958164432192	5.720186
287	1464958164445119	5.740186
288	1464958164457874	5.760188
289	1464958164470126	5.780187
290	1464958164482706	5.800191
291	1464958164498290	5.820186
292	1464958164510803	5.840149
293	1464958164523414	5.860186
294	1464958164535601	5.880187
295	1464958164548553	5.900189
296	1464958164561160	5.920187
297	1464958164573394	5.940136
298	1464958164585803	5.960229
299	1464958164600554	5.980245
300	1464958164613132	6.000282
301	1464958164626859	6.020281
302	1464958164639118	6.040252
303	1464958164651978	6.060197
304	1464958164664685	6.080163
305	1464958164676652	6.100158
306	1464958164689507	6.120190
307	1464958164703752	6.140196
308	1464958164716340	6.160129
309	1464958164731816	6.180151
310	1464958164804565	6.200188
311	1464958164817459	6.220187
312	1464958164829767	6.240155
313	1464958164843511	6.260124
314	1464958164856449	6.280148
315	1464958164868885	6.300189
316	1464958164881491	6.320187
317	1464958164894198	6.340185
318	1464958165009029	6.360188
330	1464958165213723	6.600185
338	1464958165419526	6.760239
339	1464958165432254	6.780179
340	1464958165444831	6.800212
341	1464958165457366	6.820240
342	1464958165469971	6.840182
343	1464958165482472	6.860238
344	1464958165495060	6.880122
345	1464958165507355	6.900196
346	1464958165524116	6.920239
347	1464958165535090	6.940177
348	1464958165547913	6.960249
349	1464958165560206	6.980192
350	1464958165572429	7.000195
351	1464958165584715	7.020131
352	1464958165596639	7.040124
353	1464958165611630	7.060190
354	1464958165838391	7.080195
356	1464958165853241	7.120195
357	1464958165865466	7.140140
358	1464958165878002	7.160194
359	1464958165890968	7.180198
360	1464958165903128	7.200197
361	1464958165915542	7.220145
362	1464958165927769	7.240105
363	1464958165944474	7.260156
364	1464958165956911	7.280187
365	1464958165969130	7.300190
366	1464958165981356	7.320152
367	1464958165993580	7.340133
368	1464958166006624	7.360202
369	1464958166019132	7.380243
370	1464958166033562	7.400243
371	1464958166046171	7.420178
