rPacketNo	rPacketTime	rPacketTimeDouble
7	1465218143467027	0.140180
15	1465218143505759	0.000000
14	1465218143542302	0.000000
13	1465218143578816	0.000000
11	1465218143653565	0.000000
10	1465218143691875	0.000000
9	1465218143729248	0.000000
8	1465218143765729	0.000000
22	1465218143923340	0.000000
28	1465218144313631	0.000000
34	1465218144378463	0.000000
41	1465218145160535	0.000000
40	1465218145196790	0.000000
55	1465218145235164	0.000000
54	1465218145271673	0.000000
53	1465218145308057	0.000000
52	1465218145348473	0.000000
51	1465218145387995	0.000000
49	1465218145463772	0.000000
48	1465218145500154	0.000000
63	1465218145538537	0.000000
62	1465218145574943	0.000000
61	1465218145611524	0.000000
60	1465218145848382	0.000000
59	1465218145885023	0.000000
58	1465218145922073	0.000000
71	1465218146033733	0.000000
70	1465218146072381	0.000000
69	1465218146109212	0.000000
68	1465218146148188	0.000000
67	1465218146184807	0.000000
66	1465218146221981	0.000000
65	1465218146263934	0.000000
64	1465218146300766	0.000000
79	1465218146337573	0.000000
77	1465218146501822	0.000000
76	1465218146542171	0.000000
75	1465218146582238	0.000000
74	1465218146618659	0.000000
73	1465218146657025	0.000000
86	1465218146770183	0.000000
85	1465218146806943	0.000000
83	1465218146885668	0.000000
82	1465218146923520	0.000000
90	1465218147092420	0.000000
89	1465218147132102	0.000000
102	1465218147243910	0.000000
100	1465218147323304	0.000000
99	1465218147362115	25197794635684591778877538912329078677496949411957493836364611226739023833198455969732714317929984703462269933343669548073263568160218310127359398339346300432566402368780495833589429331144865631106321796903473921931178489350328388669333537706157823575569545204062509762500368510066197081637529337336803885056.000000
97	1465218147439431	24770002860580028447993787324679740904643887751420147335094749712310073953669708659848223564175659249823763717141383335851908789308495296437808041068109640857450417701296469529669731993343704260045200884646650156202315218031683443423609522738268656396502476113088232831363151594359839792461344028943385100288.000000
107	1465218147719817	23487688328787452859990271502530296987877158560571696309556534481907710962624080416956019569307710427807791387260713076803201388027159090760057131727579557291008053221054098216778196666326121321604884065340212010616748778687934080164425835223451816488529811388616693005626099229794101534747084987124267614208.000000
106	1465218147756227	23176045407930362941029026819136440761284426778111200387499556900202136211159648370409485286821059365950671114616007331814829832756541909682046738281108236592123018284607222870682717421975184788128934706929381730415088789717142420709351284960552138152190965424661418769950779458355400780768118278871303847936.000000
105	1465218147798116	23060242115208707100317525781959281065608002953086124842875073576979010521309320898971032872030553036083531320340442775471697732029790712841784834958969681744929495443380809994307779158180973212013088717105762680636703727886895008528955603344354910294741737218728821465473789362949815042707375178613644066816.000000
135	1465218147839038	30251648023395678533848159159161879367150133715239550274727636824142883268035679374021377694488572434750075096746460075443137690903945750468329903232929087152796871752676599265653416181950722213549408441060869977967366034709141839729062550041290652396464637949536069446579209608496352681528295379025652613120.000000
134	1465218147876464	29961561176943658347716094416692487726981370994078540425018408890875349053842253229919100330387746134318836709934173205886021838028613484518091601760393666311773652182950726566242857784436519905218132056975986089011754266708694869744625151061424494591444180590094781112109680706771479094659548419275427414016.000000
133	1465218147917122	29824078586327106353433504369710221544672763546200632671681319887919520236350040488382304279397851238002130356438804255499749138384869517933942592641677102573108068727473900564526666331447615886689481496353325887952858672715778193007765387758438366316453046210888704511191971646709002184308136942649846267904.000000
132	1465218147955123	29534206041596523420765629312250641904866113106001963928693580704729660092366839331504525554972788076742517488561100896571998322938594390446513010860693175703580927849103524349735816355425514825781042671352085059926746576354156570998679172089451130052690880275376969907565795953580761649927126727012982456320.000000
131	1465218147993776	29396573439774965349058106485761507322304027061450417400651449576719459425727469098910580456209858983005673271811523488745170097094510426938397897957890566184868089309677850808785829007392139934056405819370874716217201212214062150679073580468849756698818941899420205695057739647500641602834299529508048338944.000000
130	1465218148029883	29105444551202456517956419399931904830374493374110023919508982596199235045136823954429178456685634418352405799179824298752766749720387825212752196985186005907445187103235876452911938410372595310131581804241776443491897290869826926164491052639834842899430042491121462344362405768974639798243932651506603393024.000000
138	1465218148351062	32837171504820961922613685091917437235989539490764710231149220417520831095623872114194403052611376148015507852629692879903643642799689161947681891840259916506549273120322249141858057931465759714156704090328944709764716898182111993844170297881619182485093381231610637855280252175799551814511146013716622868480.000000
163	1465218148391479	39042304636751815634909038261650134220995898790471747990196165010333243291464655322955577194292541254828861793362066091996973030827765494882011650675211797921944791155142398366092865787943891498346082052099229306043896659324915788634601962294652274811578847539830108640927826242384165728489538909109768683520.000000
162	1465218148436731	38752282080816226624816230424683686180935769753599440472503383702089011298334296675020649422094443896149111062230154275628666689181150370470615965110141825272370395192823174612068219916877319564241656935739438335367134792816116423042769918308049793468935877607567686425711303303238282057367112972593551900672.000000
161	1465218148476728	38615362032218447420877138300852176499577707043247678124310202668087076915143924524948162300253427240157921695938067040644477212788681392351339845181747933208882018302154526882478763070305181320197954967711341169248175836875116284741207011196120834239747758216176688368257396415741966909796010449265544396800.000000
160	1465218148517749	38324267967675672143463382038836668457707016601563665073009977609454474570962440940890741329676514185620043370133237671129345683996780575625900561158920490701827228883057820705355575091778103148979342055933334893923915612172190179272619050655123745190813331164266497498824107433612917976234900792182520676352.000000
175	1465218148554683	38012464320527504284403995091685453230842700608381413320911883465190644266840340153925833067433040769384203958287594293168950350654370540700783627943785549524320134928094322995795314531308090679936264528209772318025130869472279508836031112909064875698530766632364057965016272755726742432890131525844535869440.000000
172	1465218148666877	37469849683076860547407410275778845663969878808221701838268349659143927568673044689154971175404825347588744696935463085733808517313832738638320259939258420021605187432335280232635844958039080939718779458936996506270343534071013118397143079972249546713271152599934892048010406673944395620784598721512085651456.000000
170	1465218148741690	37041693595045853885634536223612827490501226270048375455571957269582931769786914900988832734201702557358475098544384905442533174832712589561994079192384220694945868989546909904862643303701347448038834696237979536961330820966365081593322053375866212914064988088280373774439489303623762142379260948125952507904.000000
169	1465218148909875	36724564550119970277990035603967784054638420094951947201444867685888900820940723181495133276015515132707741541174341288342416661378232663836080461642194654325761219554399324552502628469152618980538243825285886896964479238041644513969257210354466143121513881671728524029174327392111255244714233590570937221120.000000
168	1465218148946131	42051390113054794564308871874173865505541175081040046853972225913482049037807279687669551405569295462332842085476243067631741335319216649641227891641781674588409324019642962681035709906059741999006242291210722888474111025145215582331939744504397258158689132933069387218245401770717677277171870865256687337472.000000
183	1465218148982579	41919441864394359640738980442569994232584117289014598181717583881282153083494127241205432724205983635123364758466493279248820727280873283859114068557382442663629972768421833394623488438104352695172371693923144735919544451224963517058524290204859278686693374576844035716357289322663248947316260805358664024064.000000
182	1465218149020512	41624174273826593852110130064988397483661290175588992077016365414886848221968512030950900745943583445218079451410650040226805094558084695570474968541589655061689050835176833179531478951018602730393997318991189848993278121355913759769972034684495192621753722043905785938749696603114771316556478056667927281664.000000
196	1465218149057657	43202147496828558216314642439862345050011701392619321727022516080576271252673416085782346736482200186127553660402778445196119321870238767231490891334994002728052680860387985791945991634345020410159367058557231467701447791309569140372723887262030150407462421149987011100883461292917842525820639405184666042368.000000
195	1465218149094276	43087798777041157733491328889689284306793114674626136444270137648505358314374990715130178838490936163387822075895699467249802412693212897707543172919261213212388792136737005304927324281428446050926031001013839693982041750727848777575024362368423602511303845983976259744505731100861903631520409455596446679040.000000
194	1465218149132484	42775137923007240860575183202498821078480349557594520265286088503930831729411989979267276017544410190465480588311722046771946929634574308931191360937920296148897383416351521656888230034990028592191603236955704874365258321472636715237031691378849046853988115756355605287324483588589195878224693212805016322048.000000
193	1465218149168878	42659484641490591097288614944828529783057404329243083495366647305762077888708819998885972650526938058018478657290365947869370355108163109014895561399867787081751115659073956319747087666240287889271743538490635967237523029789567046639381838080267064075419691547173695594437840739201253276905365833426709512192.000000
192	1465218149207941	42342355596564707489644114325183486347194598154146655241239557722068046939862628279392273192340750633367745099920322330769253841653683183288981943849678220712566466223926370967387072831691559421771152667538543327240671446864846479015316995058866994282868585130621845849172678827688746379240338475871694225408.000000
