rPacketNo	rPacketTime	rPacketTimeDouble
0	1464955104658704	0.000001
1	1464955104660142	0.020224
9	1464955104861435	0.180149
10	1464955104862915	0.200113
11	1464955104864262	0.220167
12	1464955104866368	0.240161
13	1464955104867431	0.260178
14	1464955104868703	0.280175
15	1464955104870207	0.300155
16	1464955104871390	0.320154
17	1464955104872632	0.340174
18	1464955104874431	0.360176
19	1464955104875880	0.380174
20	1464955105067583	0.400174
21	1464955105068747	0.420173
22	1464955105070764	0.440173
23	1464955105072202	0.460175
30	1464955105272064	0.600172
40	1464955105476197	0.800168
41	1464955105477694	0.820139
51	1464955105681444	1.020175
61	1464955105885438	1.220172
62	1464955105887387	1.240140
63	1464955105888890	1.260193
64	1464955105890266	1.280175
65	1464955105891453	1.300174
66	1464955105892568	1.320121
67	1464955105893661	1.340106
68	1464955105894881	1.360168
69	1464955105896066	1.380175
70	1464955105897049	1.400137
71	1464955106090790	1.420175
72	1464955106092421	1.440172
73	1464955106093702	1.460174
74	1464955106095067	1.480177
75	1464955106096905	1.500173
76	1464955106098439	1.520172
77	1464955106100132	1.540175
78	1464955106101837	1.560174
81	1464955106295312	1.620172
91	1464955106501051	1.820176
92	1464955106502299	1.840139
102	1464955106705447	2.040234
103	1464955106706736	2.060191
104	1464955106708419	2.080235
105	1464955106710148	2.100234
106	1464955106712060	2.120241
107	1464955106713726	2.140238
108	1464955106714784	2.160236
109	1464955106716134	2.180148
110	1464955106717719	2.200161
111	1464955106718692	2.220116
112	1464955106910697	2.240136
113	1464955106911847	2.260115
114	1464955106913802	2.280106
115	1464955106915532	2.300166
116	1464955106919190	2.320216
117	1464955106920604	2.340173
118	1464955106922136	2.360141
119	1464955106923195	2.380093
120	1464955106925972	2.400166
121	1464955106927144	2.420173
122	1464955106932162	2.440137
123	1464955106952404	2.460084
124	1464955106971966	2.480085
125	1464955106993667	2.500154
126	1464955107012147	2.520158
127	1464955107115266	2.540155
128	1464955107116792	2.560203
129	1464955107118200	2.580185
130	1464955107119355	2.600176
131	1464955107121100	2.620174
132	1464955107319052	2.640172
142	1464955107524248	2.840176
143	1464955107525409	2.860184
144	1464955107527012	2.880164
145	1464955107528706	2.900176
153	1464955107729676	3.060148
154	1464955107731116	3.080121
155	1464955107732704	3.100121
156	1464955107734697	3.120094
157	1464955107736454	3.140121
158	1464955107737958	3.160128
159	1464955107739498	3.180098
160	1464955107740997	3.200183
163	1464955107933771	3.260184
164	1464955107935562	3.280218
165	1464955107936777	3.300180
166	1464955107938699	3.320158
174	1464955108138268	3.480158
175	1464955108139450	3.500152
176	1464955108140922	3.520173
177	1464955108142009	3.540172
178	1464955108143163	3.560177
179	1464955108144347	3.580174
180	1464955108145397	3.600171
181	1464955108146547	3.620175
182	1464955108147527	3.640173
183	1464955108344397	3.660095
184	1464955108346308	3.680163
185	1464955108347758	3.700148
186	1464955108349344	3.720133
194	1464955108548184	3.880163
195	1464955108549477	3.900172
196	1464955108551077	3.920173
197	1464955108552353	3.940172
198	1464955108553506	3.960173
199	1464955108554853	3.980186
200	1464955108556514	4.000171
201	1464955108557954	4.020174
202	1464955108559746	4.040186
203	1464955108561051	4.060200
204	1464955108752788	4.080174
205	1464955108754097	4.100218
214	1464955108958158	4.280181
215	1464955108959467	4.300178
216	1464955108960664	4.320177
217	1464955108962048	4.340178
218	1464955108963551	4.360177
219	1464955108964855	4.380188
220	1464955108966772	4.400091
221	1464955108968170	4.420137
222	1464955108969762	4.440138
223	1464955108970697	4.460113
224	1464955109162567	4.480107
225	1464955109163982	4.500114
226	1464955109165402	4.520101
229	1464955109170957	4.580126
230	1464955109172306	4.600074
231	1464955109173711	4.620098
232	1464955109174986	4.640115
233	1464955109176351	4.660108
235	1464955109367922	4.700090
236	1464955109369935	4.720172
237	1464955109371155	4.740139
245	1464955109572041	4.900174
246	1464955109573100	4.920174
247	1464955109574759	4.940168
248	1464955109575943	4.960210
255	1464955109776785	5.100177
256	1464955109778170	5.120212
257	1464955109779547	5.140212
258	1464955109780857	5.160211
259	1464955109782519	5.180166
260	1464955109783784	5.200197
261	1464955109785307	5.220177
262	1464955109786959	5.240143
263	1464955109788630	5.260169
264	1464955109790063	5.280173
265	1464955109981450	5.300145
266	1464955109982816	5.320212
267	1464955109984457	5.340226
268	1464955109985993	5.360229
269	1464955109987242	5.380190
270	1464955109988456	5.400227
271	1464955109990030	5.420223
272	1464955109991113	5.440226
273	1464955109992905	5.460234
274	1464955109994924	5.480130
275	1464955109996103	5.500115
276	1464955110187223	5.520098
277	1464955110188560	5.540142
278	1464955110190322	5.560173
279	1464955110191759	5.580182
280	1464955110193137	5.600175
281	1464955110194384	5.620172
282	1464955110196180	5.640122
283	1464955110197557	5.660166
284	1464955110199093	5.680172
285	1464955110200780	5.700113
286	1464955110391957	5.720167
287	1464955110393361	5.740145
288	1464955110395191	5.760167
296	1464955110596499	5.920172
297	1464955110598513	5.940145
298	1464955110600083	5.960170
299	1464955110601515	5.980253
300	1464955110603245	6.000238
301	1464955110604874	6.020234
302	1464955110606278	6.040177
303	1464955110607822	6.060233
304	1464955110609423	6.080235
305	1464955110611022	6.100237
306	1464955110801800	6.120170
307	1464955110803298	6.140159
308	1464955110804371	6.160236
309	1464955110805798	6.180157
310	1464955110806987	6.200152
311	1464955110808582	6.220176
317	1464955111005838	6.340133
318	1464955111007033	6.360172
319	1464955111008618	6.380173
320	1464955111009931	6.400146
321	1464955111012044	6.420169
322	1464955111014027	6.440102
323	1464955111015440	6.460143
324	1464955111016557	6.480172
325	1464955111018053	6.500155
327	1464955111210780	6.540092
337	1464955111415238	6.740179
338	1464955111416676	6.760158
339	1464955111418604	6.780178
340	1464955111420064	6.800176
341	1464955111421250	6.820120
342	1464955111422844	6.840173
343	1464955111424449	6.860201
344	1464955111425953	6.880158
345	1464955111427138	6.900175
346	1464955111428706	6.920175
347	1464955111620033	6.940129
348	1464955111621535	6.960164
349	1464955111623072	6.980182
350	1464955111624573	7.000226
351	1464955111625886	7.020192
358	1464955111824699	7.160194
359	1464955111825850	7.180160
360	1464955111827318	7.200158
361	1464955111828667	7.220180
362	1464955111829776	7.240181
363	1464955111831325	7.260179
364	1464955111832606	7.280181
365	1464955111833983	7.300183
366	1464955111835198	7.320121
367	1464955111836389	7.340135
368	1464955112029669	7.360169
369	1464955112030820	7.380180
370	1464955112031977	7.400182
371	1464955112033026	7.420180
372	1464955112034211	7.440180
373	1464955112035322	7.460180
374	1464955112036579	7.480183
375	1464955112037637	7.500194
376	1464955112038791	7.520158
377	1464955112039739	7.540149
378	1464955112234355	7.560140
379	1464955112235473	7.580179
380	1464955112236591	7.600123
381	1464955112237744	7.620175
382	1464955112238801	7.640176
383	1464955112239984	7.660174
384	1464955112241070	7.680168
385	1464955112242192	7.700181
386	1464955112243277	7.720181
387	1464955112244236	7.740181
388	1464955112440402	7.760180
389	1464955112441840	7.780181
390	1464955112443444	7.800117
391	1464955112445015	7.820173
392	1464955112446846	7.840182
393	1464955112448240	7.860178
394	1464955112450067	7.880181
395	1464955112451508	7.900124
396	1464955112453042	7.920175
397	1464955112454736	7.940181
398	1464955112456020	7.960180
399	1464955112644507	7.980178
400	1464955112645710	8.000213
401	1464955112647767	8.020180
402	1464955112649657	8.040185
403	1464955112651199	8.060182
404	1464955112652534	8.080182
405	1464955112653942	8.100185
406	1464955112655449	8.120181
407	1464955112656919	8.140180
408	1464955112658003	8.160180
409	1464955112850579	8.180152
410	1464955112851983	8.200185
411	1464955112853711	8.220182
412	1464955112855025	8.240180
419	1464955113054564	8.380181
420	1464955113055908	8.400184
421	1464955113057668	8.420180
422	1464955113058789	8.440116
423	1464955113060643	8.460140
424	1464955113061859	8.480181
425	1464955113063462	8.500154
426	1464955113064708	8.520155
427	1464955113066121	8.540120
428	1464955113066913	8.560175
429	1464955113259111	8.580173
430	1464955113261068	8.600103
431	1464955113263143	8.620175
440	1464955113463184	8.800176
441	1464955113464363	8.820172
442	1464955113465518	8.840139
443	1464955113466710	8.860174
444	1464955113467695	8.880150
445	1464955113468966	8.900175
446	1464955113470115	8.920174
447	1464955113472107	8.940122
448	1464955113473216	8.960143
449	1464955113474153	8.980144
450	1464955113668458	9.000201
451	1464955113669730	9.020202
452	1464955113671073	9.040153
453	1464955113672596	9.060181
460	1464955113873192	9.200166
461	1464955113874722	9.220169
470	1464955114078262	9.400121
471	1464955114079764	9.420169
481	1464955114283218	9.620174
482	1464955114284689	9.640174
491	1464955114487427	9.820167
492	1464955114488905	9.840173
501	1464955114692265	10.020228
502	1464955114693736	10.040213
503	1464955114695295	10.060212
504	1464955114697064	10.080211
505	1464955114698313	10.100213
506	1464955114699558	10.120217
507	1464955114700615	10.140213
508	1464955114701730	10.160213
509	1464955114703337	10.180170
510	1464955114704660	10.200155
511	1464955114896812	10.220175
512	1464955114898183	10.240174
513	1464955114899722	10.260173
514	1464955114901128	10.280173
515	1464955114902216	10.300176
516	1464955114903942	10.320173
521	1464955115102431	10.420126
522	1464955115104537	10.440173
523	1464955115106489	10.460105
524	1464955115108091	10.480145
525	1464955115109275	10.500115
526	1464955115110813	10.520168
527	1464955115112379	10.540201
528	1464955115113398	10.560192
529	1464955115115419	10.580187
530	1464955115116734	10.600154
532	1464955115306709	10.640187
533	1464955115308469	10.660192
534	1464955115309622	10.680153
535	1464955115310839	10.700169
536	1464955115312275	10.720182
537	1464955115313328	10.740182
538	1464955115314713	10.760182
542	1464955115512180	10.840175
552	1464955115717045	11.040243
553	1464955115719062	11.060241
562	1464955115921185	11.240175
563	1464955115922651	11.260176
564	1464955115924000	11.280177
565	1464955115925435	11.300176
566	1464955115926685	11.320144
567	1464955115927962	11.340172
573	1464955116125926	11.460174
574	1464955116127030	11.480178
575	1464955116128165	11.500141
576	1464955116129350	11.520119
577	1464955116130535	11.540150
578	1464955116131676	11.560175
579	1464955116132743	11.580173
580	1464955116133866	11.600120
581	1464955116135052	11.620136
582	1464955116136047	11.640175
583	1464955116330354	11.660175
584	1464955116331459	11.680120
585	1464955116332641	11.700107
586	1464955116333798	11.720119
587	1464955116334950	11.740173
588	1464955116336095	11.760173
589	1464955116337240	11.780091
590	1464955116338497	11.800128
591	1464955116339680	11.820138
592	1464955116340602	11.840174
593	1464955116536017	11.860172
594	1464955116537040	11.880112
595	1464955116538410	11.900175
596	1464955116540327	11.920140
597	1464955116542054	11.940173
598	1464955116543754	11.960173
599	1464955116545223	11.980148
604	1464955116740480	12.080172
605	1464955116742462	12.100178
606	1464955116744030	12.120182
607	1464955116745150	12.140180
608	1464955116746630	12.160181
609	1464955116748158	12.180171
610	1464955116749629	12.200183
614	1464955116944895	12.280175
624	1464955117151555	12.480173
625	1464955117152989	12.500174
626	1464955117154171	12.520162
627	1464955117155677	12.540172
628	1464955117156954	12.560174
629	1464955117158459	12.580175
630	1464955117160092	12.600175
631	1464955117161275	12.620176
634	1464955117355525	12.680147
635	1464955117356995	12.700177
636	1464955117358499	12.720176
637	1464955117360003	12.740113
638	1464955117361123	12.760135
639	1464955117362499	12.780174
640	1464955117364293	12.800176
641	1464955117365764	12.820176
642	1464955117366751	12.840172
644	1464955117560084	12.880175
645	1464955117561299	12.900119
646	1464955117562645	12.920174
647	1464955117564435	12.940174
648	1464955117565972	12.960138
655	1464955117765190	13.100173
656	1464955117766729	13.120175
665	1464955117969177	13.300178
675	1464955118175414	13.500230
676	1464955118176918	13.520193
677	1464955118178387	13.540154
685	1464955118382397	13.700141
686	1464955118384029	13.720177
696	1464955118583161	13.920179
697	1464955118584577	13.940176
698	1464955118586642	13.960175
699	1464955118588656	13.980148
700	1464955118590264	14.000212
701	1464955118591546	14.020224
702	1464955118593056	14.040147
703	1464955118594664	14.060147
704	1464955118595665	14.080182
705	1464955118596783	14.100163
706	1464955118788523	14.120233
727	1464955119199302	14.540150
728	1464955119200717	14.560113
729	1464955119202469	14.580174
737	1464955119403143	14.740174
738	1464955119404775	14.760155
747	1464955119607463	14.940175
748	1464955119608775	14.960103
749	1464955119610248	14.980179
750	1464955119611755	15.000248
751	1464955119613032	15.020239
752	1464955119614248	15.040240
753	1464955119615661	15.060239
754	1464955119616999	15.080238
755	1464955119618307	15.100240
757	1464955119813169	15.140238
767	1464955120017094	15.340175
768	1464955120018554	15.360173
777	1464955120221556	15.540155
778	1464955120222735	15.560172
779	1464955120223785	15.580174
780	1464955120225004	15.600175
781	1464955120226745	15.620175
782	1464955120227916	15.640174
783	1464955120229068	15.660175
784	1464955120230252	15.680147
785	1464955120231406	15.700178
786	1464955120232525	15.720176
787	1464955120233388	15.740181
788	1464955120427589	15.760171
789	1464955120429092	15.780175
790	1464955120430407	15.800210
791	1464955120431817	15.820174
792	1464955120433991	15.840175
793	1464955120435597	15.860174
798	1464955120632052	15.960238
799	1464955120633554	15.980193
808	1464955120836488	16.160181
818	1464955121041449	16.360184
819	1464955121042924	16.380119
820	1464955121044653	16.400177
821	1464955121045834	16.420151
822	1464955121047627	16.440241
823	1464955121048683	16.460211
824	1464955121050188	16.480183
825	1464955121051660	16.500181
826	1464955121053549	16.520182
829	1464955121247615	16.580179
830	1464955121248829	16.600180
831	1464955121250364	16.620182
832	1464955121251451	16.640181
833	1464955121252960	16.660181
839	1464955121450404	16.780176
840	1464955121451620	16.800177
841	1464955121452706	16.820175
842	1464955121453805	16.840174
843	1464955121454960	16.860172
844	1464955121456157	16.880175
845	1464955121458075	16.900175
846	1464955121459170	16.920139
847	1464955121460334	16.940172
848	1464955121461220	16.960203
849	1464955121655386	16.980186
859	1464955121860033	17.180176
860	1464955121861282	17.200155
861	1464955121863328	17.220100
862	1464955121864833	17.240179
863	1464955121866076	17.260180
864	1464955121867671	17.280182
